mu1 sigma1 mu2 sigma2 alpha mu3 sigma3 beta
1.3226499557869507 0.27036018411846185 1.3457864607078907 0.4582633716214865 0.34908240958972153 1.8441591983558205 0.50475827656886 0.3071889883045219
1.0483815458504282 0.6800140114584536 1.55386574196418 0.16357596538389835 0.220917659810277 1.9613878254536377 1.1375003247886686 0.7397454769355257
1.0419400113088106 1.4925655888840141 1.416871960166374 0.17728203011933036 0.38847859611350305 2.4764148897003464 1.383435822351868 0.49456137149498636
1.5136130383986328 0.23716926473089028 1.7256240205312163 0.3552848450616346 0.31268573895639173 2.4240366719023316 1.5798719808017354 0.5645509979398816
1.5071634030042664 0.20575594689493126 1.7633866805775251 1.5379281615660747 0.6118288915006835 2.25849149813756 1.340625827355447 0.36676061388504894
1.3257121028326138 0.6593417758734416 1.4333314364510834 0.22701952735978254 0.15409083432043158 2.7419435264635648 1.810525783008697 0.8254314897163179
1.5272245913836835 0.2258012442693289 1.8148072959358013 0.1346357198142167 0.6899152431684957 2.3029062970141325 1.8612124836367978 0.10328740695666958
1.4326477555250667 0.16622922532380754 1.5150641129691955 1.2436284284374162 0.8867123428452777 2.32871379347062 1.8706783392476145 0.04476348330576245
1.4869818226692804 0.25825691331719897 1.6217611872125284 0.8412154996324458 0.6879276611002546 2.3001944767749647 0.29224187355039777 0.25718147031019717
0.9894830088912607 1.6445689605528861 1.5814690006547725 0.25599031750702006 0.1793978649306481 2.328307050214057 0.6320075636182091 0.8166822003385334
1.3580054396067591 0.011814951121528933 1.3781979241905657 1.789019397760279 0.32838977234789113 1.7168171847419587 0.652210490968705 0.326096479741375
1.3317386864249214 1.7832007488471142 1.374366285788482 0.08953156759034274 0.3683923723047487 2.486151580972482 1.0026039040824617 0.47507293486541136
1.3941386728723464 0.12297888597156763 1.4577825110247824 0.3651766604078982 0.20086039939518216 1.924969541108474 1.524807962605226 0.5828629184176547
1.4617880722388081 1.4226796139387468 1.4750236943457344 0.17246922264173986 0.2333509060881293 2.583163874358572 1.6415117814738764 0.6151895421467682
1.315128329982493 0.8824299856809434 1.4611666165365693 0.09940069839830278 0.13502281765592872 1.647162331332849 1.8766057823121707 0.5653657465615205
1.0104169881765273 1.7936915178578023 1.4205555431515444 0.15806996472281354 0.09122465849519087 2.841469067986253 1.9603549651828425 0.8114741552707301
1.449582050023718 0.08929157203032824 1.6051002617336347 0.16635639647349518 0.7549505133616613 2.2617068872723407 1.6310090344925936 0.09840906466217648
1.3668092520721244 0.5944531968541159 1.490030071605919 0.12373245417634454 0.23324083200800447 2.6987229261677976 1.307413731225147 0.7447626633894457
1.5346439296650853 0.24508526016504834 2.1184336287691057 0.8262702452507097 0.8580511067273592 2.391979079458907 1.5650755192836598 0.05047124450410678
1.3454938470427429 1.7623002623382855 1.485369774786021 0.1806126919636551 0.07367196919680041 1.6776964005464703 0.19706509878493872 0.7911200267429944
1.4492645032824794 0.2079472114477663 1.4941104994130208 1.019738375500761 0.7552746557227569 2.466751174971765 0.8092379687711622 0.22585324297746315
1.193905223013733 0.4078696542451635 1.4896715065792754 0.1440629458949499 0.017587400190864945 2.744842206390402 1.1014393178523023 0.8030676274462104
1.25457815031149 0.9009935003944672 1.4287653250458108 0.1243117030911743 0.4232414321953769 1.8252924845626102 0.912691946244012 0.4323555063924821
1.3155148769186866 0.06569190220432741 1.6890379766996109 1.1116615594707329 0.35170556687677834 1.7538168354260146 0.5549683569735545 0.15441228799980808
1.2686490764961562 1.2263732357614583 1.438631625437111 0.167919498573122 0.30762351584180414 1.493616452320932 1.836676688322991 0.6179278764345526
