mu1 sigma1 mu2 sigma2 alpha mup mlo
1.338303407406737 0.1523924019307749 2.2373780875288696 0.6922504127490816 0.9097183801465877 2.892883304702834 0.906410844322985
1.3537439665578002 0.13082928264334587 1.4683693266327664 0.4285087825659207 0.9985631920480645 2.4203529527244383 1.163148168279315
1.252993681824512 0.12195742232892855 1.8999103704482971 1.7314370097736351 0.5916960603871689 2.448518499833181 1.1724358319942438
1.2632617955056964 0.05538343611299381 1.3878874469438742 0.6043663557873452 0.9206975854407587 2.090899028789109 1.1540371570781351
1.142233826978404 0.2781233438377846 1.7417867611899411 1.5386941186444199 0.8049338894085828 2.1152458568232575 1.1210735337876963
1.2063128491105979 0.8436596666328766 1.3535662996759457 0.13704030340928727 0.17238225072286628 2.482999575145051 0.9715483770628597
1.1304460323149734 1.6947771977628014 1.2758392203325324 0.02832410367604346 0.5044155509059163 2.006216898029649 1.1272277648951146
1.235553675894972 0.24036122149297848 1.8460180252014338 0.8105191025446615 0.9035350927556719 2.743979283847803 1.1813350165335825
1.2238928300307546 0.10616506869569028 1.6234474708624451 0.9759294819373674 0.6606597547074167 1.9014208179183 1.126293811410811
1.1976912852659658 0.2382769664535107 2.1293403867878933 0.8944563342254614 0.8962910034690584 2.8156997573001545 1.131005301126337
1.250770623114358 0.15152226905274993 1.7592464516955924 1.2876600131505862 0.8299262150283341 1.8656641261984241 1.1512658618803107
1.3600102087908335 0.1285652444781665 2.0297851259377317 1.1692237564214805 0.9811949925090101 2.596680487241274 1.0952284963572576
1.0606850517970932 0.936159444606326 1.3297978634657255 0.14349685452874603 0.29941503127132785 2.0455759873586135 1.0291828872493
1.220217715550461 0.10667912953799998 2.080100388490939 1.2855304153225715 0.8340458361456264 2.343407456346789 1.1831733096425916
1.2023330909905312 0.3169475367881922 1.585805845271167 1.4033153680868684 0.9373537118291669 2.12947075467551 1.1562357420652853
1.3194334406096866 0.13184682615010135 1.7364318979936115 1.818580979986881 0.8328137682969522 2.270482170876436 0.9490196618337673
1.3763385994017365 0.10077233009050926 1.7013338102150684 0.25272765346953163 0.9489274236508523 2.112924423725143 1.0340335939926015
1.282599550268463 0.04869673031469054 1.415748195574579 1.3062484782793164 0.841284228659293 2.4562513203423113 0.9514268131936887
1.3687295453662967 0.08363686837587297 2.135152299198165 0.9998575174261914 0.9101817366717219 2.1765621698083333 1.153062969829544
1.3205945804363266 0.12464335967876822 1.92764709730811 1.2368044102615356 0.8890595325222468 2.6689467477966495 1.0198290228600835
1.2793411451894823 0.16799804058619805 1.560182718236692 0.9456285626037564 0.8737814815834719 2.786084800387046 1.1185776528788776
1.2355765794960467 0.19327653659088057 2.0427757597790253 1.1021671348147684 0.821246881234939 2.8875039958743285 1.1626837684829077
1.3156025031761447 0.1001709378021866 2.4052468746656204 0.9879583516478391 0.8764783783777462 2.8150302391600013 1.0041934648131894
1.324340366239334 0.1726672058092989 1.638376080627253 0.6934339929586038 0.7052260833234482 2.028477040084012 1.151005599909354
1.3215863379514508 0.13007564962158252 1.7735287242629343 1.4057324168311653 0.9750951083965229 2.898419264654148 1.1020333830608409
1.3009643524676864 0.1200118521913093 1.8429725931183496 1.0480977982158475 0.831587293732999 2.211347080464548 0.9104936709881244
1.2511783083540546 0.2870356652170406 1.2535197811007468 0.03298830444411425 0.454635311012029 2.18723675180523 1.1596129379477988
1.1545740794693737 0.1624959267098224 1.3620957529136066 0.7134515696270484 0.8403666088171147 2.1408333888315063 1.135867891786488
1.3032996404513129 0.13587700329265084 1.4613570871193433 0.2894760784006946 0.7082016586283212 1.94699738695231 1.085577782622354
1.2020780423258177 0.1661668043440435 2.1582975643130435 0.5043334573091408 0.8556956973059936 2.46278003348071 1.1482202860037187
1.249821304035063 0.42295032920575193 1.27299220496048 0.07564586747028373 0.3761914030543557 2.5777032349339524 0.9188887784113332
1.3029980420715044 0.09255616930502229 2.167391200732885 0.9666871044712111 0.8252457729388013 2.5724382835781174 0.9080364504895121
1.3091826026492688 0.14358992251256927 2.215539726650602 0.7606116255606449 0.9087826344693807 2.5855942967618164 1.1055344388383774
