turn_on_pow,63.70135770606516
turn_on_pow_fix,62.82693875646815
turn_on_pow_G,63.030749611757855
pow,64.82355431041839
2G,62.52503353468986
turn_on_pow_G_fixed_max,59.86268995066222
G,58.09319728533614
2G_fixed_max,59.9749639445405
sst,59.157387451660085
G_fixed_max,57.74274702006806
2G_fixed_min,58.92223033499805
2G_fixed_max_min,57.16726638741754
logu,55.74531472469519
3G_fixed_max_min,56.49298521203284
lognorm,51.76475497577506
gamma,50.212059737725454
U,50.61348296120666
G_fixed_max_min,46.964454425241506
