
0it [00:00, ?it/s]
1it [00:22, 22.65s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-6833.09+/-0.18 dlogz:inf>0.1]
6it [00:22,  2.80s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.5% logz=-5074.84+/-0.18 dlogz:5210.078>0.1]
16it [00:22,  1.23it/s, bound:0 nc:  1 ncall:4.2e+02 eff:3.8% logz=-3768.18+/-0.18 dlogz:3919.078>0.1]
25it [00:23,  2.31it/s, bound:0 nc:  1 ncall:4.3e+02 eff:5.9% logz=-3501.00+/-0.18 dlogz:3573.477>0.1]
34it [00:23,  3.78it/s, bound:0 nc:  1 ncall:4.4e+02 eff:7.8% logz=-2963.03+/-0.18 dlogz:3019.101>0.1]
44it [00:23,  5.97it/s, bound:0 nc:  1 ncall:4.5e+02 eff:9.9% logz=-2559.85+/-0.18 dlogz:2639.806>0.1]
54it [00:23,  8.76it/s, bound:0 nc:  1 ncall:4.6e+02 eff:11.8% logz=-2342.30+/-0.18 dlogz:2398.864>0.1]
63it [00:23, 11.82it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.5% logz=-2180.06+/-0.17 dlogz:2234.611>0.1]
73it [00:24, 16.11it/s, bound:0 nc:  2 ncall:4.8e+02 eff:15.3% logz=-1941.44+/-0.19 dlogz:2004.217>0.1]
79it [00:24, 19.24it/s, bound:0 nc:  1 ncall:4.8e+02 eff:16.3% logz=-1918.40+/-0.18 dlogz:1974.236>0.1]
86it [00:24, 22.75it/s, bound:0 nc:  2 ncall:4.9e+02 eff:17.5% logz=-1793.96+/-0.19 dlogz:1856.698>0.1]
95it [00:24, 28.33it/s, bound:0 nc:  1 ncall:5.0e+02 eff:19.0% logz=-1745.68+/-0.17 dlogz:1800.075>0.1]
101it [00:24, 28.89it/s, bound:0 nc:  1 ncall:5.1e+02 eff:19.7% logz=-1654.60+/-0.19 dlogz:1724.493>0.1]
106it [00:24, 31.52it/s, bound:0 nc:  2 ncall:5.2e+02 eff:20.4% logz=-1595.99+/-0.19 dlogz:1657.412>0.1]
111it [00:24, 30.56it/s, bound:0 nc:  1 ncall:5.3e+02 eff:21.1% logz=-1484.40+/-0.19 dlogz:1572.799>0.1]
121it [00:25, 38.26it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.6% logz=-1443.21+/-0.18 dlogz:1500.284>0.1]
128it [00:25, 38.57it/s, bound:0 nc:  2 ncall:5.5e+02 eff:23.4% logz=-1359.53+/-0.19 dlogz:1421.924>0.1]
134it [00:25, 37.29it/s, bound:0 nc:  1 ncall:5.6e+02 eff:24.1% logz=-1295.19+/-0.19 dlogz:1359.188>0.1]
142it [00:25, 37.70it/s, bound:0 nc:  1 ncall:5.7e+02 eff:25.1% logz=-1232.41+/-0.18 dlogz:1288.136>0.1]
147it [00:25, 39.74it/s, bound:0 nc:  1 ncall:5.7e+02 eff:25.7% logz=-1215.77+/-0.17 dlogz:1270.143>0.1]
152it [00:25, 36.26it/s, bound:0 nc:  1 ncall:5.8e+02 eff:26.2% logz=-1160.69+/-0.18 dlogz:1215.968>0.1]
161it [00:26, 41.35it/s, bound:0 nc:  1 ncall:5.9e+02 eff:27.2% logz=-1079.94+/-0.19 dlogz:1150.290>0.1]
168it [00:26, 40.96it/s, bound:0 nc:  3 ncall:6.0e+02 eff:27.9% logz=-1054.15+/-0.19 dlogz:1117.199>0.1]
175it [00:26, 41.47it/s, bound:0 nc:  1 ncall:6.1e+02 eff:28.6% logz=-1012.65+/-0.19 dlogz:1069.358>0.1]
180it [00:26, 38.45it/s, bound:0 nc:  4 ncall:6.2e+02 eff:29.0% logz=-945.95+/-0.19 dlogz:1040.875>0.1] 
186it [00:26, 38.16it/s, bound:0 nc:  1 ncall:6.3e+02 eff:29.5% logz=-927.32+/-0.17 dlogz:981.759>0.1] 
194it [00:26, 40.50it/s, bound:0 nc:  3 ncall:6.4e+02 eff:30.3% logz=-881.18+/-0.18 dlogz:935.944>0.1]
199it [00:27, 37.65it/s, bound:0 nc:  1 ncall:6.5e+02 eff:30.6% logz=-855.91+/-0.19 dlogz:912.278>0.1]
203it [00:27, 33.48it/s, bound:0 nc:  1 ncall:6.6e+02 eff:30.7% logz=-816.00+/-0.19 dlogz:888.207>0.1]
208it [00:27, 32.04it/s, bound:0 nc:  1 ncall:6.7e+02 eff:31.0% logz=-810.37+/-0.17 dlogz:864.742>0.1]
214it [00:27, 32.65it/s, bound:0 nc:  3 ncall:6.8e+02 eff:31.4% logz=-789.27+/-0.18 dlogz:845.052>0.1]
218it [00:27, 30.25it/s, bound:0 nc:  4 ncall:6.9e+02 eff:31.5% logz=-766.13+/-0.18 dlogz:821.747>0.1]
223it [00:27, 29.48it/s, bound:0 nc:  3 ncall:7.0e+02 eff:31.8% logz=-746.60+/-0.19 dlogz:802.780>0.1]
