mu1 sigma1 mu2 sigma2 alpha
1.5061263944935628 0.30000879813486975 2.1687090664181095 1.9736434952293798 0.8473811324165129
1.4404407188221051 0.21869618881703867 2.1733405125829313 0.2340007618365887 0.6377484802760188
1.437811791212936 0.21475553225332772 1.6078016369649215 1.8241606577047076 0.7544352035189372
1.5278316316407157 0.11473361780117915 1.8122964620115178 0.4249224974994423 0.7250007170788504
1.528398333897321 0.29964454389879125 1.93115280729393 1.3165128187184072 0.9084897909222389
1.4928331233087118 0.2427156634299307 2.303283295923472 1.328211480555863 0.8119950544734428
1.5264032904653755 0.2811887345315116 2.0517093139089604 1.8620441930194258 0.8925372287545482
1.4841897934127415 0.2246834620056086 2.474714142400649 1.3920290932103565 0.904186686634653
1.517894510906841 0.2693610477699141 2.470466463568309 1.3530105633118723 0.9353634628500178
1.4469748604701005 0.16144804191734724 2.2138114303492826 1.8914622533820282 0.6444825410285754
1.5324858829234191 0.22456880137799307 1.7312546041723411 0.8502891634679357 0.7869272998361653
1.3851173108412929 0.0945959460857719 1.6690396784699835 0.8907722861302944 0.7812204641755962
1.492454685253143 0.1469169146093871 1.9673300152879882 1.265247999637304 0.7280002512737834
1.4229806835194596 0.10349080275120252 2.7847421130667582 0.9911521197146276 0.6984677135546637
1.4364828687304674 0.14949473909897273 1.5490597910638004 1.2764135654672064 0.8086125482397571
1.4498619188933508 0.1462019537618066 2.7287933621846716 1.723327489078905 0.8039976417740661
1.0231021205715747 1.2327999983104818 1.3789680293031286 0.10441745000269818 0.4125725589395181
1.4628089963006916 0.1471878175260413 2.2474030087563275 1.8984378731394007 0.7710997500277444
1.4679958145389 0.16759324212066756 2.551100351901308 0.8130304545183257 0.7762604848709589
1.4907906465024658 0.16264313862961893 2.465734072500173 0.559031933477953 0.8411725703644779
1.5026280282140165 0.11352963839809319 1.6176976909675918 0.5186613618967142 0.5150332344545271
1.4788806005402177 0.17376951944460434 1.728097818870038 1.0586538450493108 0.7890866621651078
0.9671855255438668 1.1303631758269326 1.4445334215591845 0.14088336405586463 0.32457620153633027
1.5217259675978498 0.21408532689711604 2.165878313623332 0.2855313848486317 0.9550196729695548
1.3255574905149445 0.14085242291175676 1.6114582947785407 0.3814982947528616 0.20777968894699989
1.4627215104398752 0.16563607488352713 1.8894108218178127 0.9169489730590379 0.6833970067363181
1.4169802481168445 0.1041429490238418 1.5356693109642698 1.4882345173423854 0.6703363016861891
1.4490442069234963 0.1463365879367635 1.9927201939312362 0.834108626077237 0.6259148472095553
1.4453910837518915 0.12895085888103788 2.0273709082675246 1.1589830309460205 0.6874002612040104
1.4347304586423617 0.1618228852472361 1.7119036649963606 0.698968314172224 0.7952565702425757
1.347630069695407 0.1677236660165117 1.8635173630289068 0.3145477792439545 0.7789650649935657
1.389377201831703 0.07465999740646805 1.7164225884035125 1.0443071297504147 0.6673464318946193
