
0it [00:00, ?it/s]
1it [00:12, 12.45s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-20919.01+/-0.18 dlogz:inf>0.1]
10it [00:12,  1.10it/s, bound:0 nc:  1 ncall:4.1e+02 eff:2.4% logz=-2110.04+/-0.18 dlogz:2237.217>0.1]
20it [00:12,  2.65it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.8% logz=-1210.55+/-0.18 dlogz:1291.409>0.1]
28it [00:12,  4.34it/s, bound:0 nc:  1 ncall:4.3e+02 eff:6.5% logz=-621.40+/-0.18 dlogz:682.437>0.1]  
37it [00:12,  6.92it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.4% logz=-446.92+/-0.17 dlogz:498.189>0.1]
47it [00:13, 10.70it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.4% logz=-210.54+/-0.18 dlogz:262.982>0.1]
55it [00:13, 14.38it/s, bound:0 nc:  2 ncall:4.6e+02 eff:11.9% logz=-171.04+/-0.18 dlogz:223.542>0.1]
64it [00:13, 19.67it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.6% logz=-109.79+/-0.18 dlogz:167.516>0.1]
74it [00:13, 26.43it/s, bound:0 nc:  2 ncall:4.8e+02 eff:15.4% logz=-87.32+/-0.18 dlogz:140.504>0.1] 
82it [00:13, 31.51it/s, bound:0 nc:  1 ncall:4.9e+02 eff:16.7% logz=-72.56+/-0.18 dlogz:124.718>0.1]
90it [00:13, 35.55it/s, bound:0 nc:  1 ncall:5.0e+02 eff:17.9% logz=-60.53+/-0.16 dlogz:111.096>0.1]
99it [00:13, 42.39it/s, bound:0 nc:  1 ncall:5.1e+02 eff:19.4% logz=-52.69+/-0.16 dlogz:103.391>0.1]
106it [00:13, 45.01it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.3% logz=-45.45+/-0.17 dlogz:96.650>0.1]
113it [00:14, 48.78it/s, bound:0 nc:  1 ncall:5.3e+02 eff:21.3% logz=-41.60+/-0.15 dlogz:91.900>0.1]
121it [00:14, 53.87it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.4% logz=-35.83+/-0.15 dlogz:86.155>0.1]
128it [00:14, 53.97it/s, bound:0 nc:  3 ncall:5.5e+02 eff:23.1% logz=-33.41+/-0.15 dlogz:83.601>0.1]
135it [00:14, 56.58it/s, bound:0 nc:  1 ncall:5.6e+02 eff:23.9% logz=-31.01+/-0.15 dlogz:81.170>0.1]
142it [00:14, 57.18it/s, bound:0 nc:  1 ncall:5.8e+02 eff:24.7% logz=-29.21+/-0.14 dlogz:79.396>0.1]
149it [00:14, 57.75it/s, bound:0 nc:  2 ncall:5.8e+02 eff:25.5% logz=-26.86+/-0.15 dlogz:77.017>0.1]
156it [00:14, 54.80it/s, bound:0 nc:  3 ncall:5.9e+02 eff:26.3% logz=-24.85+/-0.14 dlogz:74.959>0.1]
162it [00:14, 52.55it/s, bound:0 nc:  1 ncall:6.0e+02 eff:27.0% logz=-22.97+/-0.15 dlogz:73.110>0.1]
169it [00:15, 55.18it/s, bound:0 nc:  1 ncall:6.1e+02 eff:27.7% logz=-21.17+/-0.14 dlogz:71.185>0.1]
175it [00:15, 52.57it/s, bound:0 nc:  1 ncall:6.2e+02 eff:28.2% logz=-19.85+/-0.14 dlogz:69.846>0.1]
181it [00:15, 52.85it/s, bound:0 nc:  3 ncall:6.3e+02 eff:28.6% logz=-18.14+/-0.14 dlogz:68.148>0.1]
187it [00:15, 52.14it/s, bound:0 nc:  2 ncall:6.4e+02 eff:29.0% logz=-17.13+/-0.14 dlogz:67.003>0.1]
193it [00:15, 51.47it/s, bound:0 nc:  1 ncall:6.5e+02 eff:29.5% logz=-16.45+/-0.13 dlogz:66.275>0.1]
199it [00:15, 50.32it/s, bound:0 nc:  2 ncall:6.6e+02 eff:30.0% logz=-15.77+/-0.13 dlogz:65.605>0.1]
205it [00:15, 49.03it/s, bound:0 nc:  3 ncall:6.7e+02 eff:30.5% logz=-15.06+/-0.13 dlogz:64.895>0.1]
211it [00:15, 45.73it/s, bound:0 nc:  3 ncall:6.8e+02 eff:30.9% logz=-14.26+/-0.13 dlogz:64.055>0.1]
216it [00:16, 43.40it/s, bound:0 nc:  1 ncall:6.9e+02 eff:31.3% logz=-13.75+/-0.13 dlogz:63.513>0.1]
222it [00:16, 43.86it/s, bound:0 nc:  1 ncall:7.0e+02 eff:31.7% logz=-13.27+/-0.13 dlogz:62.993>0.1]
228it [00:16, 43.13it/s, bound:0 nc:  2 ncall:7.1e+02 eff:32.1% logz=-12.81+/-0.13 dlogz:62.539>0.1]
234it [00:16, 40.95it/s, bound:0 nc:  4 ncall:7.2e+02 eff:32.4% logz=-12.30+/-0.12 dlogz:61.996>0.1]
239it [00:16, 37.35it/s, bound:0 nc:  1 ncall:7.3e+02 eff:32.7% logz=-11.90+/-0.12 dlogz:61.594>0.1]
246it [00:16, 39.94it/s, bound:0 nc:  1 ncall:7.4e+02 eff:33.2% logz=-11.37+/-0.12 dlogz:61.036>0.1]
251it [00:16, 38.10it/s, bound:0 nc:  2 ncall:7.5e+02 eff:33.4% logz=-11.06+/-0.12 dlogz:60.699>0.1]
258it [00:17, 39.67it/s, bound:0 nc:  2 ncall:7.6e+02 eff:33.9% logz=-10.68+/-0.12 dlogz:60.296>0.1]
263it [00:17, 38.34it/s, bound:0 nc:  2 ncall:7.7e+02 eff:34.1% logz=-10.41+/-0.12 dlogz:60.020>0.1]
271it [00:17, 43.40it/s, bound:0 nc:  2 ncall:7.8e+02 eff:34.7% logz=-9.91+/-0.12 dlogz:59.517>0.1] 
276it [00:17, 41.01it/s, bound:0 nc:  3 ncall:8.0e+02 eff:34.7% logz=-9.55+/-0.12 dlogz:59.150>0.1]
281it [00:17, 39.24it/s, bound:0 nc:  3 ncall:8.0e+02 eff:35.0% logz=-9.21+/-0.12 dlogz:58.778>0.1]
285it [00:17, 35.28it/s, bound:0 nc:  1 ncall:8.1e+02 eff:35.1% logz=-8.89+/-0.12 dlogz:58.469>0.1]
291it [00:18, 36.64it/s, bound:0 nc:  6 ncall:8.2e+02 eff:35.3% logz=-8.32+/-0.13 dlogz:57.887>0.1]
295it [00:18, 33.61it/s, bound:0 nc:  1 ncall:8.3e+02 eff:35.5% logz=-8.02+/-0.13 dlogz:57.566>0.1]
299it [00:18, 30.46it/s, bound:0 nc:  3 ncall:8.4e+02 eff:35.4% logz=-7.72+/-0.13 dlogz:57.265>0.1]
303it [00:18, 27.90it/s, bound:0 nc:  1 ncall:8.5e+02 eff:35.6% logz=-7.41+/-0.13 dlogz:56.932>0.1]
