mu1 sigma1 mu2 sigma2 alpha mup mlo
1.2376600208880766 0.6125948516589538 1.483186252587163 1.6601268694887363 0.8924135815072956 2.269248285933297 0.9951560669883799
1.230141056068585 1.650796221550182 1.3112743688178141 0.26673840478336547 0.47066118691587994 2.495643267412678 0.9684955308068658
1.5613274245159685 1.836753656143415 1.5628572093090054 1.4658102862552371 0.7281601447800726 1.7291902208387246 1.0263406022058694
1.0335362231122964 0.2306453490046739 1.1860790792536458 1.0716482234669027 0.2500751823986019 1.9269438851934226 0.9998934707031032
1.181925752633611 1.7548008005823517 1.1909152789962283 0.11498142974908379 0.034060363486141235 1.9486319081383157 1.1459384905641221
1.311006435886581 0.901518557895034 1.8137504849191215 1.0141785326087154 0.6690152240166448 1.8542008229261193 1.0369233247043015
1.5031037362123971 0.3150123187018784 1.5540548529316371 1.1337206067498578 0.9650397537121663 2.5146181826784737 1.1238726184099095
1.2845004220327003 0.6705709743258417 1.4600498733485217 1.980336442455271 0.7385904458176904 2.1822208035241184 1.1153846330029076
1.4298021589468988 0.37450118836130913 1.7040961508931396 0.929211701904394 0.6738336603378136 2.0900068722820304 1.0506812104874401
1.4604227291336738 1.097695470004768 1.5658689543823647 1.0818501669402119 0.13419665200905218 1.5693014742063567 1.1204850942790598
1.159117388607832 1.1109989684654185 1.5444124514952384 1.2524344009045605 0.3674461338152226 1.75090958023761 1.0717930195091878
1.1916242618462665 0.6071226339515535 1.4010132129001347 0.9293719281841852 0.8813920035037275 2.210367352194157 1.0722278578149755
1.2209006895056105 1.114481132979013 1.2561380208968096 0.29295402371728024 0.22160502890126774 1.7240522736599586 1.0652170026041403
1.2948142583273858 1.6885300963176073 1.5596590229244927 1.2050043260633247 0.42032826459070133 1.8171294759141077 1.0745264498620486
1.1928985084850927 1.8216198262289856 1.4184043084137903 0.18589501943268755 0.3207643638368525 1.8357544900760456 0.9953847469590033
1.1030667209513676 0.5778328250787815 1.6029466761952524 1.1435221681610257 0.11940217512863273 1.9648590344810934 1.0890530676170542
1.3138792282952865 1.1368498920246106 1.5912028232682585 0.7381510349808806 0.604819200231391 1.7355868265472933 1.0983621490213717
1.149737627443462 0.26845788077957544 1.947951562044138 1.6588204518512673 0.7547601459047668 2.535088652950235 1.0457276568597969
1.3969713012229281 0.27472270879574245 1.9716388994214835 1.5131426430099086 0.6713525212789621 2.4600189432885604 1.1345339313626215
1.1293876967092806 1.832305352075915 1.372474640039529 1.4056516605532947 0.47874856557471684 1.731183333270424 1.1040962591425398
1.4649908358829302 1.4542346277484346 1.715168751669828 0.5946720072009395 0.800313960110852 1.733129329734757 1.1137279114230874
1.1646312759174542 1.9873703038824655 1.413637615343096 0.8726804835814027 0.8920213142366312 1.6233991275437272 1.1283988402491263
1.171780121532303 0.1327390189425834 1.6251627208910238 1.7875720232915016 0.4108542915807143 2.567372045883861 1.1276289318401869
1.2020709782753691 1.504443335576114 1.3664785907212451 0.28149680371355357 0.49008927994683504 1.6849511344449246 1.1789512215696134
1.3066514902787665 0.8497777687892734 1.494283603839319 1.2440338138819853 0.5226939442176389 1.799505404203087 1.0973845554235526
1.1491692659647104 1.4342890544142477 1.4946911133835226 0.9985194468943127 0.41478926179279113 1.8996270208148889 1.0981098473470845
1.2088076149499802 0.39614122927461237 2.175706890461131 0.5075345329679805 0.9325150129109314 2.8114635229299223 1.0576681069217782
1.159648234331015 0.13693701109495027 1.6097459762847315 0.5502578719516795 0.5092150259568597 2.3472944336356596 1.069573568741987
1.1264711560512188 0.771975892046807 1.3702512604917272 1.5186136992141652 0.3670984677418623 1.9667243160217125 1.1004840420817694
1.5001698087832813 1.6187575884594692 1.7357969111854783 0.7614945274898814 0.4295451926072307 1.776083128364549 1.1352815501976825
1.1155357764849272 0.8229969572375 1.697643776698618 1.297594827723607 0.1688579256456647 1.8703615964549618 1.1146004568529715
1.1321091863505222 0.41556580027550105 1.643438776850534 1.2321686509809768 0.18784121670549803 1.917180072441965 1.091365762206648
1.5250426640860297 1.9447944179234515 1.7044918281301098 0.4018443007813726 0.8438355919749071 1.8104556508986975 1.133454390957988
1.1570886049904328 1.5120433021288044 1.2464278222468022 0.43178424791194814 0.88949002809355 1.82131426105295 1.100457992571275
1.349412828492477 0.46471809561391964 1.4303030404757844 1.774621265324632 0.43541336628438787 1.878108037368798 1.0926341277215796
1.4393391252848844 0.767212828641342 1.4686593936059715 0.892586267055665 0.5680173449617091 1.807367801247804 1.1146330547120935
1.4048222308273566 0.21543985465801174 1.5348348774923535 1.3113824635732017 0.9348200218690473 2.1103718384523553 0.9415131488167232
1.220258272879981 0.696020577875015 1.252349088484845 0.48328082222136765 0.9850065675875095 2.136197482081228 1.1580614994166962
1.3828097611009458 0.20340800384666322 1.475194684599691 0.8323764290998029 0.9944346224844555 2.212006704228884 0.9170868269356002
1.4267975543089353 1.0900416904371262 1.47336271500363 1.8486833111196168 0.018483994047375593 1.7256540475162785 1.1270070615312435
1.2640966462780279 0.1710715438310667 2.154878109210606 1.4460318056455859 0.2865513813423905 2.2221389573227874 1.1231330656292782
1.2118561012634501 0.2484734958650681 1.6149991987242716 0.6550636787580798 0.3992892136224229 1.7761057314123625 1.087739423648718
1.1307315408106322 0.9627879850245983 1.2655218366880092 0.18272141141138562 0.8342821753001488 2.0222917328505163 1.0580914657698501
1.449816361303618 1.7778577343796889 1.8899655178505357 1.67195854480408 0.29897394770671903 1.897056234937958 1.15244947338713
1.1674692698303126 0.5881188873015263 1.79883664367628 0.5424224364023061 0.9026103671848614 2.0294079531925973 1.0843048211820268
1.1181663850107206 1.6700868089042114 1.208149428923819 0.7871379001448108 0.7139286726987276 1.8418676546817094 1.1117081717257482
1.1619064501115606 0.09227312356592875 1.6167246184509922 0.20020667011485474 0.6233610563068894 1.9512863565962 1.119652778640002
1.1938362110317033 0.23343940254940088 1.4707232207349619 0.4882576262540927 0.2965738598524436 1.968430449463377 1.0445401888697723
