mu sigma nu tau
1.5616125922376467 0.48531412207116587 6.919975255966465 2.344389032097367
1.6277020122534558 0.329611263992784 3.4825639462107443 4.767708032139485
1.40029624979538 0.3310644062657412 7.463025366181505 5.569488094184126
1.442680213139969 0.3297341214592188 7.871628874330231 13.647545729057699
1.431918964926333 0.3110036079971964 3.755656101903207 13.596590630490622
1.365440898392419 0.18054881927905547 3.2130131883123982 8.777726071731637
1.6180749505161471 0.3902388590112303 5.909731596130734 10.013394742624882
1.5555500394425033 0.2914451656245947 5.503920342115995 3.655574250651296
1.366517649755719 0.20555413671746445 5.25384817959929 10.049564802210194
1.6022610611006782 0.3815971486522435 4.04474287909019 10.569585481849053
1.5687554242423736 0.30586521354374047 1.6977450260609068 6.442239709609785
1.4638254242393116 0.32157608120513237 3.914646079444829 16.359537860593658
1.3746005748807548 0.23533124256288018 6.146598607923023 8.09315662941516
1.4585833293727752 0.4290440495037119 6.063104342342082 3.190540808062212
1.5809016108246063 0.39665380595879846 4.150676749214954 6.61440191151843
1.4453540293935045 0.32096631507293316 6.3125464850996895 7.552915301178114
1.387307513735033 0.18089921639990003 5.407195770417002 19.30902361817988
1.6102627225217132 0.31049619639156883 5.478024457645856 16.078645302947553
1.3901087216932098 0.2415152964484086 5.6048979134883625 12.545536887333279
1.596943023553194 0.3494162798886903 4.881139987948755 14.233596378762085
1.6122862679183725 0.3861711643591071 5.787806680494043 6.172151215044108
1.568658373007207 0.2572403679688221 6.284194653271327 11.846810868045598
1.592110561886001 0.755162530531575 5.046251594300289 2.1920582675477243
1.637650413383934 0.4716214714041435 4.886148949400523 3.199163507687093
1.607612331203386 0.3193489700181895 6.140595695150823 12.569206992758765
1.459047510620948 0.5961103560041421 7.6356968193818435 2.088417278304433
1.4080210547574248 0.33455720809173495 1.2641625899647306 2.3361617408112387
1.6097422204274756 0.3571143757788913 5.051200671894284 7.019704790990415
1.5506791924609034 0.35538472772115615 4.051582083117303 9.016419717083663
1.5811025487022374 0.29216100566378855 2.558117598469214 10.120269887581161
1.599218931453906 0.33043875235251063 7.954309671562958 16.407563879356893
1.472600409829867 0.31219896677306236 6.30341194240062 14.04883524351858
1.4967015327084183 0.39249147521897954 6.200180276418524 4.138259270692784
1.602371502496036 0.32570162871396646 7.564909937313261 11.291450677186448
1.4802817381655262 0.1988124524854115 2.154578255095612 4.330629158357931
1.4111941865530613 0.25993761670268384 7.166327334941337 12.153275670792718
1.3794829241491735 0.2114006940685617 4.521779835133991 5.954875388157575
1.3779138799740112 0.17118619664418558 7.357764013102875 3.4914683090554783
1.4297566982874552 0.2817145192637699 6.6475956192344 10.783297486100592
1.3870455282785055 0.2173853431825597 7.625260372552115 9.066763596801461
1.5671338085225313 0.3857109627642535 2.197539318690805 4.026292774367363
1.462769309614436 0.33332407723147733 3.584149970379758 5.1237412314492445
1.395846002000774 0.20571420721332215 5.376951298079627 16.86620441716953
1.4356598902009114 0.17152273818349387 2.723213260248014 18.777766665045263
1.4011680619979832 0.22583933659285735 6.66655189738748 18.45077468947176
1.401373156931092 0.23895640803103307 5.786956230823868 10.327420519726935
1.4373692106971059 0.3565718715554317 5.677500596149594 3.4173215103667363
1.5461771702951723 0.30581717828035704 6.5777870706264165 3.4673690026663557
1.4921974274877585 0.1950726787139109 2.1280736448127344 17.76233206297347
1.5539818238978034 0.41848514739242787 7.838745882369049 4.119484259237836
1.447631877677857 0.17051952403581305 2.850887561240021 12.966510253728599
1.436810835388202 0.2685519127994135 1.6468935787336183 6.288602824126544
1.5800023181756209 0.6795846204426091 3.8057413263611943 2.226998763706334
1.5438490336071338 0.326356390253568 6.095835059963642 17.941101623582714
1.5687690372826668 0.26852392703773825 3.5527875803095754 16.517954426303778
1.482219075541325 0.30516364139144186 2.439934495829853 9.562692798340313
1.4442228778760176 0.2928099490762646 6.022527707212566 8.075973080460434
1.4029352060514348 0.26409101355899 1.4728976087144008 3.0083798333335796
1.504033398307893 0.31343596854119865 2.1664046933637833 8.007270632816272
1.6249842013888627 0.53678447985498 5.914997459756044 2.878727139806817
1.3818632903719712 0.20270583737980633 4.751451572243901 4.4064298150144054
1.593582547330798 0.3612729360178502 4.953690175871594 4.00360453699896
1.509071065675906 0.2715299198952141 1.6896622701546486 11.909414835494989
1.5766072664139905 0.2817732239022886 4.491285918571953 18.89533993837135
1.5624007914281965 0.27321981320862637 3.0488125969692597 8.128855785779308
1.4947240819079397 0.3109439271284017 6.754286287462037 15.149645610073549
1.5330637039847579 0.22633850769883868 4.898239697440118 15.350236133874068
1.4656290077431255 0.2913851890163408 5.175206451514619 16.340535567238167
1.3978550328479162 0.22818600363961403 2.0676686641037563 4.974620699169236
