mlo mup beta
1.137209443616987 2.4421695261359098 2.9513668734667426
1.1489031628872242 2.104107454240423 1.6540023194647837
1.1251319683463634 2.2648927492763473 3.124150298812399
1.1454600160477295 2.3054214665898094 1.9963672123052287
1.1711835974191631 2.64103619809708 6.364689049115517
1.1485609956185021 2.5542926287474605 4.7129168365277945
1.1511059643124997 2.6606017577080037 3.817966942895202
1.1651196796181562 2.667023960120601 5.936888645048718
1.1490581606014465 2.4253564637366036 2.7563885973245306
1.1613389038990873 2.7604474625863213 5.286667368328947
1.1412530139179875 2.3819453594232955 3.0482405068745777
1.1421119297800988 2.362100850353057 4.15351362706404
1.1706903808900784 2.0752562925912272 3.2933519915810336
1.1358941096007937 2.187723243258256 2.802721211228846
1.148037647067146 2.3052728989287403 2.305178946984279
1.1831634712775847 2.7245973684306244 5.129319910061401
1.1769319586088351 2.5856890960113397 6.158592338661416
1.164228792320909 2.085031360187689 2.828836678043868
1.1423478158594758 2.178135375947344 2.1342307266349225
1.168263551744812 2.8421530689304673 3.9232261306634992
1.1521917980954322 2.1344560860122757 3.743816717531928
1.1511631792440131 2.1207904903135675 2.6401484195788685
1.1625330133742748 2.3917670674061338 5.536868509095784
1.1606667746706152 2.6503765683203793 3.8235450362800556
1.1500494459813193 2.180364429267275 4.1736752776676305
1.167332731771983 2.615326964306579 5.6652592394252785
1.1832126403803107 2.1388771817172962 4.185810981789524
1.142934266003795 2.3100993245875605 2.8464861280083413
1.1735050516005434 2.355906343449644 2.2673130837538507
1.1754877373465318 2.8527300251381895 5.7876574501766616
1.158921665272251 2.663548198169817 4.5135731546823905
1.144810401196777 2.3871592325259803 3.5310651086177103
1.1663174631570923 2.893684408346995 5.120430217040404
1.1649121388851325 2.1634809449297077 5.066817438210174
1.1626007347131666 2.228412814732282 1.7723828951793044
1.147535539003106 2.261883343899383 2.3533671825030487
1.1710095028609506 2.5108922753613525 5.922665412474727
1.1653881058144573 2.7270372857297414 5.254387825078551
1.1758682589064238 2.6953983777841364 3.7118067209679975
1.1569067516592857 2.5631839780138836 4.539214140673838
1.1520323380046174 2.4458020256638395 3.373119459098991
1.1704627400909304 2.86817379650408 5.466444188539727
1.156771502598552 2.466503205115859 4.853853686029204
1.1655230498439204 2.7102911297706624 5.21596086269073
1.1483044406011622 2.389031912063783 4.056332785051193
1.180593053844674 2.362922431411797 5.841968720126808
1.1430313676927877 2.2494091892645884 2.741655856346682
1.1614737777066375 2.41650002340747 2.78023958100177
1.185242267527661 2.3919845169164513 4.135153098837394
1.1841732545387054 2.4708786765599835 4.212686451749667
1.162411308795845 2.2117847691439847 5.117061388497131
1.1835222540266956 2.1934138313590292 2.8137478012836565
1.158355721665092 2.3982766076028876 5.041030710681593
1.1682548043387269 2.2866283300601093 5.672923539883753
1.176566993812436 2.094769415546229 3.4181277797008818
1.1529253310046692 2.3867393631646525 3.0054069070698457
1.1487197781983505 2.1542971722893647 2.569239203279629
1.1736439101483198 2.8226905905510367 5.552844993303191
1.1708669611238465 2.785118258300538 5.4645512388624855
1.1867592629210484 2.311925782368989 4.170143354110463
1.1749263617154766 2.695834817889456 5.705545054570345
1.1784632137912108 2.7289266127891616 5.511346215806304
1.1695495118665988 2.7710259556487036 4.108321901521032
1.153130089486098 2.1979683072297687 2.1101714769959328
1.1707635838275958 2.2193227794607786 1.8034458382050156
1.1497077328953407 2.283868397886707 2.6051069901904924
1.145367858376369 2.1828937206202608 2.9266411894447923
1.1767273209848503 2.126607087694997 4.672886642352825
1.1682554991879819 2.2683542966062396 2.020643131386092
