mu1 sigma1 mu2 sigma2 alpha mlo
1.2150225889421542 0.11128785738382967 2.7154078863789226 1.4242920823731688 0.9701421269797341 1.1745428480690911
1.2516191883777732 0.2527738387627301 1.344752589828149 1.6907755172230234 0.903917651718386 1.107063110659143
1.3439666482032586 0.09340934787113454 1.4873912419610824 0.292203417230942 0.3818777670582162 1.0320344210511492
1.21468590913278 0.0933943180817577 1.2289449065910951 0.30898438027152675 0.3479336350504993 1.0736911943673604
1.326231955299784 0.07768952205259756 1.8526469750736796 0.1249868616528307 0.6648902589225473 0.9144336909233922
1.350730010980919 0.10269990370371483 2.439771402265732 1.5433590262601455 0.9938276446403643 1.0828891508858438
1.305318816639452 0.061845015118198406 1.8578041211277125 1.1016385936571294 0.6343632456951527 0.9597062474458279
1.187735296386189 0.34505914076301036 2.409054878097079 1.460762333692114 0.9867410108813491 1.1403205471721896
1.1761951944836126 0.2069950469058129 1.6383904922613164 0.8059748391601711 0.7186023860781223 1.1497005954865538
1.2794926444948074 0.23604468704226594 1.7781664085141995 0.6544520227354483 0.9165883487673031 1.1139293965182118
1.3057476884516979 0.1568704126659567 1.3932035145900985 1.5690812487706243 0.9445642676859973 1.0298122930974416
1.3203452933354574 0.045595468363288684 1.6788738396963017 1.0910002964472032 0.8551773133393132 0.9044144714981036
1.2757235137809388 0.16033710999845155 1.7134033959046673 1.1286831253101632 0.9716963868640016 1.083098545226691
1.3795869252705515 0.11203091926358662 1.88320769858032 0.4631598060045496 0.9304025553465401 1.0582109631013632
1.2682260088438875 0.1600784706920549 2.0899828586028186 1.0327708328547975 0.8520873581573029 1.1144023337162279
1.2848525342141768 0.11768167688927925 2.2006119900471885 1.8171609059382525 0.8137889428253295 1.1041865590551678
1.162477023033773 0.1909620433598845 1.8719031990191586 1.183949321433541 0.8507209030459063 1.1389348116990894
1.1537276836008976 0.10653285275301907 1.4071154294289088 0.19886639152651128 0.4287183168828221 1.1363420564645355
1.3314923524027051 0.06414304944151349 1.5415919572125742 1.0575168953049885 0.6708523837726945 1.105996031246696
1.335602079285915 0.15022019807007927 2.574717850169975 1.240461215584917 0.9233099320971484 1.0873616738279692
1.2946913704004124 0.886143121646984 1.3298428726058784 0.061463231438685144 0.41375456675677585 1.1639022041202023
1.2558370296712953 0.10188915689445281 1.3815349473408618 0.2863379894606698 0.7722644891382204 0.9848445433617565
1.2759799958399736 0.2021681041153728 2.7646328378414795 0.7448102255057985 0.8875925843286055 1.158945042121182
