alpha mmin mmax delta_m
3.3478999452098392 1.2125036718291882 2.3763964656056213 0.2868744544384625
3.487797654089281 1.1455915605575324 2.8316501833222754 0.08581543602073118
11.537055265974374 1.1153682227788675 2.5680256444572613 0.8663402918492491
6.6170719780377105 0.9487766404612308 2.7497624733801596 0.7711311157293776
1.7346016500775097 0.9836539571457583 2.140706421464775 0.5607386553949296
7.311047049430318 0.9890380940318753 2.1350113047654027 0.910936813299605
10.846168078731957 1.1405945375046314 2.7551810461632815 0.5292989975910366
7.867739505691162 1.0588446816500479 2.373231277395959 0.9893570808649617
11.96833182437599 1.0973653734278281 2.3466607042125958 0.8530366567196239
5.2295034071282185 0.9481088895368907 2.8097878735862993 0.7584570822604708
1.4771433951803195 0.9869140781168692 2.250365865628447 0.4186831625860434
3.294337656656616 0.9745544112189034 2.5363364776685495 0.5039639084933856
3.9404049050497445 0.9697074727705381 2.5810570417188425 0.6806064516976128
8.48696651916801 1.148307517809776 2.448018018388155 0.5797964238238155
6.285999046824454 1.0174725055670335 2.404625798055908 0.48114522741354987
6.6385049928512 1.2080289375409219 2.3720842267212183 0.03366365414680228
3.195399448563231 1.051583010411652 2.3991495122774977 0.5538005516700697
3.62971832998422 0.9489551253530988 2.2073251665094986 0.8125279663111217
1.5509778009948807 1.2443516403105324 2.253606360598982 0.08822064724646832
4.471774178971213 0.9447944522873506 2.485148762870905 0.6240116502683833
4.399787468727149 1.1483952394446826 2.284518077250015 0.07772066299176096
10.663143511580826 1.0678519840352212 2.7280380865176426 0.7631491470128626
8.530630229194445 1.102592992180587 2.2027207744642383 0.4863078659087638
6.023056722831598 0.931885290487155 2.3579105875367805 0.8192254000187159
8.403308039763163 1.1804055466949372 2.197076001901978 0.3657454777555778
4.662547473218908 1.025473031891394 2.822589623495719 0.608717892283379
7.496215601143611 1.0196742428291792 2.315235754108632 0.6198324533872809
2.5070891473507775 0.9859792525460039 2.3258955010884703 0.41678391159600575
10.808246189603558 1.0539674053934105 2.4571657176970376 0.8455436793210543
6.786988243777879 1.0544166321590351 2.198187848865166 0.8202615253756257
5.865156968766298 1.0077585574633026 2.8335482508470236 0.5366444951955448
9.504114631690545 1.2223007882334536 2.4785440089621087 0.19965506581065745
5.563557466982479 1.1155695594141815 2.2103228660272376 0.5629824342319393
7.344109424132231 1.1159247430000843 2.3692893034124527 0.2861510848723466
5.106632701986923 1.1399587597599832 2.3385811729233943 0.4808423122060264
4.131271363869235 1.0699635804277676 2.2403027966878293 0.25514775085833985
10.077213155724936 1.0885844577218962 2.4323752696139094 0.8955203082812432
8.892895778325222 1.276333984767275 2.7877577216054923 0.07114687889299064
5.555937403666974 0.9616201202239304 2.6195657443954676 0.8159771743256189
6.099555001374847 1.0566244451362437 2.1393147836490245 0.5674976047553355
2.505313005904215 1.2223497470718545 2.3866745479886013 0.15514371587736078
2.3695716887025906 1.0269833593523783 2.307816791175836 0.33434443963231664
4.726551957505322 1.2113006931946804 2.1382223971888057 0.02089327436166185
4.446237404301868 1.1104399505578058 2.8551986873153625 0.4206382584929607
3.690170950427216 0.9321129467761262 2.30088810217828 0.6739987767705539
9.988546881889999 1.0975275885423301 2.393606104184515 0.8050343356159914
4.586723131957401 1.0995923553663791 2.6397273902051523 0.22201995705499517
9.477401072328982 1.0914407450055825 2.474416831513395 0.835637168653143
9.67803436390138 1.128474521999644 2.8684806418921047 0.5132667330500562
6.118350034456798 1.026340250479662 2.6488756492612766 0.8021349664349124
10.745166682802571 1.0431364048586675 2.2916923126968998 0.9649191580612139
10.786911618614146 1.0721491302671453 2.3601718915469028 0.8561548464147982
7.634187838735963 1.1619247078136365 2.5323049944928133 0.47068731691760923
1.954490901933247 1.001399099735111 2.1900698343500316 0.42474646407484895
8.468100794037259 1.1125948822067218 2.6352908483201665 0.39696005466404327
10.111551475283484 1.1052719034031049 2.3954897576360166 0.6930210838195493
3.549389262797739 1.1660586299659867 2.4117709361308606 0.04032714687349845
5.570226265150758 1.0375053254653417 2.2721175369803674 0.41488653374401374
4.298319893829834 1.006892293352478 2.6317213159098536 0.5758919377350987
7.730388121922934 0.9643864824135555 2.399970416746559 0.9262922134106181
6.6548366344040435 1.2633567644023989 2.333585703147677 0.1383201692595043
6.513189880784061 1.0008062434335654 2.4510002132820703 0.6160467656586873
4.038226045512248 1.168270266083074 2.349867585661762 0.04094772417758345
9.784222257073766 1.0743812294874409 2.4217365704567912 0.7009251119532033
10.145236645245364 1.078130359421487 2.6179967859997983 0.746772083862823
7.349203048441279 1.0515664398229956 2.2106508441167336 0.5845192187347431
3.369659085006349 1.1567565512589093 2.7671610926687524 0.18506770577211348
7.922138414665149 1.0857376325313695 2.3381891248922493 0.4497034200265518
2.809633901139385 1.0985368378871774 2.139537245982173 0.4090122228157003
9.485783876403493 1.0556821565588377 2.64230321128988 0.7447684486095009
9.935987230835181 1.065333884608996 2.8845363910060904 0.9494487962316875
2.8052817502067118 0.9725341238527391 2.2336123463105535 0.5966961072063292
3.408832124006233 1.028148984252415 2.3264687009366063 0.5952195388499467
