
0it [00:00, ?it/s]
1it [02:00, 120.67s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-664.07+/-0.18 dlogz:inf>0.1]
11it [02:01,  7.93s/it, bound:0 nc:  2 ncall:4.2e+02 eff:2.6% logz=-469.06+/-0.18 dlogz:538.233>0.1]
22it [02:01,  3.23s/it, bound:0 nc:  4 ncall:4.4e+02 eff:5.0% logz=-411.75+/-0.18 dlogz:484.114>0.1]
30it [02:01,  2.02s/it, bound:0 nc:  1 ncall:4.6e+02 eff:6.5% logz=-380.27+/-0.17 dlogz:442.978>0.1]
41it [02:02,  1.17s/it, bound:0 nc:  4 ncall:4.8e+02 eff:8.5% logz=-320.49+/-0.18 dlogz:388.556>0.1]
47it [02:02,  1.12it/s, bound:0 nc:  9 ncall:5.0e+02 eff:9.4% logz=-299.38+/-0.17 dlogz:361.622>0.1]
57it [02:02,  1.75it/s, bound:0 nc:  7 ncall:5.3e+02 eff:10.8% logz=-265.44+/-0.18 dlogz:329.678>0.1]
63it [02:03,  2.22it/s, bound:0 nc:  7 ncall:5.4e+02 eff:11.6% logz=-253.45+/-0.16 dlogz:315.573>0.1]
72it [02:03,  3.15it/s, bound:0 nc:  3 ncall:5.6e+02 eff:12.8% logz=-232.45+/-0.17 dlogz:295.124>0.1]
82it [02:04,  4.45it/s, bound:0 nc:  4 ncall:5.8e+02 eff:14.1% logz=-209.17+/-0.18 dlogz:272.402>0.1]
92it [02:05,  5.97it/s, bound:0 nc:  6 ncall:6.0e+02 eff:15.2% logz=-184.78+/-0.19 dlogz:251.269>0.1]
98it [02:05,  6.87it/s, bound:0 nc:  2 ncall:6.2e+02 eff:15.8% logz=-176.84+/-0.16 dlogz:238.479>0.1]
106it [02:05,  8.28it/s, bound:0 nc:  3 ncall:6.4e+02 eff:16.5% logz=-169.49+/-0.16 dlogz:231.377>0.1]
112it [02:06,  8.27it/s, bound:0 nc:  3 ncall:6.6e+02 eff:16.9% logz=-159.88+/-0.17 dlogz:222.139>0.1]
119it [02:07,  8.42it/s, bound:0 nc: 13 ncall:6.9e+02 eff:17.2% logz=-148.20+/-0.17 dlogz:210.672>0.1]
124it [02:08,  7.64it/s, bound:0 nc: 10 ncall:7.1e+02 eff:17.5% logz=-141.71+/-0.17 dlogz:203.774>0.1]
130it [02:08,  8.28it/s, bound:0 nc:  3 ncall:7.2e+02 eff:18.0% logz=-127.97+/-0.18 dlogz:191.522>0.1]
136it [02:09,  9.23it/s, bound:0 nc:  6 ncall:7.4e+02 eff:18.3% logz=-120.32+/-0.17 dlogz:182.506>0.1]
144it [02:09, 10.72it/s, bound:0 nc:  3 ncall:7.6e+02 eff:18.9% logz=-113.00+/-0.16 dlogz:174.571>0.1]
153it [02:10, 10.36it/s, bound:0 nc:  1 ncall:7.8e+02 eff:19.6% logz=-108.57+/-0.15 dlogz:169.980>0.1]
159it [02:12,  8.09it/s, bound:0 nc:  5 ncall:8.0e+02 eff:19.8% logz=-104.69+/-0.16 dlogz:165.919>0.1]
164it [02:12,  7.35it/s, bound:0 nc:  4 ncall:8.2e+02 eff:19.9% logz=-102.65+/-0.15 dlogz:164.034>0.1]
174it [02:13,  8.25it/s, bound:0 nc:  4 ncall:8.4e+02 eff:20.6% logz=-93.38+/-0.16 dlogz:154.789>0.1] 
178it [02:15,  6.42it/s, bound:0 nc:  2 ncall:8.6e+02 eff:20.6% logz=-90.17+/-0.16 dlogz:151.535>0.1]
185it [02:15,  7.46it/s, bound:0 nc:  7 ncall:8.8e+02 eff:21.0% logz=-84.70+/-0.17 dlogz:146.562>0.1]
193it [02:16,  8.52it/s, bound:0 nc: 15 ncall:9.1e+02 eff:21.2% logz=-78.83+/-0.16 dlogz:140.142>0.1]
200it [02:16,  9.38it/s, bound:0 nc:  1 ncall:9.2e+02 eff:21.7% logz=-75.53+/-0.15 dlogz:136.687>0.1]
204it [02:17,  8.42it/s, bound:0 nc:  4 ncall:9.4e+02 eff:21.6% logz=-73.20+/-0.16 dlogz:134.540>0.1]
209it [02:18,  8.28it/s, bound:0 nc:  5 ncall:9.6e+02 eff:21.7% logz=-67.49+/-0.16 dlogz:128.965>0.1]
217it [02:18,  9.66it/s, bound:0 nc:  2 ncall:9.8e+02 eff:22.1% logz=-61.60+/-0.16 dlogz:123.003>0.1]
222it [02:19,  9.50it/s, bound:0 nc:  8 ncall:1.0e+03 eff:22.1% logz=-59.03+/-0.16 dlogz:120.178>0.1]
226it [02:20,  8.48it/s, bound:0 nc: 17 ncall:1.0e+03 eff:21.8% logz=-57.04+/-0.16 dlogz:118.438>0.1]
227it [02:20,  6.52it/s, bound:0 nc:  5 ncall:1.0e+03 eff:21.8% logz=-56.32+/-0.16 dlogz:117.731>0.1]
234it [02:21,  8.34it/s, bound:0 nc:  3 ncall:1.1e+03 eff:22.0% logz=-51.38+/-0.16 dlogz:112.683>0.1]
242it [02:21,  9.60it/s, bound:0 nc:  3 ncall:1.1e+03 eff:22.3% logz=-47.55+/-0.15 dlogz:108.509>0.1]
247it [02:22,  9.65it/s, bound:0 nc:  1 ncall:1.1e+03 eff:22.4% logz=-44.15+/-0.16 dlogz:105.157>0.1]
250it [02:22,  8.58it/s, bound:0 nc:  7 ncall:1.1e+03 eff:22.2% logz=-42.51+/-0.16 dlogz:103.661>0.1]
256it [02:23,  9.63it/s, bound:0 nc:  2 ncall:1.1e+03 eff:22.4% logz=-39.85+/-0.16 dlogz:101.257>0.1]
264it [02:23, 11.28it/s, bound:0 nc: 12 ncall:1.2e+03 eff:22.5% logz=-35.69+/-0.16 dlogz:96.954>0.1] 
267it [02:24,  9.43it/s, bound:0 nc:  2 ncall:1.2e+03 eff:22.6% logz=-34.63+/-0.15 dlogz:95.492>0.1]
273it [02:25,  9.57it/s, bound:0 nc:  5 ncall:1.2e+03 eff:22.7% logz=-32.98+/-0.15 dlogz:93.862>0.1]
282it [02:25, 11.92it/s, bound:0 nc:  2 ncall:1.2e+03 eff:23.1% logz=-26.97+/-0.15 dlogz:87.789>0.1]
286it [02:26, 11.14it/s, bound:0 nc:  4 ncall:1.2e+03 eff:23.0% logz=-25.77+/-0.15 dlogz:86.703>0.1]
291it [02:26, 10.61it/s, bound:0 nc:  4 ncall:1.3e+03 eff:23.0% logz=-23.82+/-0.16 dlogz:84.768>0.1]
294it [02:27,  9.32it/s, bound:0 nc: 12 ncall:1.3e+03 eff:23.0% logz=-22.53+/-0.16 dlogz:83.450>0.1]
300it [02:27, 10.20it/s, bound:0 nc:  3 ncall:1.3e+03 eff:23.0% logz=-19.97+/-0.16 dlogz:81.063>0.1]
304it [02:27,  9.75it/s, bound:0 nc: 15 ncall:1.3e+03 eff:23.0% logz=-18.61+/-0.15 dlogz:79.386>0.1]
310it [02:28, 11.23it/s, bound:0 nc:  8 ncall:1.3e+03 eff:23.1% logz=-17.24+/-0.15 dlogz:77.933>0.1]
314it [02:28, 10.68it/s, bound:0 nc:  8 ncall:1.4e+03 eff:23.1% logz=-16.53+/-0.14 dlogz:77.150>0.1]
324it [02:29, 14.09it/s, bound:0 nc:  2 ncall:1.4e+03 eff:23.5% logz=-14.61+/-0.15 dlogz:75.457>0.1]
330it [02:29, 14.06it/s, bound:0 nc:  6 ncall:1.4e+03 eff:23.5% logz=-12.34+/-0.15 dlogz:73.108>0.1]
332it [02:30, 11.43it/s, bound:0 nc: 21 ncall:1.4e+03 eff:23.2% logz=-11.73+/-0.15 dlogz:72.430>0.1]
336it [02:30, 10.95it/s, bound:0 nc:  7 ncall:1.4e+03 eff:23.2% logz=-10.57+/-0.15 dlogz:71.248>0.1]
343it [02:30, 13.17it/s, bound:0 nc:  9 ncall:1.5e+03 eff:23.4% logz=-8.69+/-0.15 dlogz:69.412>0.1] 
347it [02:31, 12.74it/s, bound:0 nc:  5 ncall:1.5e+03 eff:23.4% logz=-7.77+/-0.15 dlogz:68.410>0.1]
353it [02:31, 14.08it/s, bound:0 nc:  7 ncall:1.5e+03 eff:23.4% logz=-6.51+/-0.15 dlogz:67.048>0.1]
362it [02:31, 17.58it/s, bound:0 nc:  8 ncall:1.5e+03 eff:23.7% logz=-4.78+/-0.15 dlogz:65.367>0.1]
368it [02:32, 18.13it/s, bound:0 nc: 15 ncall:1.6e+03 eff:23.7% logz=-3.73+/-0.14 dlogz:64.795>0.1]
370it [02:32, 14.69it/s, bound:0 nc:  3 ncall:1.6e+03 eff:23.6% logz=-3.45+/-0.14 dlogz:64.500>0.1]
375it [02:32, 14.40it/s, bound:0 nc:  9 ncall:1.6e+03 eff:23.6% logz=-2.47+/-0.15 dlogz:63.605>0.1]
379it [02:33, 13.73it/s, bound:0 nc:  5 ncall:1.6e+03 eff:23.6% logz=-1.71+/-0.15 dlogz:62.791>0.1]
383it [02:33, 13.50it/s, bound:0 nc: 20 ncall:1.6e+03 eff:23.4% logz=-0.64+/-0.15 dlogz:61.823>0.1]
385it [02:33, 11.52it/s, bound:0 nc:  6 ncall:1.6e+03 eff:23.3% logz=-0.03+/-0.15 dlogz:61.200>0.1]
387it [02:34, 10.32it/s, bound:0 nc:  6 ncall:1.7e+03 eff:23.3% logz=0.42+/-0.15 dlogz:60.658>0.1] 
391it [02:34, 10.35it/s, bound:0 nc:  7 ncall:1.7e+03 eff:23.2% logz=1.15+/-0.15 dlogz:59.900>0.1]
397it [02:34, 11.95it/s, bound:0 nc: 10 ncall:1.7e+03 eff:23.3% logz=2.27+/-0.15 dlogz:58.728>0.1]
402it [02:35, 12.06it/s, bound:0 nc:  4 ncall:1.7e+03 eff:23.3% logz=3.15+/-0.15 dlogz:57.878>0.1]
406it [02:36,  8.11it/s, bound:0 nc: 29 ncall:1.8e+03 eff:23.1% logz=3.86+/-0.15 dlogz:57.128>0.1]
