
0it [00:00, ?it/s]
1it [00:30, 30.46s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-8439.37+/-0.18 dlogz:inf>0.1]
6it [00:30,  3.77s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.5% logz=-3649.23+/-0.18 dlogz:3875.493>0.1]
11it [00:30,  1.69s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.7% logz=-2942.30+/-0.18 dlogz:3155.418>0.1]
16it [00:30,  1.04it/s, bound:0 nc:  1 ncall:4.2e+02 eff:3.8% logz=-2099.59+/-0.18 dlogz:2214.420>0.1]
21it [00:31,  1.67it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.0% logz=-1775.89+/-0.18 dlogz:1878.246>0.1]
26it [00:31,  2.52it/s, bound:0 nc:  1 ncall:4.3e+02 eff:6.1% logz=-1575.55+/-0.18 dlogz:1669.651>0.1]
30it [00:31,  3.42it/s, bound:0 nc:  2 ncall:4.3e+02 eff:7.0% logz=-1339.45+/-0.18 dlogz:1441.847>0.1]
35it [00:31,  4.95it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.0% logz=-1164.12+/-0.18 dlogz:1235.981>0.1]
40it [00:31,  6.95it/s, bound:0 nc:  1 ncall:4.4e+02 eff:9.1% logz=-827.36+/-0.18 dlogz:906.895>0.1]  
44it [00:31,  8.80it/s, bound:0 nc:  1 ncall:4.5e+02 eff:9.9% logz=-750.13+/-0.18 dlogz:825.732>0.1]
49it [00:31, 11.81it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.9% logz=-608.93+/-0.18 dlogz:669.794>0.1]
53it [00:32, 14.30it/s, bound:0 nc:  1 ncall:4.6e+02 eff:11.6% logz=-557.98+/-0.18 dlogz:631.902>0.1]
57it [00:32, 17.00it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.4% logz=-498.47+/-0.18 dlogz:564.215>0.1]
61it [00:32, 19.43it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.1% logz=-463.35+/-0.18 dlogz:530.727>0.1]
65it [00:32, 22.02it/s, bound:0 nc:  2 ncall:4.7e+02 eff:13.7% logz=-451.45+/-0.18 dlogz:510.598>0.1]
69it [00:32, 24.53it/s, bound:0 nc:  1 ncall:4.8e+02 eff:14.5% logz=-380.09+/-0.17 dlogz:433.185>0.1]
73it [00:32, 26.37it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.2% logz=-361.42+/-0.18 dlogz:419.986>0.1]
78it [00:32, 30.38it/s, bound:0 nc:  1 ncall:4.9e+02 eff:16.0% logz=-339.54+/-0.18 dlogz:395.831>0.1]
82it [00:32, 30.74it/s, bound:0 nc:  2 ncall:4.9e+02 eff:16.7% logz=-331.18+/-0.16 dlogz:383.678>0.1]
86it [00:33, 32.14it/s, bound:0 nc:  2 ncall:5.0e+02 eff:17.3% logz=-318.94+/-0.18 dlogz:372.999>0.1]
91it [00:33, 35.20it/s, bound:0 nc:  1 ncall:5.0e+02 eff:18.2% logz=-251.82+/-0.19 dlogz:315.538>0.1]
95it [00:33, 34.17it/s, bound:0 nc:  1 ncall:5.1e+02 eff:18.7% logz=-225.38+/-0.18 dlogz:280.070>0.1]
99it [00:33, 33.61it/s, bound:0 nc:  1 ncall:5.1e+02 eff:19.3% logz=-200.71+/-0.18 dlogz:256.661>0.1]
103it [00:33, 26.30it/s, bound:0 nc:  4 ncall:5.2e+02 eff:19.7% logz=-179.58+/-0.19 dlogz:240.914>0.1]
106it [00:33, 25.93it/s, bound:0 nc:  2 ncall:5.3e+02 eff:20.1% logz=-145.47+/-0.17 dlogz:199.061>0.1]
109it [00:33, 25.56it/s, bound:0 nc:  1 ncall:5.3e+02 eff:20.5% logz=-134.63+/-0.18 dlogz:188.888>0.1]
113it [00:33, 27.86it/s, bound:0 nc:  1 ncall:5.4e+02 eff:21.1% logz=-131.01+/-0.16 dlogz:183.513>0.1]
117it [00:34, 29.43it/s, bound:0 nc:  1 ncall:5.4e+02 eff:21.6% logz=-123.89+/-0.18 dlogz:179.039>0.1]
122it [00:34, 33.61it/s, bound:0 nc:  1 ncall:5.5e+02 eff:22.3% logz=-112.84+/-0.18 dlogz:167.414>0.1]
126it [00:34, 34.08it/s, bound:0 nc:  1 ncall:5.5e+02 eff:22.9% logz=-105.97+/-0.17 dlogz:159.511>0.1]
131it [00:34, 36.52it/s, bound:0 nc:  1 ncall:5.6e+02 eff:23.6% logz=-101.34+/-0.17 dlogz:154.498>0.1]
135it [00:34, 34.81it/s, bound:0 nc:  1 ncall:5.6e+02 eff:24.0% logz=-96.90+/-0.16 dlogz:149.400>0.1] 
139it [00:34, 34.09it/s, bound:0 nc:  1 ncall:5.7e+02 eff:24.6% logz=-95.34+/-0.15 dlogz:147.535>0.1]
144it [00:34, 36.96it/s, bound:0 nc:  2 ncall:5.7e+02 eff:25.2% logz=-93.59+/-0.15 dlogz:145.733>0.1]
148it [00:34, 36.13it/s, bound:0 nc:  1 ncall:5.8e+02 eff:25.7% logz=-92.22+/-0.15 dlogz:144.350>0.1]
152it [00:35, 35.51it/s, bound:0 nc:  1 ncall:5.8e+02 eff:26.0% logz=-90.86+/-0.15 dlogz:142.983>0.1]
