mlo mup beta
1.0918151592714933 2.1221963664041237 4.8385301492119925
1.2905254128465935 2.614959708618427 9.803106164841523
1.2035742491426962 2.1362258007726886 1.7050766847723597
1.2194796957719296 2.5329787729307096 3.2537733778962057
1.1064949871567822 2.0566622915198827 2.6602472312046075
1.1063262517837356 2.1343001283696843 2.5141474704976456
1.1487747117357392 2.2925611868830496 6.3892362987519995
1.1417060471455882 2.6502370684511387 5.635574317220648
1.2840394027298756 2.2136340210313 6.56241078315632
1.2294962412643282 2.3494871744100543 3.182923999038035
1.144345211020121 2.8514840509587724 4.69896127891279
1.177975803305174 2.5056458082412214 7.694682052694974
1.1313674444610493 2.3687801604343783 3.2800642361114374
1.2839563681197157 2.8820029888336194 8.463704272940126
1.2349161266466242 2.1404108476497994 9.729939656287913
1.1792175013744808 2.3574282855293704 2.8711672393704744
1.1662536063207156 2.7734433792578512 4.105276473485038
1.1526475752634338 2.039695325903896 4.1171004409545695
1.177126610033542 2.643764745812687 3.8236686782962472
1.1519324578738117 2.21649067154387 6.023384661933683
1.2635393981224166 2.2591863044102034 4.539369854110854
1.1537426613463384 2.792799458183495 4.849062340846023
1.2464186315743262 2.025927637915243 4.788671688213338
1.2487582547399483 2.032351771005533 7.464310148001557
1.2411470673936857 2.1191055012867452 3.3665518402729724
1.1696065275459246 2.7354151811249974 4.339077625055275
1.2274810624723456 2.779423892219402 9.59512632068018
1.1570449284566213 2.7536307757090523 5.411373491892697
1.1762320979469 2.2932888436562893 7.098120288144141
1.1568675141133393 2.4572590195299675 5.913012402620515
1.2324163592106845 2.47825071275862 9.698385663271555
1.19004393616422 2.0723983934643684 2.589876162220852
1.194698131152441 2.6121933327884763 7.985835824371815
1.137113040398393 2.319803568914526 4.488830661960318
1.2783404305575974 2.4921838232952767 7.79528111671315
1.1759506557509694 2.1285434171479825 2.5091806334291364
1.2765749224634888 2.2972527538309864 6.526395434129357
1.2237459067438674 2.4857869649530757 3.9369230496607006
1.2336422257899207 2.458028950071985 9.658985301477532
1.1549700290467895 2.3619416241573714 5.764506087172595
1.167572954820686 2.089949608366112 5.527100606317054
1.1389212667703588 2.158947373227403 4.302783551702266
1.24578808421665 2.893222370614104 9.81966272412255
1.1729329867260738 2.6089329824192458 4.225719407629281
1.2699579315187604 2.6928569394509028 6.51488556342262
1.242893776003635 2.8310056015520852 5.039041037701514
1.2482957363965208 2.3270776726493096 9.8791838075
1.2561015100359383 2.0473821964940386 5.965222132339708
1.1983532818349307 2.694874223191441 8.022582947587903
1.1880690578130457 2.822926954779799 7.3883399606972215
1.2714623334210065 2.516694104059065 6.471873617004997
1.2749992086647766 2.670467159072282 8.389722923118319
1.2469234024729021 2.8651091534901036 9.713948882388172
1.1432684685055718 2.130087754379922 3.833060049736291
1.1621715579761365 2.152357161210187 5.655759339160401
1.1950378744050223 2.202316292458351 7.622475630603255
1.2260188392761182 2.2476459968439775 3.3680122563958683
1.2748549201153716 2.442100755155906 7.119638322937838
1.1437277410420867 2.305096634747297 4.505181575215346
1.2735199008871692 2.896058182651972 8.1016118861248
1.2551213583122962 2.7723063880535475 5.622430242175595
1.255302847274041 2.1612134948981456 4.49204423867914
1.2755714403588374 2.331694635760049 8.370282753735326
1.2723776871777472 2.864459486671305 7.531278287112599
1.2700476542465522 2.3935489748185654 6.208734820109488
1.235405638453207 2.297818507081427 3.8033822286850967
1.2396811987299206 2.8627826977004434 5.120506205392418
1.1876695453716597 2.746678951183556 7.186837407141864
1.2308066676218874 2.6923427550214285 9.26937237637779
1.241494410850352 2.7748676571548714 5.1000426937001855
1.2161597520357574 2.8462633344835098 8.68879876519937
1.2589210022289172 2.261127299054935 9.457339477035568
1.2382625346499658 2.8627252649048778 9.422210732059545
1.1728304481940532 2.6575353904014634 6.146921570786734
1.1636876099355447 2.467571667299744 5.775206046431093
1.2287701051768938 2.7665439449425535 4.771042291591932
1.1966997785570808 2.8222374172183446 4.657125909788411
1.2553693071930887 2.3515377301635167 4.9121287128615805
1.1902068424233168 2.4486833215995913 3.8534955629571126
1.2512150861705988 2.0755608230354237 7.854428421903762
1.1619497542685895 2.13005480865347 5.1797295992694625
1.1742130430035083 2.104539309261181 5.612415191497602
1.1598003135344106 2.21763037270578 5.541709778440886
1.2437811340967773 2.5073633157068285 9.472712358231334
1.2171363260585584 2.4165901300704244 3.893544497127122
1.187875265718101 2.2819984329969745 7.232507008293197
1.2232302807044926 2.0319662305584845 4.433984129932334
1.1524854744464406 2.3182502771817357 4.918324711680794
1.2511825412067425 2.1837368923963116 9.111716179150665
1.2101312039653336 2.2548324456889044 8.240488694108633
1.200229623607574 2.6486784689528564 7.766360749022617
1.2178441928673225 2.775035566277932 4.718584601533454
1.2206197377536938 2.5977540303897335 8.774937948802323
1.2540421976088774 2.075642620136703 5.500308245616498
1.2718372194581595 2.383273066058883 7.0040081101449925
1.1496418723191213 2.2751352981053525 4.334203537208349
1.2634607644958824 2.8277140203873095 9.026155613365747
1.253030972582082 2.105874092977051 8.174007387016879
1.2493853661206056 2.1132884522006763 8.388610626237128
1.267249753805344 2.605527226182566 8.756601128443762
1.2623275682789634 2.433898079548314 5.796972303426918
1.260100707696598 2.1233383414431257 8.059578316174306
1.253015753868804 2.8141423561017387 9.295300702351913
1.1930289971659966 2.280890889103193 7.383573616636818
1.2011494904994109 2.6190084230611106 4.4447766253529135
1.203652095839462 2.071600514507468 6.51271791434327
1.1907924413631292 2.0779667474730563 3.2729554010652
1.1776886439597107 2.761964415965638 5.939206841141965
1.1597731800877933 2.250722845495436 3.537119575738677
1.2491316841369018 2.856386944844114 9.31058449836955
1.1703581986738822 2.549729337077488 4.883284508981713
1.211823759528284 2.77876992201731 8.217491051805165
1.2567775953630358 2.758741393266587 9.168647338193594
1.2508471254882547 2.662808095893353 5.55797038633626
1.2418731417920994 2.433810681396071 9.24020202031179
1.2119120499446345 2.4951830701338635 8.258720513649205
1.1928858624893954 2.4652184025667543 4.098638887513058
1.2278961709382383 2.655971090668192 8.883179459307701
1.2430023657135578 2.4887845279476473 4.896384300484534
1.1862032980825323 2.8669219954950522 6.5023012064289
1.2396325877916574 2.229052829006832 4.0600491845021605
1.2212886892876849 2.543508031627538 8.655303383832647
1.255730686447047 2.4207143373155793 9.189786340957323
1.1785209773321736 2.4714135113698017 6.370138589265332
1.2625713696144385 2.8293902347126663 6.740052587097127
1.2666429440142464 2.8443537943230757 8.091004378617551
1.1736712219626413 2.1284447970607374 3.2825728473527374
1.2671762511422089 2.193691770751202 6.4820031013333725
1.2362017058599304 2.763556488807052 9.014909347196493
1.1734243731384553 2.0844688697508738 4.149945478661211
1.1789832402655804 2.073528400875962 4.02466641488455
1.2644480344444307 2.190539949982232 8.169572327997772
1.2290403019368392 2.0895027723012163 3.825765880849575
1.253492930351702 2.4945616616433366 5.502033138708953
1.2243874810703081 2.5050200525004778 4.467237100804699
1.2545432524555569 2.8331843318636567 9.013730780796532
1.2465244759863732 2.2156844640825133 8.929381623531418
1.2116508148086647 2.556954594046946 8.101291869374185
1.254439381092945 2.8697034338425356 8.98278426725469
1.221636655266677 2.5846611368381316 8.566515543071787
1.1891053359073016 2.779761944880921 5.115945348327587
1.215900442745576 2.856779095598845 8.247575663606494
1.1804334230919826 2.1438631613060863 5.958920902432418
1.1638201474434224 2.230339895215684 5.342402598801428
1.1980592340154845 2.4406722361067557 7.4531697344764165
1.1894660174345402 2.8343035185541483 6.605795417461383
1.2054346436739314 2.402134678210124 3.996082272321896
1.1787044382261949 2.1404811861717357 5.802274387985216
1.176652886503326 2.504594710465386 4.6779466051246885
1.1856483870221393 2.8598184685139536 5.679181887450147
1.262119327365109 2.554261596418397 8.710555044786641
1.2611007442676367 2.1284952941923985 7.157938832439891
1.2127144987992453 2.8006942885310364 8.050038420858083
1.2644852224825676 2.2729440752140526 8.469139792696687
1.253913670849113 2.2033414978298214 4.967768497359119
1.1973269917151408 2.685855787982157 7.220067560357958
1.2609638584241516 2.1583304274599606 7.911989720067208
1.1739340072365276 2.1148745639511275 3.604192849031673
1.262333342968152 2.4913098893106813 8.685059173633649
1.2349420876422779 2.3417879615587767 4.31635355574463
1.163251789852042 2.33020950450231 4.3279067007159195
1.2218863209214756 2.5483522914462666 8.512698832631598
1.228979432215206 2.8160399502634865 5.179455927656058
1.1630303379972338 2.317514487883952 4.259201526178096
1.1670195870648477 2.407572026828408 4.93433437425038
1.2553455528511124 2.096637878044689 6.516212288865992
1.215231877680894 2.738114882159333 8.162773557629276
1.2250866647152956 2.2461460621680027 3.7748448771945817
1.2609460568109099 2.128774240685424 6.759536495513888
1.2418608222770207 2.4012629818632476 4.772421210373233
1.263996401152983 2.1711850240583384 7.493549368854881
1.2629333359571049 2.386185612261327 8.663911833274291
1.24953273717355 2.706214595708543 5.776361332584155
1.2534949227881858 2.1332391594558002 8.001365994508898
1.2303922539215053 2.172803171129614 3.804919755508248
1.180726538902108 2.184311169851621 3.3652726683129828
1.2336460462328651 2.707077102728176 8.78677725333998
1.2313732080362345 2.571425518258576 4.880726231672414
1.2650935935674998 2.2401137605091184 6.310626739665787
1.2375782390641321 2.223661827625047 8.742159520719973
1.2451245537391262 2.2257109763285845 8.78468939038659
1.1788913081822074 2.549915890390646 5.029287078632786
1.186207211249975 2.1328531141512275 6.0220187378261105
1.257051500400226 2.3266208835878652 5.489050033988823
1.189415379958158 2.2250659725348383 6.744586056559651
1.1701644132195392 2.394290376209268 5.421172858873916
1.2475126789908755 2.2016754140892907 8.690353811278328
1.1894088805522884 2.7282243443239533 6.456293704758053
1.1683774233056958 2.3312506396190353 5.45477708598016
1.2628871590423305 2.495878196398655 8.422239118094835
1.2473819075532033 2.507855513359078 5.35387036060191
1.1756104354981967 2.4864633662493403 4.973023080873059
1.2020561383480999 2.1146124048127946 6.6455383037229225
1.2410558015416373 2.1605063227211527 8.357861020715287
1.220911924103464 2.358242642820818 4.096948330718105
1.25661557199441 2.7010162751301974 8.619118023863818
1.2599706765458247 2.4367455261943576 8.65088484914191
1.2085248878641701 2.799619216426925 5.0949612653791405
1.2539904406887068 2.645569413681343 8.766414357246386
1.2622421913688506 2.8124401732585653 7.860227729429406
1.2199994471075137 2.5246402965444306 4.593871391485166
1.2053721947972296 2.411152325880663 7.664113882378228
1.17769341529398 2.255983240583525 6.072197289758298
1.1718572426195641 2.260243691683616 3.8325115109100967
1.184583713691374 2.6737328491538626 5.814417223794633
1.2520762470022175 2.246607261352974 5.006958689811981
1.2458372679992349 2.3431113812534874 4.867627954244087
1.1851688575215045 2.1525979738285566 6.047462333911117
1.203030563827935 2.468096650513731 7.507006410681331
1.2144110360982294 2.267435710589911 3.7323363174459026
1.2637039014567146 2.3704248762509743 6.459072800703979
1.248586791321778 2.4610618035365874 5.350461855023342
1.2112111336174127 2.479006217873347 7.895012353310493
1.2503767549170948 2.8988298916041035 6.200332346825263
1.1703078928394695 2.1752415658572657 5.139228244121929
1.256063244808582 2.578763301131371 8.63097080338775
1.1843347985218164 2.0932726574946616 5.042468081688762
1.2656672954892174 2.4195200028002484 7.270617715985514
1.1831541912027548 2.0908630633664225 4.780233198531127
1.169713202774179 2.1424684116338546 3.991072546649127
1.2259110887426996 2.263899068859272 3.956211556084524
1.1903707450427485 2.7861427686266067 5.630264440283
1.256199674062355 2.5234675738002084 6.1156409470646516
1.2084730748649637 2.410458307847766 7.7531065807462625
1.187835793769333 2.630239726895971 5.161145475073884
1.2296078204360015 2.6012738865891682 4.997056025641847
1.2167332715293546 2.050206280392919 5.019811089623325
1.1913306911798471 2.21522623857555 3.5366525927545247
1.1718056340047511 2.1581772315312593 5.016554074471648
1.20376277827213 2.2747338352626842 3.7209267530081913
1.2258738710521806 2.787653454921342 8.388338898725301
1.2540667455126913 2.616168320500724 8.645272928609836
1.1800274435245295 2.533446973401291 5.43437940757644
1.1876306772720713 2.7051513090850454 5.7194525537967955
1.2371237510607072 2.2348492598434255 8.618332444287864
1.2414680275575054 2.2648059195310357 8.734925023202539
1.1984506314753585 2.6348974253066766 4.927547192407049
1.2051308996417358 2.7950871153698573 7.352180805787485
1.2253587471533043 2.803175106437968 8.356766702593971
1.2232939859813146 2.1177886478465444 7.520157022275466
1.2131794048784201 2.0981411229876983 3.7462135011485316
1.255047409280433 2.602229396627686 6.237640266375545
1.2047132479777412 2.6802738056685174 4.991450507219099
1.233075842866172 2.5080483183819435 4.904042718396825
1.2188287143750762 2.6906392992325587 5.016075520939605
1.1948539929311137 2.1314545266460834 3.5357048451725746
1.2220170769702607 2.090414488217477 7.054108615944253
1.2555882819819888 2.4188532713540294 5.834938787289806
1.262825792044559 2.5540656425490456 7.665259031116227
1.181424525537642 2.510284575034537 5.065121092238254
1.2598730817848154 2.8192885767376152 7.770129414605275
1.243885409446317 2.094169394562943 7.162192554597814
1.2587004829421187 2.1594345364900933 6.1699176074716195
1.259138017681142 2.8897232318181394 7.466102810154442
1.2033035259727054 2.3827270256285615 4.156134898447778
1.2600541386752606 2.5013996295115786 8.286315602000077
1.2490615308064221 2.2871676996981343 8.760817939325277
1.2209515804797892 2.4765614170529475 8.268248842397204
1.263827783871347 2.402908873674072 7.8230568561247775
1.2053285443801491 2.6048834225575512 7.398524868573919
1.2518594280503796 2.13359113539297 5.4710980869613355
1.2600972801355232 2.6630545667588224 7.219705118124809
1.190049418432323 2.32610261286884 4.002638127479452
