s_mu s_sigma
0.3172386846563775 0.1862677653276717
0.43300136961210567 0.12868673829640578
0.38912455230297616 0.2334294211624541
0.39045328658842765 0.224177506163092
0.33210736290203813 0.17001343388065873
0.3869623010802038 0.22067368847064336
0.3325170405279506 0.17501935778680924
0.33541116270814264 0.186948236515734
0.43043179722632713 0.21409224006588537
0.40671895474384695 0.2197655933156408
0.3840312419017 0.21879834831452713
0.333977307349572 0.1776373620275255
0.3435720216107934 0.14901834748674678
0.45517081597403947 0.18915413497090613
0.3389417681359716 0.1880360897965625
0.34256845337285646 0.19191197847513564
0.3544328797732062 0.20318392593877332
0.45570740265872955 0.17183580147598285
0.36415037535128875 0.2081771163502387
0.347267690945618 0.19546304072984227
0.4492395373177462 0.15998859643541366
0.3999703186831151 0.13027231197187783
0.35645518671044063 0.14240773380620206
0.40587288694479634 0.13126770542369148
0.3447971263875201 0.15717803281274947
0.4351084677145983 0.20088627405158518
0.44986763671455376 0.18085634152068164
0.4503787290585796 0.1698734141790787
0.41101398464513916 0.20919797368663173
0.39253017861813994 0.20996321419103833
0.43274224665934985 0.14383742379525338
0.42215280341494466 0.20495157756801932
0.34557292871430706 0.17931071087778427
0.36051487715681 0.19780423454094306
0.3492393651529703 0.1857671683251358
0.3961135379304813 0.13238423324837506
0.4266784278699615 0.2017768385243007
0.44731279411385755 0.1779350630506414
0.4449788766058002 0.1846272492545892
0.3640370704357704 0.14116869553940486
0.4465429085248748 0.175137222844573
0.3478816644897743 0.1782088552654079
0.4238737664257395 0.14057356936889728
0.3527079876143615 0.18738448115143508
0.41883488072380287 0.20307754440502693
0.41574083627525227 0.20387222344053313
0.43647975370394426 0.1509347223605259
0.4203248381209291 0.20166013417648654
0.44498486329052245 0.16951118721205588
0.34846408817404284 0.16460590386640722
0.38007754702755314 0.1357012117229106
0.354838246412089 0.15151080115356008
0.35218244444602115 0.18345995778409394
0.36755489282716836 0.19762516337729655
0.37472433111004944 0.2008427019569238
0.3654150419392958 0.19583359895942837
0.3532111314951601 0.1552478184919316
0.38924862687350276 0.20356269555379308
0.39188779944739266 0.20376487370344443
0.3507132728290496 0.1772522851982444
0.43130033772484655 0.1477828547431287
0.34975880093281936 0.1671338499387717
0.44199562717388763 0.17918171146604828
0.433688366737354 0.19142264996343342
0.44275721144521585 0.17615074082120674
0.43393273376101127 0.19073288194343477
0.4188990835947999 0.1995510930549071
0.3746675639872582 0.1386806531796912
0.4277069799203763 0.19514166006571368
0.3504907910249222 0.16640876885675335
0.37530830737474236 0.1991412354073989
0.373388129556845 0.1393669457244485
0.35634153776310995 0.1527930840106286
0.43889284742105705 0.182934573756082
0.4398090778852659 0.1805147782204081
0.40645266153389337 0.13682732451284538
0.4315661846086608 0.14974567204336467
0.3569798961719015 0.18483295855651713
0.4280358383010371 0.19330107271161565
0.4364740211763643 0.1852363676067194
0.35702005786977437 0.1529960561498567
0.3516894583820893 0.16804090304837405
0.3864680296116554 0.136439157379335
0.3566486622323104 0.1839052264567986
0.44043970286914025 0.16483350609465425
0.4299402285127478 0.14854986794738337
0.42826357594536046 0.19220022512422189
0.3540309090990711 0.1601182090937574
0.431792163410623 0.1890849539114472
0.43980388310678586 0.17555967751188056
0.4186040871556411 0.1968968118973403
0.3544424811706557 0.17740797326234278
0.37415725719244064 0.19609716652122045
0.40975473453511974 0.1386315727238813
0.4383413376098018 0.16195457040275005
0.40712227796183553 0.19978477493029925
0.4387652512851063 0.17747862553927723
0.39592223107645325 0.20035803117131615
0.4284001980295821 0.14858799430718259
0.36750631727890354 0.1447886112849129
0.3539756433223104 0.165404635864073
0.39611448467895405 0.19976792178205838
0.42870231629114514 0.1897615520322339
0.3844340051559811 0.19823277471736298
0.43329741706421077 0.15464884376322027
0.43128062523192484 0.1522631415068687
0.3700877573524775 0.14358621923600212
0.4069486801389702 0.19869778759156195
0.35738175962003194 0.18028895655285096
0.3933741520763993 0.19915214175020435
0.35467405737333474 0.17165689381052346
0.3680693916032398 0.1909501148754035
0.42384790033363556 0.19217944228203324
0.41626331258876315 0.1420970194887793
0.4230261184045459 0.19257645006928317
0.3667384895318857 0.14643813275680576
0.359865684281704 0.15357433874320686
0.404781143333911 0.19815942518472338
0.36140427991007806 0.1843186524379969
0.3977117364071099 0.13788371084291423
0.35531204013761736 0.16725491118730443
0.42624377311032563 0.14866835165551806
0.3599495692181007 0.18189790198261188
0.36059937363706973 0.1531790561551651
0.38440325020966204 0.19680743972830855
0.4364194888156867 0.17576484833641984
0.41910158428909 0.14407757060475382
0.36578658418421706 0.18775610689024547
0.36285569184618843 0.18500379491771068
0.35722552997527746 0.17617512869482127
0.4044304350813896 0.13898353615134548
0.3562570285431398 0.16338031830775107
0.35858360429234754 0.17883857117995264
0.4351947513028487 0.16116099540382064
0.35602785113214247 0.16851536129817687
0.38724905868301496 0.13881863390540636
0.4360875988848225 0.17469589016376363
0.40503727466346556 0.13936523641746687
0.36319126991181827 0.15111435575937754
0.3572994801960769 0.17380577880559858
0.38829010565176925 0.19647040293934617
0.359652526194084 0.1786816098278059
0.4180931225789605 0.1443878221375979
0.3895199389806958 0.1963853196974873
0.36715375519267107 0.18710871746302818
0.41611710047587086 0.14353054716105498
0.3575220689805416 0.16628009740953414
0.3594693917512954 0.15851753447258038
0.4205612537186564 0.19068117940229876
0.3817837242166948 0.14096266577125446
0.3931794437622407 0.1392230551134665
0.41563139452671943 0.1928229306923177
0.416224711484689 0.19242022279205773
0.38311009668318835 0.14078590467429183
0.42493977562149443 0.18746497703772375
0.37951711371402247 0.14196904421525158
0.40064366309403615 0.19558597926541638
0.40788944072860767 0.19460849414232365
0.3947696522402331 0.195586958174968
0.41904081878658095 0.19055582637032775
0.43418305408937596 0.1669198732629245
0.38936521528038637 0.13999427506052303
0.4147693794298023 0.14397647124288626
0.37297958936378955 0.18909888762556645
0.391809892756463 0.13984767545437468
0.3610475462933514 0.17696794200806762
0.3939378846857219 0.1398069872445804
0.377820141421858 0.1912998854075349
0.4315954142744472 0.17822683816678586
0.36486609991319546 0.15227646306014883
0.36017082304918846 0.1742711998456215
0.39795511238093156 0.19489852055030635
0.38878793118598626 0.14037102384458428
0.428102637944477 0.18286858406431436
0.3603790551213125 0.16095886568500795
0.3639863287289484 0.1799803734981844
0.3907307631082978 0.1404766027350221
0.40456415872477314 0.1937683650090345
0.3598811426455253 0.16923186420651395
0.36052914508028516 0.17263634228605856
0.4327777652538534 0.16949444436555058
0.386057418570841 0.14136099781691797
0.4221796605592119 0.14963554037682117
0.42832974639868376 0.1807440646544391
0.40324140556933163 0.1933385776013321
0.4184747859265252 0.18873695937278256
0.40558780172648373 0.19299751690928335
0.423754556587479 0.15119459998176368
0.43177232733810644 0.17317484372632547
0.38603672343156314 0.19228811023108244
0.39291416081773434 0.140867105617621
0.36182666864599977 0.1739847500432064
0.4093599604736873 0.19200931198825932
0.3898988897849787 0.19294007520414494
0.4275535220537938 0.15563279464479207
0.3981710469585923 0.14098200710355688
0.4308218792616083 0.17548301826944399
0.3698294789119591 0.18457570484277072
0.3746989705315076 0.1459988106136552
0.3867051496716114 0.19218554155059245
0.3653768914092265 0.1798078926499431
0.36094808386047555 0.16522663928602646
0.3862628267053689 0.19200567386287362
0.4215045293588364 0.18626422887381058
0.4141535270457071 0.19005931159950573
0.3643308174625812 0.15610470832471784
0.4153730711665268 0.14610462727517776
0.38319312174765136 0.1908299543574106
0.40985702700969706 0.19118640472211185
0.4014768511271287 0.1417309362635831
0.3957452383601052 0.19279381358880715
0.36252117854874033 0.17347730869205347
0.4278741094892447 0.1571702835401589
0.3933290983933285 0.19255301550751136
0.367235525044243 0.15261325067360815
0.40863361389568453 0.19133935034778948
0.4097077038913148 0.1909935529540392
0.40258021889893564 0.19227746065404283
0.4025587477707979 0.19227590755434734
0.3723568736864781 0.1851738910623529
0.365054765756541 0.15605872295787232
0.42950356401010276 0.1749938430173854
0.41305025622317154 0.14550167160983443
0.3656896227017028 0.1781490335690217
0.4238324306115748 0.1829752120526241
0.41084190769865697 0.19007393193755365
0.3643049474020232 0.17545805050682703
0.3752906860446836 0.14678669534685893
0.3729240022188387 0.1849471646815643
0.4129692472027816 0.14569989133060798
0.3623997021991275 0.168088456073047
0.36362548496716796 0.17329104414482754
0.39293366144614283 0.14197467125379085
0.36394822830190143 0.17372620016297463
0.3628817832630598 0.16352214413930488
0.3853838104540268 0.1901901504617449
0.4169180944038485 0.18705982261366727
0.4133025243837099 0.1886985323453855
0.389729511038401 0.1424183738958897
0.4089146319243621 0.14440357137969986
0.3893301450114322 0.19081977669373926
0.3634324869023126 0.16226152958520962
0.42152747454237693 0.15164944713350376
0.41101402665437425 0.1891538941801297
0.4185020306312088 0.14938700420630652
0.4203248938136215 0.18450955543299472
0.4242906956477088 0.1810179231843794
0.3739110886403562 0.14844808200275578
0.4228910235261142 0.1532020480137354
0.41067299926669737 0.14534738599606523
0.41475393168393354 0.18746868794887503
0.4041636533427745 0.19053886474959292
0.371034415041669 0.18199128955038382
0.37622177021624037 0.18566836956931243
0.368157958706323 0.1789682940687211
0.3647448661374604 0.15989295191006106
0.36395182239751095 0.1704870262436988
0.40089129288126596 0.190708378551964
0.3639746086250464 0.17029007899147863
0.3673134182203834 0.177722550962205
0.3698970400391295 0.1807525518120662
0.36438735196781574 0.16133429558552034
0.36519424204589895 0.17378470699197934
0.36476903316302794 0.16035712490008613
0.37130553069152555 0.15097386027218093
0.3757455872230559 0.14774454181911623
0.36429509388079895 0.17083983342253545
0.36423896254140214 0.17059191370903018
0.4124978238441486 0.14647041890225937
0.3854859908566955 0.18910120619846907
0.37130752420999935 0.1510598017111324
0.4104278000062373 0.18856058028627642
0.4175599639652903 0.18539196926093135
0.4208219476039674 0.15192606258500113
0.36731703964247103 0.1556720359847029
0.4274288396636775 0.17479138506512734
0.3857256362672573 0.1890757849114151
0.3658894960587153 0.15831176473203015
0.4286568299082506 0.1686875660495313
0.42262391831716495 0.15392306167042616
0.3657522271166477 0.1738790893116811
0.4119795915642612 0.1877235802176364
0.41754064205009167 0.18501594882808842
0.4044934658981692 0.14403478110474563
0.40783883362968076 0.18889120091335504
0.4044234594132316 0.18954870958564768
0.39677338895797704 0.1901274893383113
0.40876277250669985 0.14536360499928896
0.36698688500490434 0.1756656297300859
0.4034718823439725 0.1896104853598604
0.3647069236989475 0.1634617854122795
0.36736409735898684 0.15651842217866627
0.41654610347390103 0.18529062072931027
0.36520615200533224 0.1614885459981208
0.41871092994904197 0.1839043426330329
0.37701302023057665 0.14764237976780212
0.36552468269464394 0.17206942562720082
0.38927716419638575 0.14361231033249255
0.41643958683705473 0.18518626010931177
0.3778747495891192 0.18533925785572278
0.3709433036490809 0.18024521114221598
0.40069592322591374 0.1896746921871047
0.4191330965720974 0.15129756209672604
0.3809336028189276 0.14595840236127258
0.3940217163644828 0.1895727296763644
0.4250608873168055 0.17696617284950455
0.3785539836725795 0.18539288908338064
0.42014894949613873 0.15242411483771998
0.37943100148443554 0.14679179595797798
0.40243064506710685 0.18918010298088303
0.38208060950597306 0.18669365813947614
0.4197066598795299 0.1823628948869989
0.4058247505901798 0.18849942630715227
0.40678123049790127 0.18828419639668753
0.40986932806093146 0.18740674969271276
0.418360484371536 0.18328225870602158
0.3669326739451644 0.17363975347815247
0.3791357196345805 0.18530607605961907
0.36534272910327803 0.1668788549607339
0.4103290740705052 0.18712940672075085
0.3700260131190281 0.1541390394004367
0.42721896867302267 0.16948173872065517
0.4250457317287455 0.1759358117566211
0.3656010222192794 0.16532784847376378
0.3953761549580833 0.18900380539365388
0.3656949384824932 0.16747141305417546
0.3667128993276995 0.17201269114983714
0.37899257329081215 0.1848005560134571
0.36642902166429975 0.1613362844229306
0.4036054110210852 0.18834164062990438
0.36600420538514195 0.16372922807744109
0.426769478760527 0.16704345801968812
0.4109910726610884 0.18630260231468224
0.42189278939350083 0.17927489708663016
0.3857777106016246 0.145184900047341
0.412548501674452 0.14809143194979035
0.39658917740374905 0.14405094242466998
0.42500179581670994 0.16017654533830009
0.37238105991180825 0.17964944530881122
0.41047051497309717 0.18629164310936167
0.38149483726984423 0.18547539966524948
0.374009322651338 0.18102848918952658
0.3870916772874875 0.1872778242932085
0.3770573787638342 0.14901660989184862
0.37388326608534617 0.15135471447188276
0.3806477375768788 0.147200592586086
0.4202524877325392 0.1539519771513256
0.3664754033577041 0.1647828293025156
0.36877027109437127 0.17462257541839277
0.4053574276853082 0.14568628554634924
0.40221039740553916 0.1449765897654288
0.4101452754862555 0.1860690160002446
0.3666425235929518 0.16416988438601032
0.4224785140879439 0.17766756459151833
0.3926300765945453 0.1878217918593859
0.36927153047311523 0.17488168609391475
0.38728284502346794 0.14536014784665682
0.3836331466059567 0.14642540686936345
0.37389445303834 0.1800302668569011
0.3943359752735589 0.14462209961650382
0.37265742735812446 0.15326798960741903
0.3674283115272182 0.16904677496285075
0.38292046847673494 0.14686655603771884
0.3915898707275103 0.18726652833424393
0.3838380341853898 0.14656253227349747
0.3677821998972898 0.16168753787829152
0.4248927433881385 0.1715329713961455
0.42241132644960105 0.1576442468328481
0.3709284321005453 0.17633594963479163
0.36736371807264545 0.1672636813954145
0.384781492662762 0.1856055486397618
0.39728100020933327 0.18749641177723517
0.4179075709658074 0.15284654137782547
0.3676162763096961 0.16826140641740545
0.4021448631982555 0.14554519906648528
0.3865835543567772 0.18599478690939358
0.42422825206645454 0.16178016058206107
0.40654371409219625 0.14676299685120048
0.4201562786374051 0.1786785511281422
0.4060292597699571 0.14663207580712467
0.37350663916988214 0.15313091945215132
0.41808862762951193 0.15334341655153666
0.41248914226797917 0.183849118751136
0.36801370093473523 0.16341942230527576
0.36803308109875243 0.16834020263621569
0.40801958565671603 0.18549163136637878
0.37922077169895124 0.1826482114314552
0.4227885732253908 0.1746880794718575
0.3787507866062063 0.1493702319148031
0.36807475908090187 0.16781111708287147
0.36847060134437604 0.1697631321653955
