
0it [00:00, ?it/s]
1it [07:48, 468.69s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-813.28+/-0.18 dlogz:inf>0.1]
3it [07:49, 121.69s/it, bound:0 nc:  4 ncall:4.1e+02 eff:0.7% logz=-647.02+/-0.18 dlogz:714.757>0.1]
4it [07:50, 79.91s/it, bound:0 nc: 12 ncall:4.2e+02 eff:1.0% logz=-499.32+/-0.18 dlogz:703.893>0.1] 
5it [07:50, 53.61s/it, bound:0 nc:  4 ncall:4.2e+02 eff:1.2% logz=-339.95+/-0.18 dlogz:556.195>0.1]
7it [07:50, 27.66s/it, bound:0 nc:  3 ncall:4.3e+02 eff:1.6% logz=-335.26+/-0.17 dlogz:393.696>0.1]
9it [07:51, 16.43s/it, bound:0 nc:  3 ncall:4.3e+02 eff:2.1% logz=-248.83+/-0.18 dlogz:386.326>0.1]
10it [07:51, 12.82s/it, bound:0 nc:  6 ncall:4.4e+02 eff:2.3% logz=-212.70+/-0.18 dlogz:305.692>0.1]
12it [07:52,  7.86s/it, bound:0 nc:  5 ncall:4.4e+02 eff:2.7% logz=-203.99+/-0.18 dlogz:268.183>0.1]
13it [07:52,  6.23s/it, bound:0 nc:  4 ncall:4.5e+02 eff:2.9% logz=-190.18+/-0.18 dlogz:260.840>0.1]
15it [07:53,  3.91s/it, bound:0 nc:  4 ncall:4.5e+02 eff:3.3% logz=-177.78+/-0.18 dlogz:242.453>0.1]
16it [07:53,  3.15s/it, bound:0 nc:  3 ncall:4.6e+02 eff:3.5% logz=-175.52+/-0.17 dlogz:234.623>0.1]
18it [07:54,  2.07s/it, bound:0 nc:  8 ncall:4.7e+02 eff:3.9% logz=-147.93+/-0.18 dlogz:231.288>0.1]
19it [07:54,  1.69s/it, bound:0 nc:  5 ncall:4.7e+02 eff:4.0% logz=-146.24+/-0.17 dlogz:204.770>0.1]
20it [07:54,  1.37s/it, bound:0 nc:  4 ncall:4.8e+02 eff:4.2% logz=-145.30+/-0.16 dlogz:203.073>0.1]
22it [07:55,  1.12it/s, bound:0 nc:  3 ncall:4.8e+02 eff:4.6% logz=-137.18+/-0.17 dlogz:195.279>0.1]
26it [07:55,  2.15it/s, bound:0 nc:  2 ncall:4.9e+02 eff:5.3% logz=-126.62+/-0.18 dlogz:186.635>0.1]
28it [07:55,  2.59it/s, bound:0 nc:  4 ncall:4.9e+02 eff:5.7% logz=-123.16+/-0.17 dlogz:181.494>0.1]
29it [07:56,  2.30it/s, bound:0 nc: 10 ncall:5.0e+02 eff:5.8% logz=-108.00+/-0.18 dlogz:179.970>0.1]
30it [07:57,  2.01it/s, bound:0 nc:  9 ncall:5.1e+02 eff:5.9% logz=-106.66+/-0.17 dlogz:164.810>0.1]
32it [07:58,  1.87it/s, bound:0 nc: 13 ncall:5.3e+02 eff:6.1% logz=-104.41+/-0.16 dlogz:162.355>0.1]
34it [07:58,  2.35it/s, bound:0 nc:  4 ncall:5.3e+02 eff:6.4% logz=-100.81+/-0.17 dlogz:158.851>0.1]
35it [07:59,  2.00it/s, bound:0 nc:  7 ncall:5.4e+02 eff:6.5% logz=-91.89+/-0.18 dlogz:157.607>0.1] 
37it [08:00,  2.13it/s, bound:0 nc:  8 ncall:5.5e+02 eff:6.7% logz=-88.78+/-0.16 dlogz:146.614>0.1]
39it [08:00,  2.63it/s, bound:0 nc:  4 ncall:5.6e+02 eff:7.0% logz=-83.65+/-0.17 dlogz:142.254>0.1]
41it [08:01,  2.61it/s, bound:0 nc:  6 ncall:5.7e+02 eff:7.2% logz=-78.01+/-0.18 dlogz:139.525>0.1]
43it [08:02,  2.25it/s, bound:0 nc: 15 ncall:5.8e+02 eff:7.4% logz=-72.92+/-0.18 dlogz:132.343>0.1]
44it [08:04,  1.73it/s, bound:0 nc: 13 ncall:6.0e+02 eff:7.4% logz=-71.30+/-0.17 dlogz:129.692>0.1]
45it [08:04,  1.64it/s, bound:0 nc: 10 ncall:6.1e+02 eff:7.4% logz=-70.35+/-0.16 dlogz:128.071>0.1]
46it [08:05,  1.80it/s, bound:0 nc:  3 ncall:6.1e+02 eff:7.5% logz=-69.49+/-0.16 dlogz:127.117>0.1]
47it [08:05,  1.65it/s, bound:0 nc: 12 ncall:6.2e+02 eff:7.5% logz=-68.87+/-0.16 dlogz:126.253>0.1]
50it [08:06,  2.75it/s, bound:0 nc:  2 ncall:6.3e+02 eff:8.0% logz=-62.62+/-0.17 dlogz:120.903>0.1]
51it [08:06,  2.73it/s, bound:0 nc:  5 ncall:6.3e+02 eff:8.1% logz=-61.55+/-0.16 dlogz:119.378>0.1]
52it [08:07,  2.67it/s, bound:0 nc:  5 ncall:6.4e+02 eff:8.2% logz=-60.87+/-0.16 dlogz:118.308>0.1]
