mu1 sigma1 mu2 sigma2 alpha
1.3445520957819952 0.11263490749226043 2.610905363017675 1.5730396813424186 0.73636167536278
1.3658132681240318 0.11039922192296976 2.333296808991482 1.7718414374188276 0.8113543852461782
1.3800443676432241 0.14385124682182554 1.7182294538289877 0.6119141064898105 0.8937420687783209
1.3116185610900146 0.10248496568215675 1.444940699023835 0.22986704039866143 0.4317551069694217
1.357352194758305 0.13795313252857222 1.5566319413865923 0.5880183443528371 0.6254008609428816
1.3311432635520908 0.14545083413744178 2.1395884238837932 0.2630760225571282 0.7804704224349154
1.3499284458268372 0.14378959461612767 1.6324957246524932 0.2521268394250397 0.5379838195391556
1.2816704258018685 0.05544758150814675 1.282841215899371 0.8176976147020973 0.6030431007464916
1.3192177867084665 0.12048580031847167 1.864652283698477 0.710954257584668 0.7853735170469784
1.298917495796446 0.07040648722789065 2.102669918636958 0.32837150010801996 0.801857038527806
1.3134893919303894 0.05130001670379912 1.6229958566995073 0.3365442603575673 0.8534152319392494
1.3357179223734044 0.09272073133054301 2.128033863371399 0.11642558840477969 0.8517473923349484
1.2932220118769708 0.14113838834903475 1.8036551440009374 0.3331551078744762 0.7238787236144215
1.2566471275457674 0.10471530691293046 1.5590585035832656 0.33505164329868053 0.600261119652737
1.3693947148151362 0.15297530768058576 1.9142396656421137 0.2228217141456475 0.7543560979368076
1.3971211349219352 0.14773097729007575 2.0695604264915057 0.1442419615852341 0.8463939065241765
1.273616114121043 0.10701825412763363 1.6725262431644081 0.21236335285618624 0.7880952317873986
1.3581848332979212 0.09394710735902137 1.9089059658131116 0.4554015184029879 0.8570614697653751
1.3191352457740064 0.04855136074518304 1.4728131755414768 0.6084602175035164 0.4996734262779326
1.3306254031057378 0.0482889538626523 1.6869904503051152 0.4788209373105127 0.7030603656736809
1.2908148057717872 0.10478320947690863 1.8922932166923903 0.4076426857444024 0.8085898098727092
1.2919136927699622 0.10286776266270464 1.5716588755078988 0.4227555521417597 0.47172070359952134
