turn_on_pow,34.81183350060181
turn_on_pow_fix,33.94536901672933
turn_on_pow_G,33.643247441044224
pow,35.69440962040318
2G,33.742606063674124
turn_on_pow_G_fixed_max,31.097784528085942
G,31.331660283920552
2G_fixed_max,31.603062037174976
sst,31.04553213072114
G_fixed_max,30.774870961676875
2G_fixed_min,31.140949719975982
2G_fixed_max_min,29.551169770267343
logu,31.58347587579585
3G_fixed_max_min,29.03364457317774
lognorm,27.865486796724905
gamma,27.433514655257827
U,28.49853260242536
G_fixed_max_min,25.54237350427739
