alpha mmin delta_m
8.11358233599885 1.1856084711607635 0.27637893266693025
11.394048215280922 1.1244843069919117 0.23897121542723485
7.914130853138211 1.032681652265963 0.7863256798528654
4.745239879497262 0.9986495020946303 0.5656696678006942
4.952947718385088 0.9858445215416015 0.6021786056928449
5.15777580393198 1.127182789449059 0.31410508952927385
12.092998782807086 1.0722642026248885 0.8021958433169698
6.298276832705881 1.0091320160551356 0.28191044917893426
12.306131490952733 1.121072986438326 0.4492627950412918
6.153600458004028 0.908772590627297 0.5581303625331632
11.023702791323444 1.1748788978656872 0.2852973429410757
5.018265323938678 1.0899678663580121 0.07236728753860512
6.4534643250535915 1.171969754410551 0.25810583975589735
12.648625558506012 1.0218877587368487 0.7741044918666083
4.828720165859734 0.9199829374532911 0.5202808215633172
9.799100525136591 1.0610893747019274 0.7256084882059316
8.7394988704563 1.1596048463972028 0.06367714907550563
8.707040812243054 1.0324430952352306 0.36506137728398097
3.7696836164297345 1.186656594357062 0.012780102430354745
12.15764159265369 1.0054555848776767 0.7903234352879355
4.072143103043485 1.0461727936908602 0.21936093282818062
12.44241284653658 1.037893819336453 0.7089231394069123
10.22895091148248 1.11214002456949 0.5050822220995059
11.36212760828608 1.0942755742260206 0.4051372106610969
11.140263662636354 1.053591250717718 0.8120021083204099
8.195205845183317 1.0052603625373742 0.41688789341238003
13.169286438325987 1.038025802783249 0.8338235145939947
11.778589148843302 1.0734352841335384 0.5358150790494028
5.8929875321395855 1.0339170197386824 0.23428208368020018
12.318357077036111 1.0213299538075067 0.7726718403102122
6.591751859916055 0.9041116405765459 0.683732437583427
12.0908155345833 1.0268832225244175 0.7305444663552114
9.09694849776048 0.9904053845692907 0.9765143002385787
7.424721831853919 1.0313221388523668 0.6713880693633918
13.385368449645966 1.0294891178251022 0.9612111819558825
11.531277980356016 1.0247365263109727 0.9904241392882901
10.23164972403698 1.0620130141910775 0.707373640408371
12.091613409741225 1.0556099774220127 0.7160483270978273
11.867168119656082 1.042613197178397 0.6798026734015723
11.210483001456026 1.1165497080359574 0.3917870959613144
11.203836441196607 1.0919472494666884 0.4450801260802768
6.353020223997046 0.9255240892549874 0.589964401170226
7.990891642935679 1.0823876829829786 0.5315634322154305
8.957330079403992 1.1566477244673203 0.09253872741443665
4.1611418080688605 1.1360748297335614 0.16705110412241242
8.845200017654287 0.9857269641210807 0.9443161919282642
9.048048232413311 1.0608757309827304 0.32853047846913
8.490018585759112 1.114697748083428 0.16665727764764304
10.1647995757396 1.0528446378909206 0.45355168595932766
6.27946299345634 1.034533974300731 0.5595898953809479
8.761787377943525 0.9992093633484912 0.872761330479667
13.066384522638895 1.014112428837272 0.9885312925797403
9.686064336457203 0.9944718047806371 0.6286494947443546
7.5479163357031265 0.9871415245352032 0.45432103465005497
5.558537402939859 1.102170635888408 0.3561632043634125
9.31259970465402 1.0825054076529985 0.28871498590747513
7.451433256983181 1.0339565914921116 0.6429891169745473
11.149648313435609 1.0633137551735174 0.563227270455261
10.598198963345952 0.9821760749296806 0.7876372204874944
10.467344450746465 1.0112810631517972 0.9478968434283837
10.921714060230526 1.0901248596193633 0.5125316723747355
8.300830359745508 0.9305331283316485 0.7775513384364432
6.60275805404166 1.061290860223776 0.21416311757820525
11.537101535819836 1.0169845868046157 0.7727684717674634
9.233002972237221 1.063569559942484 0.6273797279446631
4.179701116696995 1.1070238336932918 0.18794889938838677
5.962460097812437 1.0959040856183122 0.11912577518124659
6.620385001859487 1.060353487724198 0.2191438171622134
7.840633712661738 0.941616475470566 0.947280522754905
9.064196685005912 1.1501033128492808 0.12021460533256431
11.617427913014424 1.0272407277346203 0.7756293283530047
4.56021823548712 1.0616601220845436 0.1990831397335784
10.376144378276987 0.9996513311150398 0.9881680464259834
7.670230377564678 1.0078887202226916 0.7262889223470659
6.750700982392168 1.1261215508747848 0.3494566129413502
