turn_on_pow,32.44257562789894
turn_on_pow_fix,31.366898591209477
turn_on_pow_G,30.222152281319
pow,33.09726974776836
2G,30.4136708695119
turn_on_pow_G_fixed_max,28.6917525964464
G,28.785520456109438
2G_fixed_max,28.612891644500507
sst,28.845694628536286
G_fixed_max,28.348339933555135
2G_fixed_min,26.677489615877484
2G_fixed_max_min,25.596581130879247
logu,29.42447485876759
3G_fixed_max_min,25.1885786574605
lognorm,24.5360416931151
gamma,23.80184481518712
U,26.23621371793676
G_fixed_max_min,20.90097983401329
