mlo mup beta
1.1042879513459551 2.2915988665039553 2.870416978106859
1.1303161121007703 2.2084126542660933 2.708719966565817
1.1520656528990911 2.0031527288927107 2.710621940289541
1.1280129291607013 2.341504452261529 3.772349669039839
1.1868544346419645 2.8240284051380007 6.668945793706055
1.1765758921448461 2.4548076222814164 3.549920711373961
1.1484625640299595 2.0074361583005507 3.8970107524079936
1.1283755638541473 2.3497880497217487 4.521351927274436
1.1793054967626126 2.8985550174924963 7.888473434392495
1.165130691228973 2.1435379788826205 7.314031198313035
1.145792401615319 2.730051276504269 5.140024459839868
1.1489113303838652 2.7528288290183704 5.982998981623243
1.1580681484170525 2.7415512705633462 6.9160958502036465
1.1431069414366326 2.0574428299435916 2.866660916608466
1.1346862956098793 2.3782401782571556 4.379694569603618
1.1443452779884213 2.4207686062766376 5.931119519626311
1.1306221225010338 2.2536450470751026 4.695552384256651
1.1519877177374402 2.8342987725652167 4.842186940552095
1.1589673008309602 2.1537706901044373 2.558390722762372
1.151936321756557 2.423690241586768 6.55868089787511
1.136041038724812 2.3074389647434135 3.7385381841550878
1.1680343406786782 2.1158848703864948 7.251256548632604
1.17978399598607 2.5377101357217886 7.748921450222429
1.186315064737409 2.1540808256690287 5.941223479949839
1.160859745096368 2.656970642054244 7.064058604869327
1.1396261067030145 2.436135284634943 4.6686797913573805
1.1343917408534556 2.117786674829623 3.37481100295528
1.162491670133196 2.7769529206622137 4.449444510247053
1.1511569340223036 2.8094978485542828 5.231709103865857
1.1396928588867523 2.3403132926130814 3.938064971590144
1.164811788131018 2.004749752735754 5.02330195450309
1.166041229217048 2.024776491543247 5.88268596500863
1.1378458690551894 2.353288639380087 4.311863602483006
1.139295335883937 2.310397725289554 3.830907247440793
1.1739002445507334 2.2272610660719905 7.754889237161898
1.1435479868513898 2.422455499758833 4.248439612022112
1.1564243278751014 2.3528452035058063 6.755869587812853
1.1406979491894988 2.330902924328747 3.8993660930079628
1.1373573661309024 2.3019263583052227 5.009782427121634
1.1453987275705486 2.1897699058120974 5.722453007936268
1.1622199489895721 2.160479932085262 6.899949470244184
1.151075668625694 2.674267937837678 5.754242630807337
1.1828152178512612 2.765582331838382 5.634480505601676
1.1831143360794387 2.745464517757064 5.7908629493571055
1.181800121012445 2.5454343538603745 7.203098985027548
1.1643926099837865 2.412399060390397 3.629884477418475
1.1521904768822218 2.108164584006288 5.801660967551747
1.1461359977748689 2.1809216936754496 3.1473104549160205
1.1432363897796467 2.2538508059633973 3.5168096803777527
1.1586213933379559 2.842268873031138 4.919395474503979
1.1686090600529062 2.1790556848904474 7.329129517365892
1.1743319146650584 2.738630286868866 4.485744424917947
1.1408449780828351 2.095350741847918 3.43436291869979
1.168331292728957 2.644049889175073 7.3986914833878235
1.182182948463009 2.130210180764718 3.7281884897957838
1.178922930393572 2.8292138812777647 7.426934307549876
1.1569670457518397 2.824118549084159 6.209873916318063
1.1698414968942568 2.7468094477770997 7.446987636943884
1.1599119425800146 2.204608348987701 2.9590447785321716
1.1365325995294688 2.1450313492103374 3.841760731972329
1.1839680062685418 2.356928327623705 6.518265286324361
1.1846832434202275 2.1490788499869256 4.75639718341853
1.1499515266242328 2.491346535246839 4.517020023957505
1.1408771712402452 2.344494762568268 4.690052483920612
1.1810883502090526 2.042733109946835 4.320097754964152
1.1486983380410578 2.5136973557532407 5.389770017110212
1.1381954159483416 2.128640469559763 3.890291551460024
1.1686985523675544 2.3765364918813052 3.550112304767003
1.163835667457064 2.1371935623611904 6.767223885052367
1.1704961738948336 2.459662806195059 7.520274656023631
1.183172143664809 2.571055106580273 5.714094739337996
1.1525163141538042 2.1505370203263507 5.949746022862868
1.138920299286281 2.135177562994235 3.7235061660600532
1.1499680982853757 2.2322129438316853 3.3339913305183195
1.164300176655582 2.6901012551597017 4.508112771147225
1.144013551238834 2.0784587162838 3.7260382308928417
1.1573965770363586 2.324936106810897 3.561036836930727
1.1605821314272347 2.4825437119731912 6.740333532549993
1.1687070448315646 2.0595109603107407 2.8145887475904114
1.1512535580433418 2.5057327818571946 5.6980730399421855
1.1467384330337438 2.435491709017967 4.939617795838586
1.1770114675993284 2.1172192869761837 7.028322476629402
1.1609547378322134 2.283087804112203 6.818273280622481
1.1593973431164661 2.5320547382937892 4.328969011498936
1.1726255894114075 2.7743936978377675 4.666868092138435
1.150869448496215 2.445247057982084 4.456714276060499
1.1557740684318936 2.0368099964282163 3.898181650276186
1.1816441005875964 2.195337811366352 3.9187495303875703
1.171867932557607 2.3677659208808106 3.646855392743632
1.1479077083096563 2.401967265979955 4.51853565360042
1.167111868447868 2.0571283788482226 6.130831067361129
1.1610728936104657 2.1727542308751615 6.557762457978306
1.1784544427720978 2.1421966891519975 7.023970874152582
1.1602226459826677 2.8935212551706493 6.082220400814068
1.160856701299595 2.720660592181562 4.8896064738167695
