
0it [00:00, ?it/s]
1it [00:49, 49.76s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-336.41+/-0.18 dlogz:inf>0.1]
3it [00:49, 12.95s/it, bound:0 nc:  3 ncall:4.2e+02 eff:0.7% logz=-283.20+/-0.18 dlogz:352.888>0.1]
6it [00:50,  5.03s/it, bound:0 nc:  7 ncall:4.3e+02 eff:1.4% logz=-256.19+/-0.18 dlogz:325.243>0.1]
9it [00:50,  2.70s/it, bound:0 nc:  1 ncall:4.5e+02 eff:2.0% logz=-208.76+/-0.18 dlogz:279.064>0.1]
12it [00:50,  1.64s/it, bound:0 nc:  4 ncall:4.8e+02 eff:2.5% logz=-179.38+/-0.17 dlogz:242.470>0.1]
15it [00:50,  1.06s/it, bound:0 nc:  8 ncall:4.9e+02 eff:3.0% logz=-159.27+/-0.18 dlogz:225.507>0.1]
20it [00:50,  1.72it/s, bound:0 nc:  8 ncall:5.1e+02 eff:3.9% logz=-139.52+/-0.18 dlogz:205.416>0.1]
28it [00:50,  3.45it/s, bound:0 nc:  1 ncall:5.2e+02 eff:5.4% logz=-119.09+/-0.17 dlogz:181.572>0.1]
34it [00:50,  5.15it/s, bound:0 nc:  4 ncall:5.4e+02 eff:6.3% logz=-99.99+/-0.16 dlogz:162.153>0.1] 
40it [00:51,  7.02it/s, bound:0 nc: 19 ncall:5.7e+02 eff:7.0% logz=-84.39+/-0.18 dlogz:148.975>0.1]
47it [00:51, 10.27it/s, bound:0 nc:  1 ncall:5.8e+02 eff:8.1% logz=-73.34+/-0.17 dlogz:136.611>0.1]
52it [00:51, 11.98it/s, bound:0 nc:  4 ncall:6.1e+02 eff:8.5% logz=-61.49+/-0.17 dlogz:123.846>0.1]
56it [00:51, 12.88it/s, bound:0 nc:  6 ncall:6.4e+02 eff:8.7% logz=-53.40+/-0.16 dlogz:115.420>0.1]
60it [00:51, 13.75it/s, bound:0 nc:  9 ncall:6.7e+02 eff:8.9% logz=-47.63+/-0.18 dlogz:111.917>0.1]
63it [00:52, 12.62it/s, bound:0 nc: 33 ncall:7.1e+02 eff:8.8% logz=-45.50+/-0.16 dlogz:106.968>0.1]
66it [00:52, 13.81it/s, bound:0 nc: 16 ncall:7.3e+02 eff:9.0% logz=-44.64+/-0.15 dlogz:105.910>0.1]
70it [00:52, 16.97it/s, bound:0 nc: 13 ncall:7.5e+02 eff:9.3% logz=-43.46+/-0.14 dlogz:104.778>0.1]
73it [00:52, 17.42it/s, bound:0 nc:  5 ncall:7.7e+02 eff:9.5% logz=-41.82+/-0.15 dlogz:103.290>0.1]
76it [00:52, 17.00it/s, bound:0 nc:  6 ncall:7.9e+02 eff:9.6% logz=-38.52+/-0.16 dlogz:100.618>0.1]
79it [00:59,  1.64it/s, bound:1 nc:142 ncall:9.5e+02 eff:8.3% logz=-36.29+/-0.16 dlogz:97.756>0.1] 
84it [01:03,  1.35it/s, bound:3 nc:103 ncall:1.7e+03 eff:5.1% logz=-33.00+/-0.16 dlogz:94.629>0.1]
89it [01:08,  1.18it/s, bound:5 nc:101 ncall:2.2e+03 eff:4.0% logz=-30.74+/-0.15 dlogz:92.162>0.1]
94it [01:12,  1.20it/s, bound:8 nc:102 ncall:2.8e+03 eff:3.3% logz=-28.74+/-0.15 dlogz:90.128>0.1]
99it [01:16,  1.26it/s, bound:9 nc:101 ncall:3.4e+03 eff:2.9% logz=-26.71+/-0.15 dlogz:88.054>0.1]
104it [01:20,  1.28it/s, bound:11 nc:101 ncall:3.9e+03 eff:2.7% logz=-24.97+/-0.14 dlogz:86.211>0.1]
109it [01:23,  1.31it/s, bound:13 nc:101 ncall:4.4e+03 eff:2.5% logz=-23.64+/-0.14 dlogz:84.754>0.1]
114it [01:27,  1.30it/s, bound:14 nc:101 ncall:4.9e+03 eff:2.3% logz=-22.80+/-0.14 dlogz:83.857>0.1]
118it [01:28,  1.73it/s, bound:16 nc:101 ncall:5.3e+03 eff:2.2% logz=-22.33+/-0.13 dlogz:83.338>0.1]
120it [01:32,  1.17it/s, bound:16 nc:148 ncall:5.6e+03 eff:2.2% logz=-22.04+/-0.13 dlogz:83.085>0.1]
124it [01:36,  1.14it/s, bound:18 nc:101 ncall:6.0e+03 eff:2.1% logz=-21.50+/-0.13 dlogz:82.543>0.1]
129it [01:40,  1.16it/s, bound:19 nc:126 ncall:6.5e+03 eff:2.0% logz=-20.67+/-0.13 dlogz:81.708>0.1]
133it [01:40,  1.62it/s, bound:21 nc:101 ncall:6.9e+03 eff:1.9% logz=-19.80+/-0.14 dlogz:80.889>0.1]
135it [01:44,  1.21it/s, bound:21 nc:101 ncall:7.1e+03 eff:1.9% logz=-19.45+/-0.13 dlogz:80.479>0.1]
139it [01:48,  1.16it/s, bound:23 nc:114 ncall:7.5e+03 eff:1.8% logz=-18.66+/-0.14 dlogz:79.712>0.1]
144it [01:51,  1.23it/s, bound:24 nc:101 ncall:8.0e+03 eff:1.8% logz=-17.89+/-0.13 dlogz:78.867>0.1]
149it [01:56,  1.15it/s, bound:26 nc:135 ncall:8.6e+03 eff:1.7% logz=-17.25+/-0.13 dlogz:78.197>0.1]
154it [02:01,  1.09it/s, bound:28 nc:101 ncall:9.1e+03 eff:1.7% logz=-16.63+/-0.13 dlogz:77.563>0.1]
159it [02:05,  1.11it/s, bound:29 nc:101 ncall:9.6e+03 eff:1.7% logz=-15.98+/-0.13 dlogz:76.934>0.1]
163it [02:06,  1.50it/s, bound:31 nc:108 ncall:1.0e+04 eff:1.6% logz=-15.44+/-0.13 dlogz:76.356>0.1]
165it [02:10,  1.05it/s, bound:31 nc:101 ncall:1.0e+04 eff:1.6% logz=-15.18+/-0.13 dlogz:76.097>0.1]
169it [02:17,  1.13s/it, bound:33 nc:136 ncall:1.1e+04 eff:1.6% logz=-14.60+/-0.13 dlogz:75.502>0.1]
174it [02:22,  1.10s/it, bound:35 nc:101 ncall:1.1e+04 eff:1.6% logz=-14.05+/-0.13 dlogz:74.911>0.1]
179it [02:27,  1.06s/it, bound:36 nc:101 ncall:1.2e+04 eff:1.5% logz=-13.50+/-0.13 dlogz:74.365>0.1]
184it [02:31,  1.01s/it, bound:38 nc:101 ncall:1.2e+04 eff:1.5% logz=-12.99+/-0.13 dlogz:73.823>0.1]
189it [02:36,  1.01s/it, bound:40 nc:101 ncall:1.3e+04 eff:1.5% logz=-12.45+/-0.13 dlogz:73.319>0.1]
194it [02:41,  1.00it/s, bound:41 nc:101 ncall:1.3e+04 eff:1.5% logz=-11.81+/-0.13 dlogz:72.629>0.1]
198it [02:41,  1.35it/s, bound:43 nc:101 ncall:1.4e+04 eff:1.5% logz=-11.35+/-0.13 dlogz:72.165>0.1]
