
0it [00:00, ?it/s]
1it [00:18, 18.42s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-3691.97+/-0.18 dlogz:inf>0.1]
21it [00:18,  1.54it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.0% logz=-1456.27+/-0.18 dlogz:1522.864>0.1]
39it [00:19,  3.34it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.8% logz=-729.53+/-0.18 dlogz:835.325>0.1]  
57it [00:19,  5.77it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.4% logz=-475.98+/-0.18 dlogz:562.560>0.1]
76it [00:19,  9.01it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.8% logz=-334.04+/-0.18 dlogz:401.203>0.1]
93it [00:20, 12.76it/s, bound:0 nc:  1 ncall:5.0e+02 eff:18.6% logz=-181.25+/-0.18 dlogz:248.743>0.1]
109it [00:20, 17.27it/s, bound:0 nc:  3 ncall:5.2e+02 eff:20.9% logz=-104.83+/-0.19 dlogz:177.141>0.1]
127it [00:20, 22.71it/s, bound:0 nc:  1 ncall:5.4e+02 eff:23.5% logz=-71.75+/-0.16 dlogz:135.078>0.1] 
142it [00:20, 26.72it/s, bound:0 nc:  1 ncall:5.6e+02 eff:25.3% logz=-60.29+/-0.14 dlogz:122.839>0.1]
157it [00:21, 30.93it/s, bound:0 nc:  3 ncall:5.8e+02 eff:26.9% logz=-56.12+/-0.14 dlogz:118.579>0.1]
170it [00:21, 31.85it/s, bound:0 nc:  1 ncall:6.0e+02 eff:28.3% logz=-53.44+/-0.14 dlogz:115.972>0.1]
183it [00:21, 35.06it/s, bound:0 nc:  2 ncall:6.2e+02 eff:29.5% logz=-50.65+/-0.14 dlogz:113.043>0.1]
196it [00:22, 37.15it/s, bound:0 nc:  2 ncall:6.4e+02 eff:30.6% logz=-48.73+/-0.13 dlogz:111.029>0.1]
208it [00:22, 34.50it/s, bound:0 nc:  3 ncall:6.6e+02 eff:31.4% logz=-46.70+/-0.14 dlogz:109.105>0.1]
214it [00:22, 30.64it/s, bound:0 nc:  6 ncall:6.8e+02 eff:31.4% logz=-45.54+/-0.14 dlogz:107.843>0.1]
225it [00:23, 31.57it/s, bound:0 nc:  4 ncall:7.0e+02 eff:32.1% logz=-44.11+/-0.13 dlogz:106.336>0.1]
233it [00:23, 31.23it/s, bound:0 nc:  1 ncall:7.2e+02 eff:32.3% logz=-43.29+/-0.13 dlogz:105.507>0.1]
243it [00:23, 30.43it/s, bound:0 nc:  2 ncall:7.4e+02 eff:32.8% logz=-42.16+/-0.13 dlogz:104.332>0.1]
260it [00:24, 35.46it/s, bound:0 nc:  1 ncall:7.6e+02 eff:34.2% logz=-40.24+/-0.13 dlogz:102.393>0.1]
273it [00:24, 38.62it/s, bound:0 nc:  4 ncall:7.8e+02 eff:34.8% logz=-38.66+/-0.13 dlogz:100.760>0.1]
281it [00:24, 36.02it/s, bound:0 nc:  2 ncall:8.0e+02 eff:35.0% logz=-37.80+/-0.13 dlogz:99.877>0.1] 
288it [00:25, 29.23it/s, bound:0 nc:  1 ncall:8.2e+02 eff:35.1% logz=-37.05+/-0.13 dlogz:99.098>0.1]
301it [00:25, 35.14it/s, bound:0 nc:  3 ncall:8.4e+02 eff:35.7% logz=-35.96+/-0.13 dlogz:97.963>0.1]
309it [00:25, 33.96it/s, bound:0 nc:  6 ncall:8.6e+02 eff:35.7% logz=-35.20+/-0.13 dlogz:97.194>0.1]
320it [00:25, 35.38it/s, bound:0 nc:  2 ncall:8.8e+02 eff:36.3% logz=-34.31+/-0.13 dlogz:96.260>0.1]
331it [00:26, 36.81it/s, bound:0 nc:  5 ncall:9.0e+02 eff:36.6% logz=-33.61+/-0.13 dlogz:95.517>0.1]
343it [00:26, 38.46it/s, bound:0 nc:  1 ncall:9.2e+02 eff:37.2% logz=-32.83+/-0.13 dlogz:94.731>0.1]
353it [00:26, 37.58it/s, bound:0 nc:  5 ncall:9.4e+02 eff:37.5% logz=-32.00+/-0.13 dlogz:93.880>0.1]
364it [00:27, 37.84it/s, bound:0 nc:  8 ncall:9.6e+02 eff:37.8% logz=-31.20+/-0.13 dlogz:93.036>0.1]
371it [00:27, 32.77it/s, bound:0 nc:  3 ncall:9.8e+02 eff:37.8% logz=-30.69+/-0.13 dlogz:92.509>0.1]
380it [00:27, 35.44it/s, bound:0 nc:  6 ncall:1.0e+03 eff:37.8% logz=-30.15+/-0.13 dlogz:91.930>0.1]
389it [00:27, 32.38it/s, bound:0 nc: 10 ncall:1.0e+03 eff:37.9% logz=-29.57+/-0.13 dlogz:91.342>0.1]
397it [00:28, 29.17it/s, bound:0 nc:  2 ncall:1.0e+03 eff:38.1% logz=-28.97+/-0.13 dlogz:90.721>0.1]
403it [00:28, 23.79it/s, bound:0 nc:  6 ncall:1.1e+03 eff:38.0% logz=-28.53+/-0.13 dlogz:90.274>0.1]
410it [00:29, 21.08it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.9% logz=-27.96+/-0.13 dlogz:89.696>0.1]
420it [00:29, 22.78it/s, bound:0 nc:  3 ncall:1.1e+03 eff:38.1% logz=-27.17+/-0.13 dlogz:88.868>0.1]
429it [00:29, 24.26it/s, bound:0 nc:  6 ncall:1.1e+03 eff:38.2% logz=-26.55+/-0.13 dlogz:88.230>0.1]
436it [00:30, 17.59it/s, bound:0 nc:  3 ncall:1.1e+03 eff:38.2% logz=-25.96+/-0.13 dlogz:87.642>0.1]
445it [00:31, 17.63it/s, bound:0 nc:  5 ncall:1.2e+03 eff:38.3% logz=-25.11+/-0.13 dlogz:86.758>0.1]
452it [00:31, 18.20it/s, bound:0 nc:  3 ncall:1.2e+03 eff:38.3% logz=-24.49+/-0.14 dlogz:86.130>0.1]
460it [00:31, 19.38it/s, bound:0 nc:  1 ncall:1.2e+03 eff:38.3% logz=-23.86+/-0.13 dlogz:85.452>0.1]
468it [00:32, 19.02it/s, bound:0 nc:  6 ncall:1.2e+03 eff:38.3% logz=-23.29+/-0.13 dlogz:84.864>0.1]
477it [00:32, 21.63it/s, bound:0 nc:  5 ncall:1.2e+03 eff:38.3% logz=-22.69+/-0.13 dlogz:84.228>0.1]
483it [00:32, 21.09it/s, bound:0 nc:  5 ncall:1.3e+03 eff:38.2% logz=-22.33+/-0.13 dlogz:83.865>0.1]
488it [00:33, 19.35it/s, bound:0 nc: 10 ncall:1.3e+03 eff:38.0% logz=-22.00+/-0.13 dlogz:83.524>0.1]
493it [00:33, 17.23it/s, bound:0 nc: 11 ncall:1.3e+03 eff:37.8% logz=-21.66+/-0.13 dlogz:83.167>0.1]
