mu1 sigma1 mu2 sigma2 alpha mup
1.4698740057865156 0.18190152562949966 1.9084246618024965 0.6969480397761519 0.8463755036167718 2.786813497963419
1.3057429489581542 0.029262430470277025 1.3682990270504947 0.8734647019751219 0.45932913901139516 2.1730678432605943
1.3844923125829074 0.13937940402358368 2.0005230589138825 1.3977571076520288 0.8707331032138736 2.5927894099471587
1.3584586891572745 0.09764165176783698 1.4605629520445116 0.67013088169528 0.4126382187897318 2.827921829829725
1.3880161873859829 0.13887289361200617 2.5436913357189757 1.1427011143714534 0.8792978729693053 2.6124470989728334
1.264819416500475 0.6260398857741634 1.3941008445863714 0.08234825435257725 0.4677525088000846 2.546158135479577
1.3244984896086085 0.13378340157566898 2.0176385577418134 0.7914574779077993 0.7378898097338008 2.510160473735429
1.2901456328843706 0.09340309270203888 1.713730500336046 0.2926910604418645 0.7799960853463952 2.6230017773902805
1.369873540238994 0.17265219538590149 2.1882256264658917 1.5221182311558845 0.6065481861650182 2.228342087501406
1.2678748538565552 0.0727083456644053 1.6022759704355503 0.3937516421964865 0.5399534676128421 2.550873101025207
1.375379494917457 0.14852007748780785 2.136201156935932 0.6329576592098584 0.7512630270573553 2.690462576085074
1.402247355574254 0.06798874334595283 1.6764202996350588 0.3040092728787386 0.4805220213766991 2.810451683306204
1.310383948982587 0.02265136644826502 1.6414831637287655 0.4144640219351023 0.26245125755722365 2.331150612258359
1.3055594269416817 1.4635435145405138 1.3230889050042518 0.03839650613699452 0.5844328260169932 2.3273037108618797
1.4445262721800978 0.16680360885051906 2.1025356221667044 0.9624602908938478 0.7772696835070133 2.324030784280596
1.3771636064783714 0.07963351465822771 1.6014766249288672 1.999734871937741 0.3998167707635773 2.2101602972221706
1.4094397448904115 0.08765957151410021 2.0559833803316567 1.543854303669636 0.6159521184863262 2.2260512441272455
1.306913808429176 0.09759151163046786 2.202952264148765 1.1774815061749606 0.7110863087207131 2.2891790119665054
1.3993562336615266 0.13425919101290537 2.0929051282400084 1.0598346529732847 0.5038103641370495 2.3058750395789933
1.404624252697806 0.1288575532602672 1.7057979711454108 1.2785849913150116 0.7223657952295335 2.5241222110264125
1.3338183892347768 0.09050123057608196 1.7134811842498383 0.8573346427336369 0.7242734749749498 2.5566077694924867
1.377678323181675 0.08279582588349056 1.9255192006200792 1.9990375430462517 0.46582984695223745 2.347660623902254
1.4011731506001714 0.15682142791167475 1.6803386115582288 0.5278813338350712 0.6396780928001757 2.527566898991707
1.3914727740767925 0.13813673007685967 1.4556707655361074 0.7995747370214283 0.6119234955405645 2.38105275014993
1.3402872022089423 0.12415267608838966 1.575799412357254 0.7221667417948389 0.5274868240013745 2.3832920059367058
1.3829924312645216 0.17105862669480346 1.6476413421762564 0.3870704154878454 0.6316868237728799 2.3770540464923515
1.3932800113474804 0.1314209704822306 2.0501233299438404 0.8222515629170798 0.4788817223674331 2.165466333953839
1.3636273446141014 0.10167426711715173 1.5620865872530993 1.513149838469584 0.7374354467519707 2.5015588877646326
1.3193583703570757 0.04492623936357732 2.0456098043838113 1.0724147726007018 0.6380832388996153 2.2452170888725296
1.337004231215587 0.06753825571194298 2.262874907849598 1.0626934102249588 0.7028548966891043 2.4870478843026844
1.3159260979633776 0.07430801360114772 2.0850522261250313 1.6111285472184955 0.6433015965669029 2.4047856864934705
1.3737875387815353 0.0820243820392939 1.8974723535780909 0.6771494729385652 0.6059420365747059 2.615547644610388
1.3911724567871657 0.10545456099729916 2.1792235105798023 1.9661743041193462 0.4893610590403327 2.2421415954361956
1.3638458934983047 0.10787452907972327 1.520683202108433 1.5476167831555985 0.7327887776974643 2.469307146062186
1.3393886980972858 0.08439066241186156 2.0220703636454656 1.339663965664718 0.7451774888758279 2.4311145309877906
