
0it [00:00, ?it/s]
1it [01:23, 83.28s/it, bound:0 nc:  8 ncall:4.1e+02 eff:0.2% logz=-503.86+/-0.18 dlogz:inf>0.1]
2it [01:23, 34.38s/it, bound:0 nc: 17 ncall:4.2e+02 eff:0.5% logz=-350.32+/-0.18 dlogz:568.563>0.1]
3it [01:23, 18.80s/it, bound:0 nc: 39 ncall:4.6e+02 eff:0.6% logz=-281.52+/-0.18 dlogz:415.026>0.1]
7it [01:23,  5.26s/it, bound:0 nc: 30 ncall:5.0e+02 eff:1.4% logz=-175.19+/-0.18 dlogz:258.653>0.1]
11it [01:24,  2.60s/it, bound:0 nc: 21 ncall:5.3e+02 eff:2.1% logz=-104.25+/-0.18 dlogz:209.529>0.1]
13it [01:24,  1.94s/it, bound:0 nc: 13 ncall:5.6e+02 eff:2.3% logz=-74.80+/-0.18 dlogz:162.319>0.1] 
17it [01:24,  1.12s/it, bound:0 nc: 20 ncall:6.0e+02 eff:2.8% logz=-52.25+/-0.18 dlogz:129.978>0.1]
20it [01:24,  1.29it/s, bound:0 nc: 11 ncall:6.2e+02 eff:3.2% logz=-39.70+/-0.18 dlogz:114.104>0.1]
23it [01:24,  1.76it/s, bound:0 nc: 37 ncall:6.7e+02 eff:3.4% logz=-29.11+/-0.16 dlogz:94.580>0.1] 
25it [01:25,  2.20it/s, bound:0 nc: 12 ncall:6.8e+02 eff:3.7% logz=-26.86+/-0.17 dlogz:93.161>0.1]
30it [01:25,  3.72it/s, bound:0 nc: 24 ncall:7.2e+02 eff:4.1% logz=-12.02+/-0.17 dlogz:77.792>0.1]
32it [01:25,  4.46it/s, bound:0 nc:  9 ncall:7.4e+02 eff:4.3% logz=-10.77+/-0.16 dlogz:75.957>0.1]
37it [01:25,  6.84it/s, bound:0 nc: 11 ncall:7.9e+02 eff:4.7% logz=-6.26+/-0.16 dlogz:72.073>0.1] 
40it [01:25,  8.36it/s, bound:1 nc:  7 ncall:8.1e+02 eff:4.9% logz=-4.74+/-0.15 dlogz:69.656>0.1]
43it [01:32,  1.41it/s, bound:1 nc:204 ncall:1.1e+03 eff:3.8% logz=-4.17+/-0.14 dlogz:68.931>0.1]
55it [01:32,  3.55it/s, bound:6 nc:101 ncall:2.4e+03 eff:2.2% logz=-3.17+/-0.13 dlogz:67.799>0.1]
62it [01:42,  1.55it/s, bound:8 nc:216 ncall:3.3e+03 eff:1.9% logz=-2.86+/-0.12 dlogz:67.460>0.1]
71it [01:42,  2.48it/s, bound:13 nc:111 ncall:4.5e+03 eff:1.6% logz=-2.58+/-0.11 dlogz:67.139>0.1]
82it [01:48,  2.11it/s, bound:18 nc:101 ncall:6.0e+03 eff:1.4% logz=-2.31+/-0.11 dlogz:66.844>0.1]
102it [01:55,  2.45it/s, bound:26 nc:101 ncall:8.9e+03 eff:1.1% logz=11.20+/-0.16 dlogz:53.788>0.1]
122it [02:02,  2.61it/s, bound:33 nc:101 ncall:1.1e+04 eff:1.1% logz=17.22+/-0.14 dlogz:47.550>0.1]
142it [02:08,  2.84it/s, bound:40 nc:101 ncall:1.3e+04 eff:1.1% logz=21.65+/-0.14 dlogz:42.906>0.1]
162it [02:13,  3.13it/s, bound:46 nc:101 ncall:1.5e+04 eff:1.1% logz=24.90+/-0.13 dlogz:39.587>0.1]
182it [02:18,  3.35it/s, bound:53 nc:101 ncall:1.7e+04 eff:1.1% logz=26.86+/-0.12 dlogz:37.472>0.1]
202it [02:24,  3.44it/s, bound:60 nc:101 ncall:1.9e+04 eff:1.1% logz=28.00+/-0.12 dlogz:36.258>0.1]
221it [02:31,  3.18it/s, bound:66 nc:101 ncall:2.1e+04 eff:1.1% logz=28.82+/-0.11 dlogz:35.388>0.1]
241it [02:41,  2.69it/s, bound:73 nc:101 ncall:2.3e+04 eff:1.0% logz=29.63+/-0.11 dlogz:34.514>0.1]
261it [02:48,  2.76it/s, bound:80 nc:101 ncall:2.5e+04 eff:1.0% logz=30.46+/-0.11 dlogz:33.641>0.1]
281it [02:55,  2.78it/s, bound:86 nc:101 ncall:2.7e+04 eff:1.0% logz=31.14+/-0.11 dlogz:32.899>0.1]
301it [03:04,  2.57it/s, bound:93 nc:101 ncall:2.9e+04 eff:1.0% logz=31.79+/-0.11 dlogz:32.207>0.1]
321it [03:12,  2.50it/s, bound:100 nc:101 ncall:3.1e+04 eff:1.0% logz=32.43+/-0.11 dlogz:31.508>0.1]
340it [03:20,  2.53it/s, bound:106 nc:101 ncall:3.3e+04 eff:1.0% logz=33.04+/-0.11 dlogz:30.850>0.1]
360it [03:26,  2.66it/s, bound:113 nc:101 ncall:3.5e+04 eff:1.0% logz=33.58+/-0.11 dlogz:30.257>0.1]
380it [03:34,  2.68it/s, bound:120 nc:101 ncall:3.7e+04 eff:1.0% logz=34.10+/-0.11 dlogz:29.691>0.1]
400it [03:42,  2.60it/s, bound:126 nc:101 ncall:3.9e+04 eff:1.0% logz=34.62+/-0.11 dlogz:29.114>0.1]
420it [03:47,  2.89it/s, bound:133 nc:101 ncall:4.1e+04 eff:1.0% logz=35.07+/-0.11 dlogz:28.617>0.1]
440it [03:54,  2.91it/s, bound:140 nc:103 ncall:4.3e+04 eff:1.0% logz=35.46+/-0.11 dlogz:28.173>0.1]
460it [04:04,  2.55it/s, bound:146 nc:102 ncall:4.5e+04 eff:1.0% logz=35.85+/-0.11 dlogz:27.734>0.1]
478it [04:09,  2.70it/s, bound:152 nc:101 ncall:4.7e+04 eff:1.0% logz=36.23+/-0.11 dlogz:27.312>0.1]
498it [04:15,  2.89it/s, bound:159 nc:114 ncall:4.9e+04 eff:1.0% logz=36.62+/-0.11 dlogz:26.870>0.1]
