mu1 sigma1 mu2 sigma2 alpha mu3 sigma3 beta
0.920210738994085 1.0324519527464684 1.3749713196549014 0.08593926578417198 0.4406463312122981 2.195899465086962 0.6981328876482261 0.5508973235667275
1.321787810582969 0.8810432895091305 1.3756491784060998 0.10278283551229145 0.20541044531579356 2.0586354929512414 1.712043022165933 0.7479231986137549
0.9312731483169513 0.20740394948952054 1.3768827486224975 0.11770393437948921 0.05446487420915599 2.1201724336071948 0.14042241236604544 0.8069279619047507
1.3086544847506043 0.13559075102368465 1.8004325947646072 0.3480821962507613 0.4988246930793852 2.2950779784636017 1.6359445693668697 0.4503037330844822
1.0311960860350837 1.1771819132329193 1.3403367740705032 0.07266142852469104 0.15507794572182146 1.686510655314814 0.5920713029235084 0.43317984165706314
1.3378524969179022 0.07052480622531275 1.5460005309332492 0.33609524878666397 0.6257390088320913 2.6103008291495775 0.7452823261630253 0.17029022845170289
1.3566191041170388 0.06187742175909128 1.6894035497084587 0.5840612271675912 0.6750757630822927 2.159959020261596 0.8536514615968387 0.25773120229690427
1.3766698286297423 0.09493650927351618 1.7605221801140565 0.3641296955846687 0.7912526363376272 2.3777162362698685 1.6637175457117375 0.07722878042238226
1.3005672709229752 0.712389955472356 1.3603829012293782 0.08960441799831118 0.04897740192020383 1.3689400794935507 0.8777280846025035 0.6111001319036795
1.3494997744459678 0.10714631662883507 1.934923407507144 0.5175565484874841 0.5976918928109854 2.4477494874894155 1.8689562983376073 0.31994097752592515
1.3094207960859863 0.060935040396876895 1.687797878042057 0.24775282847486813 0.234861014128654 2.028263653574966 1.5085674156414217 0.6629734493661437
0.9233937770602764 1.5086038738236944 1.333459419606068 0.10481235842614925 0.08926221316402128 1.8014751077197788 0.4514372729101612 0.4544829277366176
1.1637198517615923 0.8031187708532886 1.330859680261053 0.028244204780828307 0.4366949181221004 1.4495525892458034 0.21265781955647256 0.23429228144051056
1.359390681715316 0.08852844667818646 1.933770264093444 0.3436835576749336 0.7436055132427482 2.5405549966866072 1.7643391277208138 0.08769463105513499
1.3710439301743564 0.08019268406629364 1.9863705200222577 0.3732877431665706 0.6363786817776513 2.6160705421840484 1.1945535918891825 0.2496415893548519
1.2595603355771394 0.09533250673386352 1.7248249993117757 0.24641937395189967 0.5051387129503959 2.580081339083868 0.7856542427325864 0.46518383854241235
1.248737069665256 0.1040489529533564 1.4613111657972833 0.13795952399302197 0.26466724086885696 1.646556344862161 0.2439703533163633 0.37422254613678885
0.9611859193389659 1.6783408656337515 1.4161736064829797 0.12164127273018205 0.054424714176982344 1.9827757026111725 0.4588024789162928 0.7262928373612579
0.9914796861658465 1.2090109262955435 1.3011169436109142 0.05040306843171005 0.131482293575549 1.4513895331246922 0.1560431690080578 0.2996733920810417
1.3568573352892457 0.6041636671393369 1.3806259549261908 0.09718797942876567 0.2015115573723712 1.69513446322188 0.8332223622133954 0.6479089088993708
0.928227890091338 0.8249323373599985 1.2645203051712766 0.08816264128001347 0.08199365370763771 1.6235761013183634 0.2847216901986007 0.48812780182802734
