mu1 sigma1 mu2 sigma2 alpha mup
1.6776493617896464 0.7253237536145517 1.847216922839697 0.4410324241734567 0.8144477595471076 2.03393708959415
1.0562104783345285 1.458720616533709 1.7334749063698753 1.1402440062894579 0.8982218417236962 1.9976417941854527
0.9874561214559967 0.8610123142003352 1.2118149885466833 0.2601955417590834 0.3500144467068 2.0968416348978183
1.2297410060735547 0.33858070076302116 1.5148042167907836 0.8557149542495616 0.7573169520854012 2.0345791421413346
1.2393496456642996 0.5244205483902207 1.509180270373661 0.2035810173220483 0.49183396799261303 1.9793966539224734
1.4698602661919646 0.3355193117874105 1.670768314458682 1.2894611006431638 0.8515919146922816 1.8695202997210518
1.2261954439868419 1.1683512704310697 1.2631607425500455 0.320075151166795 0.06804165523268141 2.202880564244566
1.3278876289570705 0.42317249767326925 1.449479593276754 0.3367765414172986 0.226545460758889 1.9321839162426038
1.278294332271355 0.15879398882102885 1.6965557041607897 0.026554643891298822 0.9762245986580255 2.2087216017728717
1.3245100951201083 0.2347948242795438 1.7026334640052492 1.2047658009301812 0.539290172162115 2.2454865646401565
1.2764989806474052 0.2019769414620425 2.014108363248111 1.2969981680958889 0.5435429590313485 2.3170219782660078
1.1672321424026482 0.024115693431875355 1.4834623492215437 0.29076213978458604 0.10675692944960957 1.986026072136753
1.2461453844682735 0.054591113092439685 1.9224951447935048 1.3137545908563928 0.29105732957934455 2.3724924979879582
1.2330465042066772 0.17040115482010149 1.6487376238828233 0.20260099038392637 0.4426645879284598 2.1098399853726093
1.1714271898377944 0.21192142335012149 1.437658793348122 0.2957486378628638 0.20021293236020377 2.320562096587439
1.4633731503454315 0.17992462985319588 2.240185108788106 1.2558571827833502 0.9646570802369175 2.436622613571184
1.474413620857018 0.2337091332007559 1.5538604004469094 0.21292040276533766 0.9890059011586741 2.7052325247752957
1.4108496040258753 0.19365388029793265 2.11529174301075 0.6939713040824581 0.6051425751446717 2.2032675314419956
1.3489403707788865 0.12350943733044703 2.12945600089835 0.42485363075527227 0.5684805909338636 2.6504857178796573
1.243364147368512 0.3604891152750998 1.3112247264737895 0.22113753489181928 0.2835546308803145 2.7863172002884955
