mu sigma mlo mup
1.5636210008856777 0.36675147633821115 0.9272436588322948 2.878828033695212
1.1472195928844262 1.2015700169832984 1.0973897982146692 2.323112974136439
1.3912803319283271 0.7906036503862371 1.156870447751997 2.4436303087289506
1.4658804275333615 1.5348112144581927 1.2595300517745491 2.2925108121277677
1.4326553717336998 1.7730411567023234 1.153656353063277 2.100541395432313
1.280897155614296 1.541937436887357 1.2641506531874298 2.2960815621482134
1.8266871159376592 0.8203042797444976 1.1661482662571507 2.14612178773763
1.686841646798468 1.8559428300161653 1.2019791978845682 2.083267967025012
1.6495306973020418 1.0415824313980018 1.1812572165244313 2.2781111100281604
1.3460018846456312 1.7095921418852218 1.1455407620308997 2.250236968581529
1.981360385789202 1.1097597892959135 1.1825876459015234 2.128380454048072
2.1423473406683824 1.3168757361191346 1.179092684124918 2.1636710173006914
1.3736251044634709 0.5906165409681322 1.1231681638764057 2.5964025439940164
1.5451159110107429 1.8642427081493445 1.1543746832488548 2.2363033697370778
1.5558605555955562 1.5026874435203177 1.1659076810853113 2.1055367884525764
1.6716563541906129 1.733271834502541 1.2277653550068115 2.270242654890085
1.9007212257221222 1.0763859099221906 1.2207856356921467 2.2016835580829826
1.7464427144496724 1.0083123998243828 1.182119218764227 2.1202293450560985
1.259897201577791 0.6617203734422666 1.1085416015809906 2.435230269781596
2.0417035947388618 1.897618289828599 1.2569187760296558 2.1751825245637537
1.3260406230051738 1.2739531904004702 1.209566806710048 2.081816228272407
1.1864584154305793 0.3792745255635715 1.154198325986191 2.6590920096865327
1.6224864019533434 0.6990495436379479 1.1776422180453558 2.120452152091803
1.603479273265675 0.49025295463945 1.139902488596796 2.2843505704300897
1.4469468378547838 1.149159757528985 1.2420980659710708 2.2940304297469023
1.392165245762354 0.9072369585974802 1.1375202762580643 2.253967074010803
1.2517779508342666 0.4309908241828305 1.1081084166763953 2.2822574571474044
1.3795293975940819 1.8914766635483675 1.16045478983503 2.1918104085194017
1.4554939533065756 1.2402488492946322 1.1547098078317704 2.2042239920770315
1.6586782109265932 1.0483607670025177 1.2072063482869246 2.239815948186018
1.5051104169985006 0.46172015447293424 1.1482593769375329 2.8812925749576914
1.4122337859217704 1.5007918979794819 1.1812939290283069 2.244726569435439
1.2605917272013978 0.9502176456406137 1.234942183312903 2.3950991816608527
1.2512518821346443 0.671933424689897 1.1142040779920876 2.177664940791606
1.6160174572978216 1.972046126333563 1.2534447345894888 2.191939895917062
1.4886630665350982 0.9342150575181494 1.2664479184667201 2.121727951101954
1.829844500339087 1.531728783870625 1.224245976195724 2.1850410949060897
1.3641805218653547 1.9039546034236323 1.1749017101784172 2.1735604849909915
1.5819916246022538 1.694166495077017 1.2498772323445901 2.1963494564125936
1.3096550529392745 1.2382898026654399 1.1584536202703286 2.2057467824810737
2.0615151390081397 1.9459868377428495 1.2303332937888607 2.147807070764336
1.6047066153994587 0.34515549336698687 1.1809709203507215 2.6912371208974184
1.5296138097309477 1.4646350853085 1.1811851292723388 2.1731542461948132
1.3524384982491577 1.459385157848212 1.2074608143144012 2.108318274014793
1.619348038487019 0.7050390277595873 1.2160129290611763 2.2442839170867606
1.4658442780376406 0.6150703740514455 1.2520368782568516 2.4264002544675964
1.8653452433717779 1.6772133526370383 1.2297024902026275 2.1399243336413245
1.2784242166864348 0.8346898448176674 1.2401772371092763 2.417712419887505
1.1867465148938938 0.664209101509882 1.1241044214895612 2.172751423450249
1.2010376210481268 1.405510298387314 1.1847706285277644 2.247255991779669
1.5313302841890089 1.0644467219289322 1.2523817029385302 2.124394532852381
1.476340583843768 0.30004769791482755 1.230239448064698 2.112437328580508
1.2628932226420817 1.238709843923243 1.1866857894685672 2.2564655634212065
1.2471128998934642 1.1784280039724249 1.175967493412592 2.130751373248285
1.3633463501215135 1.2037628673598342 1.2093991666153392 2.2586722315736516
1.6120283144718774 0.8070186293187953 1.2079238821107783 2.2075014840434144
1.611122022354187 0.33282423432648456 1.224643738204644 2.4334988205318187
1.366217387790127 0.5867548210626621 1.2520338850158153 2.714708277922486
1.2069684954797908 0.7649849728669669 1.1816009765809246 2.104692346999566
1.452520989549697 0.6140838505172466 1.2693038682664213 2.3428123609188325
1.5516380854074914 0.374435141879971 1.2740042584682343 2.515518387249461
1.6615721600639872 1.838233018563983 1.2335366612823444 2.148542648580755
