
0it [00:00, ?it/s]
1it [00:30, 30.05s/it, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-243.13+/-0.18 dlogz:inf>0.1]
10it [00:30,  2.18s/it, bound:0 nc:  7 ncall:4.3e+02 eff:2.3% logz=-160.14+/-0.18 dlogz:233.880>0.1]
17it [00:30,  1.09s/it, bound:0 nc:  5 ncall:4.5e+02 eff:3.8% logz=-142.88+/-0.18 dlogz:208.381>0.1]
23it [00:30,  1.47it/s, bound:0 nc:  2 ncall:4.6e+02 eff:4.9% logz=-129.08+/-0.16 dlogz:191.944>0.1]
28it [00:30,  2.07it/s, bound:0 nc: 12 ncall:5.0e+02 eff:5.6% logz=-126.96+/-0.14 dlogz:189.465>0.1]
35it [00:30,  3.27it/s, bound:0 nc:  4 ncall:5.2e+02 eff:6.7% logz=-118.89+/-0.17 dlogz:183.302>0.1]
43it [00:31,  5.16it/s, bound:0 nc:  5 ncall:5.4e+02 eff:7.9% logz=-104.84+/-0.16 dlogz:167.996>0.1]
50it [00:31,  7.26it/s, bound:0 nc:  5 ncall:5.6e+02 eff:8.9% logz=-96.79+/-0.16 dlogz:159.761>0.1] 
58it [00:31, 10.29it/s, bound:0 nc:  1 ncall:5.8e+02 eff:10.0% logz=-88.33+/-0.15 dlogz:150.958>0.1]
67it [00:31, 13.54it/s, bound:0 nc:  3 ncall:6.0e+02 eff:11.1% logz=-81.59+/-0.15 dlogz:144.084>0.1]
72it [00:31, 15.01it/s, bound:0 nc:  6 ncall:6.2e+02 eff:11.5% logz=-77.69+/-0.15 dlogz:140.305>0.1]
77it [00:32, 16.95it/s, bound:0 nc:  4 ncall:6.4e+02 eff:12.0% logz=-73.74+/-0.16 dlogz:136.528>0.1]
84it [00:32, 20.84it/s, bound:0 nc:  2 ncall:6.6e+02 eff:12.7% logz=-68.47+/-0.17 dlogz:131.964>0.1]
92it [00:32, 25.19it/s, bound:0 nc:  5 ncall:6.8e+02 eff:13.5% logz=-60.24+/-0.16 dlogz:122.831>0.1]
99it [00:32, 28.09it/s, bound:0 nc: 12 ncall:7.1e+02 eff:14.0% logz=-55.23+/-0.15 dlogz:117.793>0.1]
104it [00:32, 28.97it/s, bound:0 nc:  2 ncall:7.2e+02 eff:14.4% logz=-49.93+/-0.16 dlogz:112.936>0.1]
110it [00:32, 31.52it/s, bound:0 nc:  7 ncall:7.4e+02 eff:14.8% logz=-46.86+/-0.15 dlogz:109.311>0.1]
122it [00:32, 47.22it/s, bound:0 nc:  1 ncall:7.8e+02 eff:15.7% logz=-42.12+/-0.15 dlogz:104.458>0.1]
129it [00:33, 46.86it/s, bound:0 nc:  4 ncall:8.0e+02 eff:16.1% logz=-38.55+/-0.16 dlogz:101.178>0.1]
135it [00:33, 38.80it/s, bound:0 nc:  3 ncall:8.2e+02 eff:16.5% logz=-35.45+/-0.15 dlogz:97.745>0.1] 
140it [00:33, 36.92it/s, bound:0 nc:  9 ncall:8.3e+02 eff:16.8% logz=-33.19+/-0.15 dlogz:95.586>0.1]
145it [00:33, 38.45it/s, bound:0 nc:  2 ncall:8.5e+02 eff:17.0% logz=-30.73+/-0.15 dlogz:93.006>0.1]
150it [00:33, 38.46it/s, bound:0 nc:  4 ncall:8.8e+02 eff:17.1% logz=-27.92+/-0.16 dlogz:90.428>0.1]
155it [00:33, 38.85it/s, bound:0 nc:  4 ncall:9.0e+02 eff:17.3% logz=-23.94+/-0.16 dlogz:86.684>0.1]
160it [00:34, 36.28it/s, bound:0 nc:  6 ncall:9.3e+02 eff:17.2% logz=-21.83+/-0.15 dlogz:84.038>0.1]
164it [00:34, 36.25it/s, bound:0 nc:  1 ncall:9.5e+02 eff:17.2% logz=-20.49+/-0.15 dlogz:82.679>0.1]
171it [00:34, 36.26it/s, bound:0 nc:  6 ncall:9.8e+02 eff:17.4% logz=-18.77+/-0.14 dlogz:80.843>0.1]
178it [00:34, 36.40it/s, bound:0 nc:  9 ncall:1.0e+03 eff:17.7% logz=-17.33+/-0.14 dlogz:79.532>0.1]
182it [00:34, 36.69it/s, bound:0 nc:  4 ncall:1.0e+03 eff:17.6% logz=-14.94+/-0.15 dlogz:77.162>0.1]
186it [00:34, 33.62it/s, bound:0 nc:  2 ncall:1.0e+03 eff:17.8% logz=-13.76+/-0.15 dlogz:75.827>0.1]
190it [00:35, 24.65it/s, bound:0 nc:  8 ncall:1.1e+03 eff:17.5% logz=-12.56+/-0.15 dlogz:74.675>0.1]
193it [00:35, 22.90it/s, bound:0 nc:  9 ncall:1.1e+03 eff:17.5% logz=-11.62+/-0.15 dlogz:73.768>0.1]
196it [00:35, 23.28it/s, bound:0 nc:  1 ncall:1.1e+03 eff:17.4% logz=-10.76+/-0.15 dlogz:72.790>0.1]
203it [00:35, 22.48it/s, bound:0 nc: 19 ncall:1.2e+03 eff:17.4% logz=-8.96+/-0.14 dlogz:71.036>0.1] 
208it [00:35, 27.09it/s, bound:0 nc: 17 ncall:1.2e+03 eff:17.3% logz=-7.41+/-0.15 dlogz:69.425>0.1]
212it [00:36, 20.07it/s, bound:0 nc: 15 ncall:1.2e+03 eff:17.3% logz=-6.50+/-0.14 dlogz:68.447>0.1]
217it [00:36, 22.70it/s, bound:0 nc:  4 ncall:1.2e+03 eff:17.5% logz=-5.46+/-0.14 dlogz:67.402>0.1]
221it [00:36, 23.72it/s, bound:0 nc:  8 ncall:1.3e+03 eff:17.5% logz=-4.72+/-0.14 dlogz:66.629>0.1]
225it [00:36, 24.41it/s, bound:0 nc: 10 ncall:1.3e+03 eff:17.5% logz=-3.77+/-0.14 dlogz:65.697>0.1]
229it [00:36, 24.85it/s, bound:0 nc:  6 ncall:1.3e+03 eff:17.6% logz=-2.98+/-0.14 dlogz:64.852>0.1]
235it [00:36, 28.43it/s, bound:0 nc:  6 ncall:1.3e+03 eff:17.8% logz=-2.02+/-0.14 dlogz:63.860>0.1]
238it [00:37, 27.22it/s, bound:0 nc:  3 ncall:1.3e+03 eff:17.7% logz=-1.57+/-0.14 dlogz:63.383>0.1]
243it [00:37, 31.29it/s, bound:0 nc:  3 ncall:1.4e+03 eff:17.9% logz=-0.85+/-0.14 dlogz:62.664>0.1]
247it [00:37, 29.79it/s, bound:0 nc: 21 ncall:1.4e+03 eff:17.8% logz=-0.22+/-0.14 dlogz:62.022>0.1]
251it [00:37, 19.50it/s, bound:0 nc:  1 ncall:1.4e+03 eff:17.9% logz=0.33+/-0.14 dlogz:61.456>0.1] 
254it [00:38, 15.31it/s, bound:0 nc:  4 ncall:1.4e+03 eff:17.8% logz=0.72+/-0.14 dlogz:61.053>0.1]
260it [00:38, 16.56it/s, bound:0 nc:  3 ncall:1.4e+03 eff:18.0% logz=1.63+/-0.14 dlogz:60.143>0.1]
262it [00:38, 13.35it/s, bound:0 nc: 11 ncall:1.5e+03 eff:17.9% logz=1.91+/-0.14 dlogz:59.843>0.1]
267it [00:38, 14.18it/s, bound:0 nc:  7 ncall:1.5e+03 eff:18.0% logz=2.49+/-0.13 dlogz:59.218>0.1]
269it [00:39, 11.95it/s, bound:0 nc: 20 ncall:1.5e+03 eff:17.9% logz=2.74+/-0.13 dlogz:58.987>0.1]
274it [00:39, 12.55it/s, bound:0 nc:  2 ncall:1.5e+03 eff:18.0% logz=3.41+/-0.13 dlogz:58.321>0.1]
