
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-2248.33+/-0.13 dlogz:inf>0.1]
30it [00:00, 287.20it/s, bound:0 nc:  2 ncall:4.6e+02 eff:6.6% logz=-38.91+/-0.12 dlogz:74.656>0.1]
49it [00:00, 190.46it/s, bound:0 nc:  4 ncall:5.0e+02 eff:9.7% logz=-28.01+/-0.11 dlogz:63.233>0.1]
66it [00:00, 176.93it/s, bound:0 nc:  5 ncall:5.4e+02 eff:12.2% logz=-22.75+/-0.10 dlogz:57.260>0.1]
82it [00:00, 166.07it/s, bound:0 nc:  1 ncall:5.9e+02 eff:13.9% logz=-19.10+/-0.10 dlogz:53.667>0.1]
98it [00:00, 154.61it/s, bound:0 nc:  2 ncall:6.3e+02 eff:15.7% logz=-16.36+/-0.09 dlogz:50.749>0.1]
119it [00:00, 153.63it/s, bound:0 nc:  3 ncall:6.8e+02 eff:17.4% logz=-13.46+/-0.09 dlogz:47.792>0.1]
141it [00:01, 167.88it/s, bound:0 nc:  1 ncall:7.2e+02 eff:19.6% logz=-11.03+/-0.09 dlogz:45.287>0.1]
158it [00:01, 160.64it/s, bound:0 nc:  1 ncall:7.7e+02 eff:20.5% logz=-9.38+/-0.09 dlogz:43.564>0.1] 
174it [00:01, 154.11it/s, bound:0 nc:  2 ncall:8.0e+02 eff:21.7% logz=-8.18+/-0.08 dlogz:42.291>0.1]
190it [00:01, 150.66it/s, bound:0 nc:  3 ncall:8.5e+02 eff:22.3% logz=-7.32+/-0.08 dlogz:41.378>0.1]
205it [00:01, 143.57it/s, bound:0 nc:  3 ncall:8.9e+02 eff:23.0% logz=-6.58+/-0.08 dlogz:40.601>0.1]
220it [00:01, 140.26it/s, bound:0 nc:  2 ncall:9.3e+02 eff:23.7% logz=-5.96+/-0.08 dlogz:39.937>0.1]
235it [00:01, 118.54it/s, bound:0 nc:  7 ncall:9.8e+02 eff:23.9% logz=-5.39+/-0.08 dlogz:39.321>0.1]
248it [00:01, 107.28it/s, bound:0 nc:  4 ncall:1.0e+03 eff:23.9% logz=-4.93+/-0.08 dlogz:38.828>0.1]
260it [00:02, 87.02it/s, bound:0 nc:  1 ncall:1.1e+03 eff:24.1% logz=-4.54+/-0.08 dlogz:38.401>0.1] 
