mu sigma mlo mup
1.0762065710402227 1.8518996565001165 1.024230572724314 2.1431539208980124
1.4060210679791978 0.9218195209784932 0.9434925555763874 1.8154267916574391
1.1579491731683924 0.7866802419698276 1.0180366304490143 2.3124622313539445
1.8547418417798482 1.4031891710983406 0.9951101741437739 2.0063690584991587
1.2081749639329717 0.9556509291325278 1.029084080606172 2.1360791553315988
1.1861752571556525 1.8809847902173442 0.9953906689517413 1.865684880837169
1.5428932656912808 0.8204015846895187 1.0321632001640548 1.7385187309214656
1.3383342966987644 0.38912134756825134 1.0909528630566874 1.567980942401021
1.2628065054885407 1.895843063395369 1.0294918914641387 1.7848919576810358
1.4695735288368237 0.38594639163791455 1.0154910483982902 2.2079665050071333
1.1584357916356605 0.5834859885323835 1.0436666803359205 2.572337605689636
1.7578584998435627 1.6459444588041425 1.0570930784002195 1.9901980534722532
1.2543365418063455 1.7701204991075234 1.1021073581839762 2.069558960656935
1.454597161021003 1.2399872707332695 1.046402115436402 1.770356342117972
1.3689459414112286 0.46253319844088314 1.0287691050785124 2.270741274614266
1.5385971103225127 1.3468381526133615 1.1459638610994607 2.0740165773611094
1.4630371883057203 0.5622521059437173 1.0119144509932336 1.8890324088603425
1.7147287284558081 1.676236906421777 1.0561095466309136 1.7537360654293552
1.478590972724271 1.1470303061903233 1.042606433380785 1.956110707736887
1.869697802291781 1.647652341951625 1.044821500495481 1.9097316821475678
1.1122570475800155 1.4975636261371044 1.0947064925228611 2.0736117062049
1.6346713461271833 0.7434319463088824 1.0881089486085067 1.9745164818526466
1.5494370344124933 0.520244267898368 1.1124551453000455 1.5751268636111104
1.4508631118892303 0.5903592167759094 1.0451174771375777 1.817715435352005
1.4569914180217536 1.6840478022253893 1.0472509297468249 1.876544211437398
1.2609283742437924 0.34802989480747004 0.9659906184601306 2.238986986506467
1.9004227589687512 1.3059763363594676 1.1483073696519235 1.992240723710366
1.4245703105877099 0.3857598230072815 1.012888991329543 2.080522579760389
1.2850562809445514 0.3335839842185541 0.9621345056727527 2.82216263841568
1.3646344285782708 1.1236772683981182 1.0637667594074816 1.7804567424240425
1.2993951576977676 0.17676186015163953 0.9794868772267162 2.586111680480413
1.3267579862647911 0.37419619695246364 1.0152112037636958 1.8374974759763694
