mlo mup beta
1.1572953199212512 1.8002305341134675 -1.294654259146438
1.1175876354982952 2.1966083073961262 1.5195483873643134
1.0857556841525395 1.8069490132855566 1.022138908767242
1.11983026150217 1.701522143244725 1.5481072737687693
1.0906748514263287 1.8450694995915715 1.4820247575887517
1.1242124596025331 1.7838638698911375 0.31761640922702483
1.09405615140657 1.9656363453062538 1.254479381864975
1.1329088483483887 1.8664755910497914 6.584528107141157
1.1474914498847268 1.6582357232124754 2.6584708232629897
1.1732659891191584 1.6681951379823574 6.766341266152686
1.15703425754523 2.417612861900741 2.747183938214379
1.1626280953891626 1.9400700738340741 10.071093526351016
1.1016108333609564 1.9890533677628524 4.211054763499098
1.1172926535714909 2.5666895955298723 4.178966927581001
1.1778579314854907 2.3479444348142224 3.145940527717473
1.153213540402919 1.6884769622289109 3.710230713044595
1.183344284065976 2.502339785727577 5.023663126083367
1.1759076689055283 2.801577228225647 11.27743930931365
1.157237081744088 2.5441832350548443 3.194197980418897
1.1113954147596663 2.348643860868934 4.249250583317368
1.1221114611271112 2.0589906332418146 2.008288725135447
1.1771607629854208 2.0253750962370733 1.8956145051488358
1.1615421387054945 2.088354467127909 10.13258302088825
1.1384381700216661 2.713472727046356 7.8268157255784505
1.1712609821448021 2.4162102220106108 2.952597145727286
1.176491735108233 2.459201820663402 3.4058036386822046
1.1127068677440493 2.2438476987904967 5.017904420137411
1.1759609707903813 2.8325676402639646 3.966096071957878
1.1563487443683889 2.671864209805138 3.5916915935771883
1.160810417828303 2.4704540756793962 10.003893147544323
1.1104144250012657 2.01446210868778 4.2218783336401735
1.12601142556762 2.692694866338182 4.857346344274765
1.1545551386975508 2.112171800621632 9.146242042386865
1.1671679528960521 1.9047944632532376 9.63701843748917
1.174035638222347 2.32535484945067 10.94341825216331
1.1805076494589661 2.199837426006364 3.536585881653595
1.1424962072096485 2.6523006886874185 3.9300557050832587
1.1198266942809727 2.265415728294429 3.677266265100476
1.1110130856320874 2.059240420508037 3.7635507851530807
1.1431129412875147 1.7898970249544333 2.7121896383171933
1.1826126702929192 1.9221304761558595 7.313788033350164
1.1499395234554397 2.162817621099866 2.385345479727384
1.1214005573795232 2.3479108313272916 5.297187552966694
1.1308136956886696 2.028122058433488 2.1560283736307824
1.1456310401775562 2.4885722986737964 8.13633093543138
1.1154672523712998 2.0831366831093234 3.5061280742647245
1.1631673804316975 1.7279821983114154 2.8939619388195856
1.1241764154177967 2.000612820979075 5.424629912688124
1.1766401054919617 2.514681573800255 10.539513265345546
1.1246641258369297 2.4432399995194154 4.798557015683169
1.1252770305246966 2.446566980559468 5.43288510842415
1.166009378527802 2.7954772586693184 3.8484651919028057
1.129681638944213 2.7230089117295644 5.344406028312751
1.1390333329482734 2.1476553467288992 2.635677662904836
1.1570685362563895 1.7933131656245154 6.149839573916907
1.1647000616481948 2.026263169385243 1.748958380617946
1.1659423152168253 2.424958266816009 3.22743860458443
1.1438328658452266 1.823979560680791 2.4719168878548707
1.1432811522854298 2.305594845165312 3.2036255291029754
1.1778369921664502 2.7417718241348865 10.285771229596598
1.147087509717173 1.9026149187525805 1.6274021761625326
1.1498797138024703 2.861526941959736 8.392569965219023
1.125198561711498 2.2985215175697506 3.9721917676577085
1.1320325708581573 2.1522694878444097 6.519376331973534
1.1308753467602246 2.0307278052924027 2.363562282382661
1.142165550262068 2.458730476228944 7.579231030719251
1.1677298406902232 1.7312220955528304 5.478122862759179
1.1214601960643782 1.9232398686309724 3.2235813972434
1.153232437929461 1.884433962050087 1.5906112699981456
1.1369260819045426 2.8215835429370637 4.870237907567242
1.1362052045619488 2.4588800576299326 6.772428423831673
1.155202541117381 1.7707831527436872 3.4546573082126546
1.136902966772807 1.8510923842764309 3.1974053467285497
1.157066476887794 2.6662320814275358 9.024461474648
1.1489456512770357 2.8151098814061135 4.352918673481797
1.1411662542908059 1.9031700281584052 2.0125249860790664
1.1242028479621657 2.258070502658996 4.919756072721102
1.151792905037136 2.85676362722731 4.328583134606101
1.132995213597162 2.639315917346816 5.657313483007892
1.1329630454329256 2.480786961836777 6.113391275854909
1.1344071065948298 2.65753063269697 6.050531070272884
1.1806636222189861 2.214426377591007 9.239800359945116
1.166067260593284 1.8752098852022918 8.512099993987377
1.147263898189221 2.454938539801824 7.869522132405777
1.1629410907040807 1.9813245910013677 1.7703437750380138
1.1693631548301653 1.9397830544454457 9.423741576567693
1.1276658548310767 1.9155688733527434 3.251304943955933
1.1557213610318957 2.2990457889788303 8.766724156023699
1.1391734328225132 2.8193642331024806 5.059318784604962
1.147678450157175 2.352773019962512 7.867683879395518
1.1370344251471276 2.05994209275089 2.66011665141903
1.1531431045158413 1.9291993162190528 7.549118578658764
1.1629859858563596 1.8383065585591858 1.992747902480433
1.1309218103797818 2.2413974194156303 5.935004950502259
1.1407009255811507 2.716113588824527 4.7695754218615445
1.1354245193942745 2.5723385484962673 4.965285268640903
1.1332202558494022 2.3926077763670395 5.975712341872752
1.1741927776475896 2.88412608863666 10.218551100772073
1.159824461366885 1.8209677386335061 6.510672640576999
1.1342383411316095 2.5441942472906813 5.190954487730078
1.1605465930809065 1.7711418357875526 3.995825230778774
1.159452828245805 2.4658942647880973 9.088053250683393
1.130361058993106 2.305728583343398 5.601249027787645
1.1629948710925828 1.935185640784547 1.7270986523541385
1.128128749544768 2.105439357177822 3.4478634134519694
1.1373953339255043 2.710110917846321 5.9665318522077
1.1366038380742367 2.2393147235192075 3.5865811554572495
1.1620121886665769 1.7783142341321383 3.3380252879398338
1.1307405502064982 1.9110602391081644 3.6323023224479645
1.1313910968059515 2.3535348717008704 4.620988030375795
1.1574419186901495 2.3712308604117807 3.4651005273791675
1.1417369898814222 2.24735879116345 3.436485344147025
1.1365227864149932 2.453061127350827 6.1884789462139
1.1374179634753232 1.9056980327505295 2.7377006337030156
1.1656022531313355 1.7797362885142856 5.766303435272622
1.15994477307337 1.8541547091738988 2.1717709742753915
1.1495839241808121 2.66637175199032 7.797238380619312
1.139373275046334 2.624851888904937 6.340812908954858
1.1760742732214269 2.508067755005977 9.94312181593331
1.1529927312989956 1.8423729796326738 5.602799665063285
1.1528453874386673 1.9251184967390058 2.030717172059701
1.13430923041399 2.242597285922492 5.98249319192899
1.1614928587950328 1.7886530877590658 3.4350837974745403
1.1616205711034961 2.810293903160436 4.307539137563433
1.1373555015084216 2.5175669216990615 5.873696067383285
1.159766337938847 2.350896720041449 3.450954820100531
1.1413348296321506 2.570509299207405 4.744964303198742
1.1769515442504566 1.9322605018789911 2.670940978481921
1.1437527042620808 2.530766216237862 4.484254714587999
1.1443688205481746 2.54087834276923 7.028577598625921
1.1725145596752846 2.5970273882823554 9.993818744959931
1.1342623285657756 2.0639185417329466 5.695827883227846
1.1813328788110584 2.6366840688471913 6.079870126411539
1.1358003357768967 1.9718138853293607 2.8869477455456476
1.1810058902502416 2.714456285220039 8.14995750728176
1.141983443980066 1.8787436250934881 4.261854526565283
1.1791131857954893 2.610206862027908 4.992787322305997
1.1437653590777221 1.8890579603585067 5.169052738072718
1.1434840070257082 2.8626243169272216 6.47903112051902
1.1373078500738676 2.0601331202124706 3.105194972661149
1.1555991632907192 2.069326301520202 8.113149331398535
1.1447321116463374 2.4182587680227225 7.027694179942063
1.161927777382349 2.0499960363226437 8.731256839717963
1.1301918122194 1.9885465393439938 4.292296751584065
1.1705111970669755 2.899407418929112 9.819921665097262
1.157543328060629 2.322398541368588 8.535837251638887
1.1503560366971295 2.09298926331984 2.824744810019009
1.1518010227169104 2.6639525647587843 7.770214949654346
1.171471161918103 1.9857058075951752 2.2341392608642128
1.158687044238046 1.807611847944252 3.9514249522336993
1.1666353583673588 2.8529392673099907 4.3820765422649455
1.1800210306458312 1.8955622778768186 5.810205732281569
