mu sigma nu tau
1.3020334559097693 0.1965235857355793 6.280026990908991 7.821051902163271
1.304095433606261 0.1911275944557601 2.151133282602678 11.628211701479055
1.656058590679573 0.4891489536181328 7.909668760453304 4.263138725597475
1.4016363723373235 0.34042798794151247 3.4462495205461217 4.07609523071055
1.5903177108145217 0.36211190016140143 5.377621658372964 18.232398192121092
1.5022362743286553 0.3644164114882325 5.01062630220102 6.614485682034466
1.5695714157761311 0.5898490272890331 3.8755507727657807 2.8381944913080215
1.3712084515998932 0.2750150657054177 3.5302246085449585 5.577023406802798
1.36784439615337 0.30918751263023697 4.141903934693576 3.5885000622291803
1.4288730980607007 0.171505622987745 3.933166060978592 10.458084469047948
1.4461006135073946 0.2849342793253475 1.524451709972149 13.746441813820912
1.3019715118122321 0.11097294978646498 4.745911063900758 17.449698452762348
1.4517211150970426 0.29712907920733367 6.852248695523414 18.34093563606746
1.452304596063403 0.29710265807964753 3.2414850863466795 13.850033333655679
1.398988775702755 0.2609681822460448 3.606719227496484 17.363643740760597
1.56752957454718 0.3635185663128279 4.176583105574302 7.606948452791114
1.5325608455166742 0.33946130651464396 4.362617948143939 10.551172683391085
1.428800811103768 0.27564051331839906 2.995488843383892 19.04424316384808
1.5614614990695492 0.30346938510284127 7.89561807033733 15.358524968856525
1.576343343199261 0.3667242645874953 3.4185385508975648 5.482504038548088
1.381143134219378 0.4250207206555355 3.349878287537946 2.515059666052388
1.35164937549922 0.21090083990559427 5.886367672311783 18.486200870148384
1.3659169468333856 0.2381149920341968 5.899727017817836 8.26091811095408
1.4750180823898082 0.2952486084624827 3.2271721691352813 17.733270447213272
1.4497139636210354 0.290690816796325 6.493049651458212 13.166967920091972
1.367658712383631 0.12448939377537378 2.620201949589837 7.723328254547935
1.321876977565377 0.2066301125734792 3.835593266991237 2.401829915276292
1.3546114558232523 0.17540956194533555 1.2598945561545802 16.608232913454415
1.477808941167641 0.29732096440623235 7.597719501868979 16.832584517019054
1.3265415700657404 0.1689276638068734 5.934110256890203 19.452387659690107
1.5313956649612503 0.4510342167140278 5.5166828179884835 3.3692723918986633
1.5175624650822093 0.2527784703391894 3.316154297961086 11.070190893761787
1.4187708911978603 0.3593270722193577 7.495583215708431 3.306109921474583
1.4180513010638056 0.26275128030210193 4.83421312660442 15.160514401082242
1.3774545847607955 0.23059146865942287 5.332999296923052 16.717418044769836
1.5760529875743527 0.6172208835475473 2.675478281577447 2.435956079506582
1.309055600078679 0.11781733134939118 6.554182483560962 12.827373914699963
1.356302568303256 0.20816715378538 7.34212568050327 19.752460345667313
1.3111662413802339 0.12855052227099606 1.8278714057047223 7.108234745289224
1.5541401363667333 0.33612447202097406 3.2252174628400034 6.005614618210487
1.5107295089941948 0.9460319003170344 5.322027834437039 2.186763874658941
1.5650541810317766 0.364718955729706 7.6517899512420255 5.866094778997464
1.5410101549562132 0.3534276706086223 3.6576905549631915 5.681705171019307
1.5745925524980977 1.9564957094133733 7.9183074026346505 2.039356392887438
1.3139500490428968 0.1459627815865115 3.49245627166186 9.627348131136127
1.3468876514729877 0.19552800808206686 3.178755408925047 14.87803635432373
1.412013370825314 0.15974114028788938 1.4412392988920857 10.264258723185067
1.5655167678868858 0.4186293275424682 6.84322927913378 3.9485131058197496
1.3701188665154511 0.21944808811843733 6.527161508146121 16.84843511526186
1.4645976329287715 0.3437711571021242 3.0864329633175123 4.20378134585898
1.3954599991216594 0.2441204770786856 7.532434649845639 13.703038859152436
1.425104182211419 0.3829142754137993 2.6672421447874903 2.963113837011396
1.5150889856974166 0.29834125378600884 3.6387498912068326 18.942984630276623
1.6078114391093727 1.050493638922387 3.6296418261657095 2.1657160300893152
1.3198535305057446 0.139897884149271 1.3136697021108474 4.226471690584253
1.4485823374346682 0.18751889582783898 3.466082667122766 14.993161967693293
1.457600033108191 0.2822354081141491 7.186981612155674 14.475389725854761
1.4485333032385843 0.8055140077780026 1.677038524717278 2.1395282772127313
1.3161617498990823 0.2733548674811984 2.498498118000968 2.41783155283269
1.479911238936867 0.2979694408445966 3.8490108607045657 10.091569173402801
1.4432140246623395 0.19464777179701095 5.21624604799891 14.781489934220518
1.4041268834584484 0.1457888488852073 1.7856303995388894 10.056785197090196
1.467101492359971 0.20882678450713546 2.1646338804897853 7.046552956841291
1.3811821155979176 0.24793349131799974 7.236007956059092 6.357734707309984
1.427552152512472 0.2633157831455175 7.875329212013223 14.54124058238096
1.543028822241118 0.34478964477460905 4.941864199883955 4.273812723945955
1.442284744089104 0.847662846586017 1.549184802547844 2.0557592458504
1.4741229078052145 0.2857802679264855 4.817787738848619 14.513341608582058
1.5062982801718152 0.31025593104968735 7.0592592799872484 9.774911230565472
1.4316919824033492 0.1959311189016832 3.8226523382930147 5.503290083161183
1.3237122076648047 0.1412090450636962 3.7888538219133916 19.225474413613203
1.3844049984427227 0.18027039134202355 5.9367085234742625 4.31883549577973
1.5285883325319363 0.27725920058162434 6.7831554555668605 15.558509991212045
1.3436655863056879 0.18332921957538956 5.033401193497837 16.601429759438073
1.5515963032701934 0.37692132858153654 5.620447484610765 3.8413019530256003
1.4139512449439082 0.21700794497882395 4.981303133135043 3.6083912388649724
1.353943914163669 0.628652964158335 4.010848415595678 2.1222696950774242
1.5158775561971485 0.25474469833060087 3.0423147676292173 17.458321686225574
1.3094753978712634 0.15150466859574838 5.553911819018232 4.708616070747767
1.4190070796057976 0.4566610836514349 3.535924735545682 2.5328039953610464
1.5247564129738402 0.3042696965237171 7.726121972453139 13.983933740307696
1.4741592895312992 0.2804349861081732 4.007264730830046 16.797204100426526
1.5014828877079855 0.2924261798672072 7.595555602277819 18.81797383366438
1.3224509982407513 0.1419742605094411 7.521832080170609 16.072573754293774
1.5376802408440258 0.33814806906858574 3.134177921829111 4.483501126560261
1.5397069124148408 0.3919322066526549 4.977019126235252 3.2579219000922057
1.4805697175739039 0.5048748096372097 7.371809351956002 2.3677829399535844
1.432812940755638 0.1873909776720398 1.552815883135422 10.011994593008154
1.5002931425145394 0.2861343852279643 2.2330066328192664 6.6139075959689535
1.3871414976295195 1.0459415962435479 1.8974649091274598 2.0546603654102364
1.466944379783815 0.38260021377583703 5.508753338115578 2.5818403871407405
1.483628037665077 0.3681556875592646 6.360664436653274 3.879467436489636
1.3690983386532476 0.23818884378028976 2.1947289038490103 4.863945307143743
1.3505613141066595 0.16941727324011485 1.2906683206895924 5.49408475354708
1.4927240310919245 0.2878939330626637 4.611178926328951 15.480316589625993
1.4127779459151688 0.18486404347133925 1.422816475690651 11.622534196330385
1.535590971840558 0.324918501596688 4.582443703207294 6.872612444343071
1.39880220795381 0.21397327725393503 6.260312617055273 3.531240494924549
1.3857966042953793 0.15566833046934545 5.6364111673794035 14.686445236137823
1.515475985966697 0.2762890118459289 7.826384320055136 9.501412914475603
1.3643564156817447 0.21052084938459306 4.5169565112978916 2.755332712652364
1.5377890919783055 0.306525440235924 7.487480148867086 7.724768049302625
1.348425134670986 0.2675767564037925 7.997319558467508 3.0256932294034247
1.5115603840155507 0.2556192853188733 3.0659115160741446 17.573269773619042
1.517385384586456 0.3379182179992023 3.250540557711309 3.4653103947835193
1.5171396420706562 0.3076479325859742 6.089636249505053 9.125819769934637
1.5057170437439766 0.3048859299808722 4.840197683984213 8.528263007412392
1.4921759678493491 0.2842413220340841 3.3763362028384267 12.715662058339428
1.5330929869773788 0.2858888474827717 6.578996372199446 18.70692351064693
1.4667197563252152 0.29230870617848775 5.946203246475082 7.774916489450272
1.5361739691976544 0.32290911432903774 6.282114404900202 5.562518403296865
1.5238203786788422 0.2793744813092749 4.614060647709046 12.974615769852871
1.4365100612411488 0.1871978933870081 2.150224808182198 6.03991035474016
1.3862595412190037 0.2601418030317 5.316501376773114 4.632706314622414
1.517302611721949 0.28635153956620135 4.589011596685443 18.523327123426334
1.4766693754901805 0.27372045313347293 4.722249781541769 19.408101288853572
1.5079823975002156 0.4365639414162684 5.984919584484024 3.1151751433576442
1.4992601105856713 0.8801368606212476 2.4379156224500367 2.162407067840146
1.4996380154275792 0.253619249920163 2.744232081942958 8.517031333631223
1.3793643547321606 0.2125671986290233 4.618187593402895 19.265344142520252
1.3238445370418257 0.1373951082620772 7.5121854198472455 12.904182719508333
1.5314658025941132 0.28966397298271335 7.269496263310573 12.357874907430906
1.4390961168447618 0.2782629797825104 5.2238089165675134 7.010589897723989
1.3638181924624984 0.1849520289177197 1.7290466475322988 15.406592622454369
1.325290589557552 0.1646854575977233 5.99737676392589 6.226175484104525
1.4036469926797568 0.23723512996527768 6.5414584816347014 13.459638684555712
1.334228922571087 0.1257809949732171 4.707036570091334 10.825691605725106
1.5082988321273167 0.2856236167658685 2.8161867109842205 7.431539923708293
1.5417344348964799 0.7897158154957278 4.862107361643359 2.2034663366784923
1.350075207289236 0.1854709953005528 4.063908970435301 11.728362051377605
1.4147863523915878 0.1954008987966506 6.309980322920675 6.221384842149831
1.4358001226653063 0.18873758871193239 2.5540092035109465 6.2578085073004015
1.4947267284271044 0.281608910254303 7.897274106370258 16.66926577585169
1.3997709885393133 0.3696458186017776 1.8924081040461234 2.6245669817724604
1.3391635350368771 0.16733713550336857 7.832718150006691 13.331817139313353
1.3631884213997527 0.1958389987321197 5.0658770474602175 16.137582988484947
1.4373575743942577 0.26202288428873627 7.72027838368031 10.947131864958429
1.3774355418368684 0.222432783552641 5.087377613244058 8.144816254130786
1.5198788933862821 0.29503913853351854 4.8533132836855435 10.14546044673806
1.4252531331342686 0.3029636618914708 7.08798818027623 4.197359818273816
1.4672325377941966 0.269951136894359 5.459585840065723 15.719456813406346
1.416735089911983 0.24210632471813084 6.184317216902803 15.522361663275362
1.3781319286526283 0.1923129841758134 1.6781242987617726 15.199915351913438
1.4726543556844955 0.38714625568927435 3.9816203789823126 3.2295657255550054
1.350379742115495 0.19584595687275105 2.507513248925764 6.338501456046435
1.447668463241408 0.2923475370658756 6.441266263309993 5.6899003955855765
1.406619743743363 0.22888663612076085 2.346906510431266 14.349037215777303
1.5089283553244068 0.46003775187562457 3.593850001671618 2.8672041355545637
1.5208994252001218 0.27859980945993096 5.773695908358746 19.497972233372355
1.4682768565035968 0.2092149128127914 2.8465661377049463 15.064374171893558
1.3331448683148994 0.15481787535624789 2.5355136171525743 9.55742044425104
1.513782672856924 0.4469437010902457 2.7500843793561347 2.5841181171889325
1.46039420583595 0.2605574612882068 3.7687700806903908 19.45961372035131
1.4579639438621381 0.2541772807189993 2.654510794616716 18.50697312651523
1.3860954135011072 0.22514349144786724 4.709203211780858 9.315295651072
1.4175226717985474 0.2473495175196042 6.576143079758719 3.3597974591022215
1.3604189209118784 0.17911226220395354 1.994990553431665 16.221750967372436
1.3352974643447468 0.14566527716489075 4.496724397143306 19.75215684780402
1.494444949877443 0.26100784636944385 2.9246962224582593 15.667134202346048
1.4400751822160678 0.2544739368136124 2.00612995743044 6.722096475971416
1.4741366677748342 0.2412184059479332 2.54545499492067 5.326631128208543
1.4299602325812109 0.19224840411922325 5.977948698962088 14.827151753553796
1.3454905793573846 0.17432054088215082 6.110520517524713 11.57365498892613
1.4407847699304384 0.21991225821377997 2.7355251883234883 4.043049236730811
1.3687848708498835 0.19587184369997868 3.8011583394673703 16.79099204791288
1.4705948776257731 0.26970292547695485 7.011184908828059 14.363733456177085
1.4693576515044366 0.22381089132139614 2.353023400031092 8.34444799396954
1.5333019816558462 0.4255472037082592 4.119173600180293 3.140851102828688
1.3842537671364328 0.20849227039827667 1.8938302821917201 9.296153763125384
1.3240972252057208 0.14334223803406748 3.949713133065827 7.160125854383805
1.4725196478356337 0.2649711509036967 3.9847047531144915 15.810443917416174
1.3617120062647254 0.1679250453197439 1.6122374858723967 9.26943717329965
1.4482313284746415 0.2742407324776358 3.15799676245752 6.647103522952968
1.3853236060287917 0.1740076075297311 2.4786677315580126 3.5009549115088
1.5046752128677663 0.26323851639764834 4.732058278901315 12.902732706165615
1.5407392888938405 0.7887432696163864 7.898553912030791 2.226924862523625
1.4190561169576983 0.23659877137182433 4.92186551963773 17.835766072238854
1.5010023491914146 0.2742487233604076 6.113092839941622 18.445528711480964
1.4541219330645268 0.4195653991781727 7.491467963421172 2.8340975093343994
1.4064105932564512 0.19245443004300727 5.945928546680868 5.626718553531088
1.4993668323541096 0.29591350837223807 5.326548611033567 7.670246511869546
1.4531814837735428 0.21096398072453224 6.558688962379547 19.439884499567913
1.3728278064306312 0.20095847591726715 4.475057157938908 13.983135301156056
1.3925972439489487 0.1521469024161095 2.7798121758323004 8.923452675193209
1.5288386527350208 0.5406113592174865 6.750496900969385 2.6282593885375922
1.3571759918560102 0.18215961083069943 5.683432571195802 15.936456062748968
1.4211813847061867 0.23548290437388372 4.438642405243739 19.538101315598613
1.5069172284862131 0.27697173215074916 4.421153378599438 8.89895524162801
1.4840646117671492 0.3884931889887485 4.700046284154169 3.2553234960121804
1.5171779689712397 0.34239792547176373 4.619856552577033 3.860907306078051
1.3537566205878675 0.13119283612471377 2.401136464056197 13.925870002452875
1.4890441864475212 0.37833848083693344 2.4566347809421414 2.7186997622881672
1.3555568445907302 0.27095950383595596 3.459623815802806 2.896196102533776
1.427912727113655 0.26219544257795696 6.460061807923568 7.004256718686344
1.3645988297443754 0.2637925097223941 7.645775908265641 3.2679428737573537
1.3656217666725883 0.17737864013317658 1.5195594254527982 5.804206502193045
1.4047979977144451 0.20688306516927135 1.881001827602946 16.96142980542506
1.4880439345770207 0.31613092877383925 4.929028884471402 5.0431235646928325
1.4729720625671932 0.44963387998800214 6.107391543199986 2.757892285969558
1.4543346904336012 0.21161182337316234 3.72760510687242 8.544920403800036
1.3554041884495427 0.1963046443013809 4.466316316633833 2.9585495519624727
1.4972498116789055 0.27060374951054866 5.128173009938546 16.824733899172152
1.498153282201025 0.2762074051969966 7.703634911732583 6.7146004901133995
1.5280434925971016 0.5631707482529221 3.947567931226677 2.526190275008907
1.350001458987583 0.16763482592090137 6.5207570890985025 19.0714097241268
1.4322192067011832 0.3750523080564018 4.421994006355644 2.915974474766331
1.4377584082534383 0.18413745871315443 3.037178050488741 19.35653768639098
1.3586591408693558 0.18771850549627875 5.132971070626667 10.821886950325494
1.4509808823753627 0.20046528326443 3.6629742584264924 15.601464517297861
1.3549665358138776 0.17904313209534167 6.035860187896137 13.918311848089981
1.3779858081726462 0.20597232854439473 3.4625217238727615 11.1648336442409
1.3971614312476301 0.263302467463631 5.421318158511614 4.403423550576271
1.3394751988133287 0.20769283431827038 7.024277640793944 3.6594925537766683
1.4201332795481814 0.23705257068366895 6.491727676383025 15.13855044348465
1.401811444921453 0.21735483454079485 2.6520329981766837 16.603428116707214
1.4601560331817136 0.27558317577466535 2.1780097447135383 4.784094506028422
1.412439713187052 0.5307588364096498 7.012044620387851 2.310261472946409
1.492369871096145 0.26930637306767735 7.429901288629699 17.57534389527482
1.4985815535726514 0.3243531954505854 5.46917119722929 3.739419617510089
1.3439391685564452 0.13440835041143342 2.099843013162287 7.958247395913144
1.5044089318679332 0.26829000188705704 5.499113744850391 12.14688759725615
1.3748415350678007 0.19251192322571534 2.0204699534156787 11.22773764378665
1.4283692565952486 0.6339211012241565 5.562141095140095 2.2328427848089074
1.456649469883562 0.2749907941899473 7.603031055171223 7.633499664593684
1.53461246284899 0.409018687783523 6.933904587691746 3.3511608993589137
1.4038931917428275 0.25339882314549445 4.498858535857683 5.3776845537674065
1.3409328739797632 0.22064883767048246 4.03713991181897 3.270586399773454
1.3788647341650124 0.20424491010584855 7.818379884165093 14.750156339124121
1.394542427691296 0.37167339603914024 6.7024338263610055 2.637120266934721
1.377224831617955 0.15542356534393112 5.184620736399546 10.410641923205782
1.3629031300512995 0.27912292863020427 7.784975680128213 2.9522273105635346
1.4671336997424909 0.23474045868598342 6.323252632912912 9.110872224287183
1.4651502238326723 0.21967355791663215 2.7759040862015203 9.237769955138669
1.3818274889843634 0.3097449435366873 2.461315730826487 2.2841446129011884
1.463661729408963 0.29231002678056245 6.575636184521355 5.727409995687088
1.4691140756183179 0.40826935084525456 4.356459386103341 2.928402095572209
1.452516048498938 0.3666722281073974 5.597585659695942 3.1807637067467374
1.32577771569188 0.13218239405453225 6.396183639723605 7.7273210721519625
1.4947325680808556 0.2671516514862071 6.320908210366487 7.789141357583182
1.373199135733612 0.16409391333793574 1.729233442413618 13.018473326407051
1.480861033928905 0.27626738833221154 3.53460409667656 8.039362048770492
1.343205971945348 0.15261594246859328 6.6059136169897705 18.98031330632075
1.4267132550767494 0.183001292215694 3.1818410879292593 9.221462464526246
1.4240611627990494 0.2414940029248899 3.6162753963395855 10.524785745516896
1.4438266761748837 0.20142223196783637 4.843841173435948 14.852111917072582
1.4249760731380954 0.24078006908250865 6.440182807025262 13.098440226249409
1.4845615713184601 0.26178925593013647 3.668201639778965 14.006228876883098
1.4669211126717645 0.29342114687919935 3.5244433856449935 3.2581414725083366
1.3663689827860857 0.19116961935014207 1.8629468627585941 6.770013863434212
1.425904763604134 0.22524322313574438 1.8805192334725067 7.620458521076042
1.4113476767301678 0.25163440095670503 6.012498001150852 6.2331148351037875
1.369068233817476 0.13854204263600728 2.4929780119962643 17.835170786666538
1.4147989720063432 0.23545098354143623 2.7713028192493354 9.08736041583473
1.4764648451156428 0.23565848374778875 3.7520410233334065 9.134120420771549
1.5173784377103794 0.32635359176068013 6.1241982909074535 4.683131883960155
1.3531162903618728 0.18081765035606118 2.620970306883896 2.8639385367255397
1.407120150676243 0.22037059740949588 2.5276629951494147 13.498877519224012
1.3244174333434646 0.24428860098605668 7.158091207550672 2.473529700429391
1.381650516354037 0.20457955115043128 1.9031878981346664 7.164706052636193
1.390726882683905 0.22620081130295613 4.683442852988043 7.465798382891636
1.5219894595705752 0.47392606358641126 3.9601697169239363 2.6524068641410223
1.348799378096065 0.14890256115558018 2.1732203445586427 11.503289110990476
1.3601355984962793 0.18696341008436057 2.7372124305813283 8.73402605905807
1.351187844626985 0.15968241206638847 2.7190901115476076 16.63052697673142
1.3433284523174378 0.1718517020065205 1.646341211576507 2.9172353011917735
1.4884663907881794 0.25947175540320566 5.27559923595247 7.8782870240684435
1.3990464305420118 0.20892557235220352 2.221119569427854 14.498977109365603
1.4528276903198547 0.2568288670123511 2.827414410670822 8.468497820980051
1.4085252376642394 0.2474555207156214 4.972960484570599 6.24922048748738
1.3910891761251025 0.3988155882332773 3.2370267711060636 2.211166646191611
1.372909044690847 0.2028816981529958 4.390298113741849 9.14079412346202
1.4398043794459205 0.38675798389220223 7.366908320281833 2.889769861288966
1.4343204470268645 0.2125302499019916 1.9671687041342905 13.432740323902287
1.5023194381539726 0.2681444639373606 6.756015756264928 15.464154971980212
1.4486134409629772 1.3403688440726633 5.244239547789036 2.0342491395148543
1.4679740877858602 0.22161356446248412 2.6882811562711133 16.396358989028812
1.435920052111928 0.3799037315466542 3.046156810223894 2.8273428220418753
1.4794429442573933 0.38274205568753544 6.82813612751639 3.2384967256534263
1.3798027995966722 0.36228158957858475 5.904178526086164 2.54728309855432
1.4889670984536227 0.3445974176141486 5.52041443098955 3.90785785578191
1.483282270091253 0.25927607126500835 4.529154628983556 18.408954357229838
1.4969583992039865 0.33742274390568394 3.128547360038354 3.363545393736806
1.3552534740061815 0.14973748488837488 1.7429955094192116 6.519694653338698
1.4967515115966274 0.2751835574212935 7.860336646996133 11.096230770422451
1.3586016690310045 0.19624151180243526 2.2885439915989547 5.480546679351422
1.438541567272862 0.20988969436069949 3.1055494776619854 5.2524114043419186
1.4000371183305202 0.24155759460384557 7.368319902584328 6.146603039288236
1.371478743466406 0.19818229162361464 7.898367723898263 11.060532081448152
