turn_on_pow,25.430236658897336
turn_on_pow_fix,25.52177423251398
turn_on_pow_G,23.466318643909506
pow,24.84569313370238
2G,22.690474075533192
turn_on_pow_G_fixed_max,22.988701269352735
G,22.26463495196477
2G_fixed_max,21.633500193576353
sst,22.310011705751524
G_fixed_max,21.793512578129167
2G_fixed_min,20.871144880362642
2G_fixed_max_min,19.68282508305452
logu,22.47023284172076
3G_fixed_max_min,19.129911556608782
lognorm,19.984270628503268
gamma,19.634610185819547
U,21.031423093810908
G_fixed_max_min,17.48727023168891
