
0it [00:00, ?it/s]
1it [01:33, 93.87s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-445.88+/-0.18 dlogz:inf>0.1]
2it [01:34, 38.73s/it, bound:0 nc:  5 ncall:4.1e+02 eff:0.5% logz=-441.16+/-0.18 dlogz:511.932>0.1]
3it [01:34, 21.11s/it, bound:0 nc:  5 ncall:4.1e+02 eff:0.7% logz=-410.66+/-0.18 dlogz:507.208>0.1]
5it [01:34,  9.20s/it, bound:0 nc:  1 ncall:4.2e+02 eff:1.2% logz=-399.47+/-0.18 dlogz:472.388>0.1]
7it [01:34,  5.11s/it, bound:0 nc:  1 ncall:4.2e+02 eff:1.7% logz=-375.04+/-0.18 dlogz:449.923>0.1]
9it [01:34,  3.17s/it, bound:0 nc:  1 ncall:4.3e+02 eff:2.1% logz=-346.71+/-0.18 dlogz:434.485>0.1]
11it [01:34,  2.06s/it, bound:0 nc:  1 ncall:4.4e+02 eff:2.5% logz=-310.18+/-0.18 dlogz:402.070>0.1]
13it [01:34,  1.39s/it, bound:0 nc:  2 ncall:4.4e+02 eff:2.9% logz=-294.56+/-0.18 dlogz:375.086>0.1]
15it [01:35,  1.03it/s, bound:0 nc:  7 ncall:4.5e+02 eff:3.3% logz=-281.47+/-0.17 dlogz:349.383>0.1]
17it [01:35,  1.46it/s, bound:0 nc:  6 ncall:4.6e+02 eff:3.7% logz=-274.56+/-0.18 dlogz:343.228>0.1]
19it [01:35,  1.95it/s, bound:0 nc:  2 ncall:4.7e+02 eff:4.1% logz=-256.13+/-0.18 dlogz:339.287>0.1]
21it [01:35,  2.69it/s, bound:0 nc:  4 ncall:4.7e+02 eff:4.4% logz=-249.02+/-0.17 dlogz:316.148>0.1]
23it [01:35,  3.37it/s, bound:0 nc:  7 ncall:4.8e+02 eff:4.8% logz=-241.67+/-0.18 dlogz:313.714>0.1]
26it [01:36,  4.81it/s, bound:0 nc:  9 ncall:4.9e+02 eff:5.3% logz=-236.01+/-0.18 dlogz:304.690>0.1]
28it [01:36,  6.03it/s, bound:0 nc:  1 ncall:5.0e+02 eff:5.6% logz=-219.79+/-0.18 dlogz:297.702>0.1]
31it [01:36,  8.39it/s, bound:0 nc:  3 ncall:5.0e+02 eff:6.2% logz=-215.16+/-0.17 dlogz:282.640>0.1]
33it [01:36,  9.48it/s, bound:0 nc:  2 ncall:5.1e+02 eff:6.5% logz=-211.80+/-0.16 dlogz:278.878>0.1]
35it [01:36,  9.09it/s, bound:0 nc:  8 ncall:5.2e+02 eff:6.8% logz=-204.47+/-0.18 dlogz:275.252>0.1]
38it [01:36, 12.02it/s, bound:0 nc:  1 ncall:5.2e+02 eff:7.3% logz=-198.03+/-0.18 dlogz:266.714>0.1]
41it [01:36, 14.93it/s, bound:0 nc:  5 ncall:5.3e+02 eff:7.7% logz=-188.34+/-0.18 dlogz:259.878>0.1]
44it [01:37, 13.82it/s, bound:0 nc:  5 ncall:5.4e+02 eff:8.1% logz=-185.17+/-0.16 dlogz:253.020>0.1]
46it [01:37, 11.84it/s, bound:0 nc:  1 ncall:5.5e+02 eff:8.4% logz=-181.63+/-0.17 dlogz:250.687>0.1]
48it [01:37, 12.61it/s, bound:0 nc:  2 ncall:5.5e+02 eff:8.7% logz=-178.71+/-0.17 dlogz:247.445>0.1]
50it [01:37, 12.84it/s, bound:0 nc:  1 ncall:5.6e+02 eff:9.0% logz=-176.35+/-0.17 dlogz:244.477>0.1]
52it [01:37, 13.48it/s, bound:0 nc:  2 ncall:5.6e+02 eff:9.3% logz=-174.90+/-0.16 dlogz:242.366>0.1]
54it [01:38, 14.07it/s, bound:0 nc:  4 ncall:5.7e+02 eff:9.5% logz=-172.23+/-0.16 dlogz:240.048>0.1]
56it [01:38, 15.18it/s, bound:0 nc:  2 ncall:5.7e+02 eff:9.8% logz=-171.28+/-0.15 dlogz:238.535>0.1]
