
0it [00:00, ?it/s]
1it [00:13, 13.27s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-9225.20+/-0.18 dlogz:inf>0.1]
11it [00:13,  1.14it/s, bound:0 nc:  1 ncall:4.1e+02 eff:2.7% logz=-2683.44+/-0.18 dlogz:2840.282>0.1]
21it [00:13,  2.60it/s, bound:0 nc:  2 ncall:4.2e+02 eff:5.0% logz=-1363.66+/-0.18 dlogz:1575.340>0.1]
30it [00:13,  4.40it/s, bound:0 nc:  1 ncall:4.3e+02 eff:7.0% logz=-883.53+/-0.18 dlogz:959.447>0.1]  
39it [00:13,  6.83it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.8% logz=-591.13+/-0.18 dlogz:664.287>0.1]
49it [00:13, 10.42it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.9% logz=-426.39+/-0.17 dlogz:482.778>0.1]
57it [00:14, 13.98it/s, bound:0 nc:  2 ncall:4.6e+02 eff:12.4% logz=-320.92+/-0.17 dlogz:377.730>0.1]
66it [00:14, 19.05it/s, bound:0 nc:  1 ncall:4.7e+02 eff:14.0% logz=-242.71+/-0.17 dlogz:299.195>0.1]
75it [00:14, 25.08it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.6% logz=-209.40+/-0.18 dlogz:266.965>0.1]
84it [00:14, 31.23it/s, bound:0 nc:  1 ncall:4.9e+02 eff:17.1% logz=-190.55+/-0.18 dlogz:249.859>0.1]
92it [00:14, 36.30it/s, bound:0 nc:  1 ncall:5.0e+02 eff:18.3% logz=-160.40+/-0.17 dlogz:217.239>0.1]
101it [00:14, 42.73it/s, bound:0 nc:  1 ncall:5.1e+02 eff:19.8% logz=-131.17+/-0.17 dlogz:187.197>0.1]
109it [00:14, 47.60it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.9% logz=-121.77+/-0.16 dlogz:177.860>0.1]
117it [00:14, 52.04it/s, bound:0 nc:  3 ncall:5.3e+02 eff:22.0% logz=-110.39+/-0.17 dlogz:166.518>0.1]
126it [00:14, 57.43it/s, bound:0 nc:  2 ncall:5.4e+02 eff:23.2% logz=-104.27+/-0.16 dlogz:160.048>0.1]
134it [00:15, 59.98it/s, bound:0 nc:  1 ncall:5.5e+02 eff:24.3% logz=-94.98+/-0.16 dlogz:150.652>0.1] 
142it [00:15, 61.86it/s, bound:0 nc:  1 ncall:5.6e+02 eff:25.3% logz=-84.24+/-0.16 dlogz:140.013>0.1]
151it [00:15, 65.34it/s, bound:0 nc:  1 ncall:5.7e+02 eff:26.4% logz=-76.88+/-0.17 dlogz:132.915>0.1]
159it [00:15, 64.66it/s, bound:0 nc:  1 ncall:5.8e+02 eff:27.2% logz=-72.97+/-0.15 dlogz:128.358>0.1]
166it [00:15, 56.50it/s, bound:0 nc:  1 ncall:6.0e+02 eff:27.9% logz=-68.32+/-0.16 dlogz:123.999>0.1]
173it [00:15, 56.93it/s, bound:0 nc:  1 ncall:6.1e+02 eff:28.4% logz=-64.36+/-0.17 dlogz:120.442>0.1]
179it [00:15, 56.01it/s, bound:0 nc:  1 ncall:6.2e+02 eff:28.9% logz=-60.44+/-0.16 dlogz:115.929>0.1]
185it [00:16, 48.44it/s, bound:0 nc:  2 ncall:6.3e+02 eff:29.3% logz=-55.05+/-0.16 dlogz:110.555>0.1]
