mu1 sigma1 mu2 sigma2 alpha mup
1.3827412769203178 0.10599318705297008 2.0988069175854878 1.4228759234297232 0.8034716030975444 2.7137843704421636
1.315851774385644 0.4112170625275363 1.3271287395773324 0.053369772649517665 0.6374382658878717 2.0594493857735205
1.3757658110778361 0.10666056062857379 2.217183564370857 1.0111308616489145 0.5071783495510118 2.2642400310141597
1.3638065511770345 0.08156180515029793 2.086449103262505 0.5531361684730787 0.5804431206311281 2.343292101117098
1.274355253507893 0.08705300765217991 1.9012916362059964 0.12470401055972812 0.6977800190867532 2.427280341851117
1.3512160836522407 0.09838140965316874 1.969161987179144 1.012204434617532 0.6663273418476092 2.613869294978052
1.376538681332127 0.10410285034963743 1.570987642970414 1.818327937684036 0.5644286282516938 2.2469182988362904
1.3589223903453318 0.13665372723490762 2.020286425891786 0.9390158853660335 0.6122716703673664 2.0524418673549962
1.3566001368472185 0.10700456846598756 1.7413181312393138 1.5315991868056535 0.5437266242397405 2.3387011185721582
1.2776665429637863 0.10283946588342005 1.862959084344698 0.876368406808583 0.773962785553658 2.3543641963302986
1.2547349652826536 1.7921814839512114 1.3042166344075046 0.04963060479502446 0.21666981138310115 2.394720106141506
1.3488528752426172 0.08129631589841288 1.4603164116832748 0.2909456013865793 0.36130074408202834 2.403219036091781
1.3318179703679043 0.11239928133633989 1.405688377462453 0.8439945388397582 0.8244184788441429 2.6394760175343577
1.297619727162688 0.04344809019553377 1.7647435413935497 1.489486613754846 0.6274747191621116 2.5011805574565154
1.3452921248264667 0.04349498682333775 1.780772644684655 0.47879407831189946 0.6422014169777 2.2330397250730147
1.293284693397388 0.12131966875779361 1.4630815845084864 0.5825490096158593 0.5614895587982136 2.318048556749466
1.3102791219112981 0.1156212456131985 1.5797279155856616 1.966895104859385 0.802757330506882 2.427705937384073
1.3629208866203097 0.06496618629260241 1.778105614238937 0.5696263162926797 0.5833403235963054 2.085365825769477
1.3310403856952144 0.07117911259634453 1.890194984685167 1.5240808743871197 0.8440589427826445 2.1268604800095128
1.275415570896195 0.05087256756790579 1.8578802840781035 0.43863121754326145 0.7942125319886186 2.3943933573431897
1.288763193077975 0.11693162926337085 1.9707864831823008 1.7017450904327467 0.6797905589404137 2.300694351086939
1.3344960508657924 0.040315218466582314 2.0554833283439256 1.308529664891641 0.631292411055645 2.238125660177095
1.0020739024077745 1.691999695168564 1.3267937766163698 0.12036820154563285 0.3957851671615594 2.11715756458587
1.252359319023253 0.05859320938407079 1.521915722268869 0.21335173439573674 0.49157353824060485 2.391200483847846
1.365229696433115 0.10757067283792847 1.4720099555286859 1.5364817895606726 0.850346460652718 2.2728353326750583
1.343535294379195 0.10927152172680908 1.5460942313858703 1.1164248441427487 0.8183687851803939 2.5502377162690286
