turn_on_pow,34.12995047333049
turn_on_pow_fix,33.843328631114666
turn_on_pow_G,32.432750692885755
pow,35.12664485902751
2G,33.09406569142635
turn_on_pow_G_fixed_max,30.32277569320357
G,29.57490276352314
2G_fixed_max,31.119997990550328
sst,30.449488724506956
G_fixed_max,29.362782616960995
2G_fixed_min,30.98389298750142
2G_fixed_max_min,29.56376768285417
logu,28.884762763187663
3G_fixed_max_min,29.17489371180371
lognorm,26.68737351819286
gamma,25.97213313515388
U,25.392150666538523
G_fixed_max_min,23.523047634420145
