mu1 sigma1 mu2 sigma2 alpha mup
0.9437534452126268 0.6430307304233783 2.157728681162755 0.667281141063702 0.999003637743267 2.2573885454772107
1.1516949270605463 0.343641098128635 1.2032265625953908 1.9996123397665873 0.6193357576157332 2.2068087456199916
1.1514292206684773 0.4166413005698956 1.2079492184015383 0.8816728631118363 0.6047676870227185 2.158888883842505
1.2708529446004357 0.42276293543667015 1.94006730650599 1.0128341579058286 0.45449498039463665 2.024380193782469
1.4881891607638464 0.33248578425256253 1.5920002069087609 0.46030116450279296 0.689468516432838 1.9689939572343995
1.2545330573430116 0.5464471678768821 1.469540192330677 0.136156624545023 0.8385570048697778 1.9935011543366516
1.2292022281623889 0.34398188962335896 1.3211600161896593 1.3406064889246787 0.7990029477745684 2.222895040020884
1.2399604402410465 0.0930854294020748 2.155906486913271 0.9061648925977863 0.6613129061991254 2.8352696299852216
1.3580874664202742 0.06062069032749113 1.3662101596051575 0.9113159667318603 0.6849702908540783 2.051083139879286
1.2860567693099973 0.06316401445293038 2.398630960779296 0.8193284468026946 0.736609087373932 2.7767472071618746
1.2354058381117947 0.28640609968883624 1.7850548966808923 1.3469246193157949 0.7272816045219821 2.1750237897962292
1.3947051686150869 0.26587398339795953 1.4167866995665495 0.10142973199624122 0.9134557506044683 2.049970229083294
1.2888181660007003 0.03931154458953213 1.5511544262352852 1.7130983470611667 0.6010215307288926 2.730683962774819
1.3239003102185456 0.12449496918540558 1.7257153393924658 1.222357410541627 0.5054937267303382 2.5223156301031753
1.3185216357435434 0.06491635814786752 1.8697265059228965 1.7805847842539706 0.7389454818818472 2.5332226418619754
1.2856278218274286 0.38899624113224773 1.3069259466340044 0.18425373308951282 0.549174594812289 2.3574331294844253
1.389135821117287 0.18332538387661276 1.9133810072833426 0.7540580526007392 0.8155332500418485 2.3744199275399374
1.2359696807084593 0.03251874422298043 1.805387342211539 1.230288693111237 0.20178999219420726 1.8966244228341629
1.2141192819104392 0.16304436222844304 1.3930610202563611 0.32952464853815205 0.44367791902821657 2.23323166754067
1.308391501129642 0.06424779905037073 1.3550576098890508 1.365709915082457 0.7833367556842179 2.466302958531977
1.3007234250725057 0.09303790521994654 1.3070898946078628 1.3957811360176546 0.27031392963915807 2.230429862924047
0.9572045168905743 1.8153288088775243 1.2877280653352088 0.21329582075517894 0.3389823173221702 2.0389276979704674
1.287426475414941 0.018660842891570273 1.6316406249289006 0.8423615051560304 0.6337180148631864 2.5035438970640786
1.2343936293195754 0.04257133390858211 1.2741383361775935 1.8018660176649914 0.7605701840378133 2.241934244599836
1.2701623900834262 0.13892809413988294 1.476521557875715 0.5052445558046706 0.7816058906971912 2.8233346875232814
1.1613214476742615 0.07950075459047226 1.5639908840954724 0.2600704760200505 0.3812437794645327 2.1810320221229325
1.3208783372353041 0.11093398633102733 1.789741800653351 1.9629259185297727 0.821883135563625 2.457193256769339
1.214394585475071 1.6507238130633706 1.289354508107814 0.08966830002486521 0.7680179123197732 2.120779736216019
1.3306773358181185 0.1409621534529784 1.4659947183138171 1.134116826145636 0.5814577753700669 2.428509959254807
1.2088790080826053 0.04986119373452126 1.5319065335106554 1.6037216694528993 0.21013905437938202 2.0502535284093852
1.3739030099624727 0.17506191342872757 1.8752907593574073 0.45703661246979355 0.8697709195014042 2.2220489463764994
1.3530761977795414 0.10328809468217624 2.0525436728312734 1.6469685227324673 0.3598308219138917 2.122505514559187
1.2935989061408966 0.12428592760341407 1.3576913010790714 1.4789564278985505 0.5708122497919226 2.4884915532610834
1.0289476516339329 1.485576513182996 1.3415102422895202 0.1848966898882206 0.23152177859577214 2.1339286695291526
1.3507589061520444 0.18821953740498426 2.169990572785629 1.5328412953181345 0.8004199027111527 2.2350674298264503
1.304715598671749 0.17540759134310305 1.6630547525873218 1.0794774740574826 0.6082590379153664 1.9653209674979233
1.3190419145866241 0.03034191643037075 1.7863987619174546 1.4537540294652809 0.3542611525643001 2.0524963958533973
1.2073126931719227 0.07798784825923617 1.369198965338544 1.0114658290942973 0.3637784487719194 2.2089254665844296
1.3576559886984305 0.12834353030063225 1.9592730591120664 1.4937279211405585 0.3613638760459505 2.0080701291033494
1.301122323997353 0.09868963005576581 1.8362892387232144 1.4730265281753563 0.8247005628809614 2.431026473834362
1.374435980107265 0.130888401708367 1.4796480527627465 1.537229655730768 0.5691621493195032 2.192638658424144
1.2516991935802373 0.14008642892757583 1.959714095502763 1.2127601143923203 0.7185470746509038 2.3204076483437635
1.2581069855011455 0.09176313600623687 1.690675009817566 1.2595084627751385 0.7414285974788969 2.4730933824563017
1.1671517393228252 1.0970209096458023 1.2783543553091765 0.07107840274009077 0.22983564009932428 2.465951849379595
1.317221861812392 0.12580104568918546 1.8064367542060453 0.25569407605530686 0.9236775879591097 2.352144877628416
1.2838313639085557 0.10700082887443636 1.7813482161728382 1.4700601062078351 0.6488107169216178 2.55241205159603
