mu1 sigma1 mu2 sigma2 alpha
1.4992368809629633 0.3653478948799156 1.5370768134590795 0.6190766505104808 0.9929372192324042
1.2300120090419586 0.04550774227595099 1.4004500900954464 0.4968656816091593 0.29499671248392195
1.3442384136083245 0.08012964929047844 1.7623458670645593 1.1975732160776233 0.4220278254055284
1.3553339353500542 0.2315645022608736 1.7471427162529969 0.4656210865973572 0.8665732285387038
1.323590419016866 0.15291297014644828 1.4849911406251461 1.3341180687443988 0.8417359424102605
1.3074992453510885 0.11317557621716857 2.678850294324295 1.9750238450921374 0.7472305063726147
1.40750485549778 0.10627659871412835 2.0379281908698905 1.5154753461725927 0.8410018531030715
1.4133433547799723 0.12378516190648711 1.4574998167410445 0.9527529892844019 0.6154543854907586
1.3264436637337012 0.6649623629555544 1.345506828697157 0.17898046328104003 0.22400098270979896
1.229031436388473 0.0819793446159898 1.4921763852135579 0.3083612961939831 0.5462524152272128
1.3287478165033046 0.1364731524088505 2.3843903459327684 0.7633748886558276 0.823894277861223
1.2163594974701128 0.09612067725061639 1.5046997454717495 0.29114911682194416 0.2640572041345863
1.3394798759135957 0.19495935723384458 2.101257586208195 0.2419228814233247 0.7608703895580731
1.2854201596005912 0.04834321547612922 1.7009128978446064 0.8316864100246797 0.7328772463243783
1.3714813404087813 0.14212081209183977 2.387154806878623 0.5763618908260297 0.7840191914280694
1.2698628561130059 0.04669454904272022 1.4992202964402201 0.37874081932653997 0.7609983990011165
1.238788577708943 0.116807085628896 1.5243615487453002 0.317028309866391 0.24239612658214638
1.398665792597905 0.14951902321307117 1.7636107743701386 0.9269043423612258 0.730475740339015
1.1660039937271025 0.5976895571545054 1.2770576188763354 0.09277664985847299 0.5126914639936891
1.2682059562112107 0.12609569050423383 1.732143492676326 0.5127207917416571 0.6050478213781191
1.3465830645690544 0.2092962104471707 1.9736371238735981 0.33428327417645437 0.7982217166263853
1.3045861262554204 0.5333878261457438 1.3812561530716323 0.14805706780317204 0.2024942088345842
0.9854818766265245 0.6695622830713452 1.375086025978872 0.08986745652607205 0.5251289593894722
1.344446995573822 0.2204287857727679 2.0748700467453998 0.22998478214963175 0.8603473890134573
0.9270835664883471 1.2456368169801786 1.3973996200731291 0.12693414032187486 0.3127459034352357
1.2978555366949636 1.3682103779851786 1.357571153389742 0.14804330972641055 0.21038207217248361
1.3955898182162665 0.12410068998889744 1.990030988920298 1.0461235077148567 0.7762958782632222
1.3732406171425513 0.0881263873392471 1.3767512183604074 1.411344372540382 0.6949248609744766
1.3623509595143735 0.13948021074809608 2.29258342033795 0.9091106546102283 0.8062309317534403
1.2007437721695498 0.556610648749417 1.3579174266693057 0.14008703617139925 0.4170478307432406
1.352265310156407 0.09728583198215608 1.7758891597687065 0.7530293871274402 0.5445850830535302
1.3963146511750824 0.14366578250445702 1.5030699366392408 0.9186557500313064 0.7566087796173132
1.2013877894423195 1.771959967808428 1.310034048534424 0.03171041237316578 0.2837020953494943
1.3467175286007773 0.10024023510692126 1.3606497642467443 0.8116404609306408 0.48401533967826876
1.3953374440062736 0.16293535243437518 1.5583296483992544 0.44805847128972254 0.8246997680234854
1.392755288472073 0.16026678243528295 1.4680701675622956 0.6182990907219363 0.6798275730395051
1.262793717909805 0.12577605103131972 1.5841923211514226 0.3459718136183031 0.33734622125778724
1.3126070690682539 0.1105653990593684 2.009524556787636 0.47763826813783633 0.6086926625549868
1.372128865906687 0.19147137648492826 2.051832767418012 0.3393329685109066 0.879871535821637
0.9670267938506172 1.508554437654363 1.3551078766034723 0.08359909012548143 0.3480954764698203
1.4015992812445868 0.12275854621958689 1.5094771053706322 0.822333891048221 0.7677687053603302
1.3262202462148749 0.03314094564303918 1.6789127646492183 1.026534560372775 0.72302577765663
1.3553414720883157 0.13628703229226766 1.8973301079974432 0.7640911247486618 0.8545518024614742
1.293440064372098 0.1729736662906469 2.036137591625503 0.0775856679419515 0.8346810534511953
1.3705997893448152 0.10991954797455725 1.6878956474256066 1.3676416215906406 0.7895271869421592
1.3265018624277436 0.07964272135673259 1.4192728684953675 0.8339479686272857 0.4768737999735189
1.2707734918040205 0.14985143401388287 1.9223104379906002 0.23457234496768975 0.7941359128720061
1.3971269784294873 0.12523412632205272 2.1452225082434238 0.3163163399963443 0.7405000803929442
1.3337785890475495 0.07731600815148515 1.5233603886640432 1.1767372056138743 0.7528912935587917
1.2816491033700657 0.04659048112064695 1.2961694520254876 0.8665661798717401 0.5021343707234848
1.3104300450313047 0.029375086935398163 1.482881713965155 1.0531921520167415 0.4235564177885562
1.3754028651062562 0.1420235995011462 1.4643211569481793 0.4884389174476113 0.8171183960799185
1.3501109317210702 0.11439183213842148 1.8064770222948714 1.1361826396861736 0.8007543803856659
1.1052851367260539 0.7403373918672608 1.3126996264851238 0.09606389058961516 0.47942871417386673
1.3254193742721703 0.08816912455317662 1.985850815914826 0.6879849691199013 0.6260821061529237
1.3113065261631895 0.08541929944807357 1.541919157498453 0.5532474386915818 0.37089210299992165
1.2956935759165678 0.03438447715555886 1.311793915261395 1.136994089494172 0.5269375382717822
1.307115861769431 0.013372382984237244 1.7986482358597646 0.5094978671867789 0.435873398845971
1.3055052950025368 0.026350525940010833 1.3446196074605699 1.4925652612387144 0.5993951933905998
1.3921184571732519 0.10972543424282663 1.4041787142663393 0.40280780474972283 0.4860485489980738
1.2691943953513447 0.13236298963627094 1.6574489789409002 0.2955731784695239 0.43241985431507524
1.3005294078257772 0.0330485875155642 1.4323969845192823 0.2403647121306006 0.5721966350186621
1.3495349367566591 0.17832816917847422 2.026596877432934 0.30850137258663124 0.7831693759168903
1.0065242969345063 0.7229708830028303 1.3526809384542546 0.09408508824270376 0.4094172903721616
1.3459199871283671 0.1726387749651298 1.8197300427120506 0.1960996368830142 0.6742529417700391
1.4013328994451073 0.10478704407388342 1.4430151082801799 0.44188817485823834 0.6558308525346614
1.3125007410698073 0.13428858992951842 1.7796760791638562 0.5695612281776454 0.748306238478599
1.3606310496027079 0.0633115456648558 1.362402229738518 0.6692181609909368 0.48738512804232237
1.3837536794188319 0.18006373031644907 1.8584134323633807 0.2565564884885452 0.7220817501342129
1.376048718701818 0.10947727014780287 1.3933384868132077 0.38083710039784635 0.6295510751193443
1.305662731581759 0.028600353075178032 1.5443371750192225 1.0291693947629093 0.4796818024963739
1.2965255670500433 0.08415478696946434 1.6733457995393728 0.699491469034196 0.6075301751923383
1.2886477479836382 0.16465412209932592 1.8141724326540896 0.2587576080290584 0.6897151364582987
1.3253952053064886 0.12769683726980752 1.7635027894849782 0.5525873533905169 0.6028420436688753
1.3621393875178285 0.07596680570114553 1.8312584981151843 0.11395488582851687 0.6557000958080448
1.3749882552234471 0.16026330674209113 1.5423106985012756 0.41579295256198906 0.7145338964576821
1.091360830229268 0.9581057762576758 1.3393308687634404 0.05721768508309056 0.3069421723484416
1.3069381241873381 0.09424110648889614 1.3503237037118543 0.7269442428234344 0.5775378662843912
1.3866319819788662 0.14772668324441082 1.7249895954975905 0.5713666509289658 0.7689730173881786
1.3122352257845094 0.11294478934212676 1.6300208287957973 0.6690376362116736 0.7004876226001399
1.3172203534362859 0.1093389036956176 1.5863861260541727 0.628530413305296 0.7799629918995027
1.360563609917135 0.14865229377968064 1.5108982996714908 0.3942781422846879 0.5224716774983496
1.2973952272985825 0.0930407717397537 1.935502861396372 0.5153693133441919 0.7093300381067731
0.935500049352143 1.246562694286989 1.320656421777925 0.051955363338268314 0.3880486168983039
1.381674160390021 0.15649077732935351 1.8702584663716133 0.46754793852920623 0.7946060026233999
1.2649358903527077 0.5942846470069512 1.3290854394264906 0.030621949568452975 0.27341798742736073
1.3337349657108928 0.12068149966690443 1.6455512752434287 0.6660136173696978 0.778790938557134
1.3595614333823025 0.027024251093395804 1.57916803515374 0.3020494050721533 0.35901292895672837
1.3948728934621828 0.1646901128617865 2.0322569826969117 0.11588567055888696 0.7316370433613275
1.3304475705024572 0.06347875219064661 1.5476277815617767 0.8364298629490445 0.5611806916597902
1.3523614031049151 0.1262388290547895 1.9999214897524622 0.09332673071389605 0.6599270215732249
1.3413784479935882 0.11920584335141148 1.3505608011588794 0.4934425739069642 0.6500629923502209
1.3714109841001934 0.053972676486794526 1.7414822427497143 0.3892531379578023 0.6554906087309926
1.2578621206934337 0.07712459352801053 1.6768454650167133 0.23802148772434956 0.7466499676918474
1.2843390984382705 0.039687933406631924 1.7894884244958134 0.4083486263549485 0.37258566894951733
0.9620398823629694 0.8328980639254613 1.3306418495994068 0.059692796872677874 0.49211886781542846
1.3110286130216748 0.05790756352998293 1.8837487753611835 0.7118262203006995 0.6232704466698097
1.3766535486657694 0.07164573489385889 1.5839791466793987 0.52178961887596 0.6161551392465858
1.3760771485011285 0.12225484594981895 1.8838165071914637 0.6345159386162608 0.7900090362788742
1.3360727766704668 0.09502088445544321 1.7671016254277803 0.7601088798075577 0.7416637619514912
1.322543822000526 0.09712695156783104 1.5392392922605493 0.3230625935282927 0.7906363783084471
0.9863087036400973 1.194585937351946 1.3225396240505771 0.03219863897184288 0.49616742898962984
1.1084196081375892 0.8774266374133816 1.3119341212224396 0.023557025606042455 0.27941908371795393
1.3271360239160028 0.01767594177655149 1.5443449576617416 0.9808172323430135 0.6453628893823599
1.3218595954232526 0.04293562983801662 1.511317993934806 0.7480530083098273 0.42750284585342896
1.365642913607522 0.11515863734719266 1.6209136468472978 0.7206243625561326 0.7673148518354544
1.3005501725044222 0.068804384507073 1.4148526480965071 0.29168488014385685 0.4978103034414188
1.179691733751112 0.9953072256029863 1.3157086004411198 0.04704771508183595 0.3344413081088484
1.3125224962051916 0.05531586026726963 1.6729357080934957 0.6208908295888697 0.7744239093267911
1.3386500433960022 0.09540580751309674 2.026963411459358 0.5274399628647781 0.6933797157088499
1.4083331684421734 0.128209318891637 1.9490270746710552 0.347162181152514 0.7858813239312583
1.2936787451518308 0.06830802554356337 1.7004829486164172 0.22332767287742533 0.8427717997383741
1.2618446101421512 0.09485235504722812 1.5938389438447578 0.3581101210335709 0.6477155458902005
1.2999446737958835 0.02190656491312092 1.705181554381182 0.6448727842427211 0.4907829521088237
1.3533513898095704 0.12371076457948804 1.9656534902541214 0.2639836699582362 0.930275579542278
1.389654621894583 0.1343275681608404 1.6099108520768821 0.3155925786051759 0.7390685386040484
1.2018768042386294 0.7050810650881988 1.3281850354374685 0.01241387777128344 0.7408501367419933
1.340668593714056 0.11321187839540406 1.5036731897615687 0.652703923758886 0.6616426200997259
1.367074883794165 0.13160415792092894 1.7320552764708514 0.4313449684088094 0.5892156963674932
1.345960991361602 0.11063416673402113 1.7218307540444728 0.6665127419160269 0.7668190017275771
1.2851014898641124 0.058760936228861034 1.4375415608439788 0.6003015439634752 0.4508773752979345
1.3559314487566996 0.1150790307687317 2.0867352939522883 0.4906543650922368 0.796257938075665
1.3678678298434386 0.06353835039012153 1.5921213777398822 0.4099817807144884 0.4340478399483807
1.1969617036527551 0.584749212686734 1.330162306721005 0.013618003231517467 0.7805927235595818
1.2942927901904233 0.058575291397109645 1.6470998718242815 0.6712378353626705 0.6231983944087935
1.0704420980181024 0.8911837548190978 1.3130541030527785 0.04205439137000315 0.5282581814148205
1.3125007612037825 0.11608880927427141 1.6155988311136262 0.4970550913982935 0.5722263010066526
1.3549625538540515 0.06719259728350774 1.4024161694964998 0.4979422469114034 0.4290096658260482
1.3192363796287703 0.04182513616424223 1.9467533048943775 0.2111984023251617 0.5726631711227889
1.3491002091619462 0.10100377200807446 1.9584464407770557 0.5778433804055422 0.7505787419130361
1.2936825036323905 0.05746393524662007 1.821710098628743 0.5854391120408673 0.6475589078970719
1.2932732239690965 0.05855597114164494 1.676088079071055 0.2805206775575359 0.27602542696918325
1.3229831995827712 0.030589154607251624 1.3292373213000923 0.9582680875170612 0.6385987648150308
1.3338047599309082 0.0468239944311522 1.553384137000856 0.2903378685679747 0.2023257850866335
1.2838657369399524 0.06229762710695195 1.5629738351084597 0.3958208477438555 0.2850258701247298
1.3791205793449821 0.12614983903772478 1.9111655413765596 0.47318760719501807 0.8294701521315959
1.3631084753838336 0.11007145222436518 1.5389504050428824 0.3391977996969895 0.7603458782131327
1.2721020042586066 0.05953407614320718 1.615173834719036 0.29433228403399203 0.26440889735285017
1.1834038895298717 0.6235249505266297 1.3286417846842347 0.06667259971146469 0.4506660814711516
1.2964804822981297 0.08624905295513292 1.660310226909231 0.5611554227101923 0.6470212959783158
