
0it [00:00, ?it/s]
1it [00:04,  4.86s/it, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-10777.55+/-0.18 dlogz:inf>0.1]
25it [00:04,  7.02it/s, bound:0 nc:  7 ncall:4.6e+02 eff:5.4% logz=-655.10+/-0.18 dlogz:719.944>0.1]
56it [00:05, 18.71it/s, bound:0 nc:  2 ncall:5.2e+02 eff:10.7% logz=-112.69+/-0.18 dlogz:187.841>0.1]
75it [00:05, 27.68it/s, bound:0 nc: 13 ncall:5.8e+02 eff:13.0% logz=-53.87+/-0.16 dlogz:114.182>0.1] 
94it [00:05, 36.77it/s, bound:0 nc:  3 ncall:6.4e+02 eff:14.7% logz=-36.80+/-0.16 dlogz:96.548>0.1] 
110it [00:05, 46.89it/s, bound:0 nc:  3 ncall:6.8e+02 eff:16.2% logz=-30.87+/-0.15 dlogz:90.413>0.1]
126it [00:05, 51.44it/s, bound:0 nc:  4 ncall:7.5e+02 eff:16.8% logz=-24.65+/-0.14 dlogz:84.073>0.1]
139it [00:05, 58.82it/s, bound:0 nc:  5 ncall:7.9e+02 eff:17.5% logz=-21.88+/-0.14 dlogz:81.212>0.1]
154it [00:05, 68.18it/s, bound:0 nc:  6 ncall:8.5e+02 eff:18.2% logz=-19.30+/-0.13 dlogz:78.558>0.1]
166it [00:06, 71.53it/s, bound:0 nc:  7 ncall:9.0e+02 eff:18.4% logz=-17.40+/-0.13 dlogz:76.678>0.1]
183it [00:06, 88.93it/s, bound:0 nc:  2 ncall:9.6e+02 eff:19.1% logz=-14.19+/-0.14 dlogz:73.383>0.1]
196it [00:06, 75.99it/s, bound:0 nc:  1 ncall:1.0e+03 eff:19.5% logz=-12.57+/-0.13 dlogz:71.694>0.1]
213it [00:06, 86.93it/s, bound:0 nc:  6 ncall:1.1e+03 eff:20.0% logz=-10.95+/-0.13 dlogz:70.020>0.1]
232it [00:06, 102.52it/s, bound:0 nc: 21 ncall:1.1e+03 eff:20.5% logz=-9.40+/-0.12 dlogz:68.410>0.1]
245it [00:06, 105.15it/s, bound:0 nc:  4 ncall:1.2e+03 eff:20.8% logz=-8.37+/-0.12 dlogz:67.351>0.1]
257it [00:07, 78.34it/s, bound:0 nc:  1 ncall:1.2e+03 eff:20.7% logz=-7.52+/-0.12 dlogz:66.447>0.1] 
270it [00:07, 86.38it/s, bound:0 nc:  5 ncall:1.3e+03 eff:21.0% logz=-6.84+/-0.12 dlogz:65.728>0.1]
284it [00:07, 90.65it/s, bound:0 nc: 11 ncall:1.3e+03 eff:21.1% logz=-6.19+/-0.12 dlogz:65.029>0.1]
295it [00:07, 87.14it/s, bound:0 nc: 15 ncall:1.4e+03 eff:21.0% logz=-5.70+/-0.12 dlogz:64.518>0.1]
305it [00:07, 78.94it/s, bound:0 nc:  6 ncall:1.5e+03 eff:20.7% logz=-5.25+/-0.12 dlogz:64.039>0.1]
319it [00:07, 83.75it/s, bound:0 nc:  9 ncall:1.5e+03 eff:20.9% logz=-4.66+/-0.11 dlogz:63.417>0.1]
331it [00:07, 89.80it/s, bound:0 nc:  3 ncall:1.6e+03 eff:21.2% logz=-4.16+/-0.11 dlogz:62.880>0.1]
342it [00:08, 90.95it/s, bound:0 nc:  4 ncall:1.6e+03 eff:21.3% logz=-3.66+/-0.12 dlogz:62.362>0.1]
352it [00:08, 78.14it/s, bound:0 nc:  3 ncall:1.7e+03 eff:21.0% logz=-3.22+/-0.12 dlogz:61.895>0.1]
361it [00:08, 77.77it/s, bound:0 nc: 12 ncall:1.7e+03 eff:21.0% logz=-2.79+/-0.12 dlogz:61.450>0.1]
370it [00:08, 78.30it/s, bound:0 nc: 12 ncall:1.8e+03 eff:21.0% logz=-2.39+/-0.12 dlogz:61.745>0.1]
379it [00:08, 72.15it/s, bound:0 nc: 15 ncall:1.8e+03 eff:20.8% logz=-2.03+/-0.12 dlogz:61.356>0.1]
387it [00:08, 70.19it/s, bound:0 nc:  1 ncall:1.9e+03 eff:20.9% logz=-1.72+/-0.12 dlogz:61.025>0.1]
395it [00:08, 54.78it/s, bound:0 nc:  1 ncall:1.9e+03 eff:20.5% logz=-1.42+/-0.12 dlogz:60.697>0.1]
402it [00:09, 51.03it/s, bound:0 nc:  6 ncall:2.0e+03 eff:20.5% logz=-1.16+/-0.12 dlogz:60.422>0.1]
408it [00:09, 45.55it/s, bound:0 nc:  2 ncall:2.0e+03 eff:20.3% logz=-0.92+/-0.12 dlogz:60.170>0.1]
413it [00:09, 38.75it/s, bound:0 nc: 10 ncall:2.0e+03 eff:20.2% logz=-0.69+/-0.12 dlogz:59.940>0.1]
418it [00:09, 39.04it/s, bound:0 nc: 12 ncall:2.1e+03 eff:20.2% logz=-0.47+/-0.12 dlogz:59.697>0.1]
423it [00:09, 35.61it/s, bound:0 nc:  1 ncall:2.1e+03 eff:20.0% logz=-0.25+/-0.12 dlogz:59.464>0.1]
427it [00:10, 28.16it/s, bound:0 nc:  9 ncall:2.1e+03 eff:19.9% logz=-0.08+/-0.12 dlogz:59.284>0.1]
431it [00:10, 25.04it/s, bound:0 nc: 11 ncall:2.2e+03 eff:19.8% logz=0.07+/-0.12 dlogz:59.119>0.1] 
434it [00:10, 23.83it/s, bound:0 nc:  2 ncall:2.2e+03 eff:19.7% logz=0.18+/-0.12 dlogz:59.001>0.1]
437it [00:10, 23.86it/s, bound:0 nc:  4 ncall:2.2e+03 eff:19.7% logz=0.29+/-0.12 dlogz:58.884>0.1]
440it [00:10, 21.78it/s, bound:0 nc:  5 ncall:2.2e+03 eff:19.8% logz=0.40+/-0.12 dlogz:58.764>0.1]
443it [00:10, 21.54it/s, bound:0 nc:  2 ncall:2.3e+03 eff:19.6% logz=0.51+/-0.12 dlogz:58.649>0.1]
446it [00:11, 20.35it/s, bound:0 nc:  7 ncall:2.3e+03 eff:19.6% logz=0.61+/-0.12 dlogz:58.538>0.1]
449it [00:11, 18.97it/s, bound:0 nc:  6 ncall:2.3e+03 eff:19.6% logz=0.71+/-0.12 dlogz:58.430>0.1]
451it [00:11, 18.35it/s, bound:0 nc:  4 ncall:2.3e+03 eff:19.6% logz=0.78+/-0.12 dlogz:58.357>0.1]
456it [00:11, 23.47it/s, bound:0 nc:  2 ncall:2.3e+03 eff:19.6% logz=0.94+/-0.12 dlogz:58.183>0.1]
459it [00:11, 24.77it/s, bound:0 nc:  3 ncall:2.3e+03 eff:19.6% logz=1.03+/-0.12 dlogz:58.083>0.1]
468it [00:11, 30.56it/s, bound:0 nc:  3 ncall:2.4e+03 eff:19.6% logz=1.34+/-0.12 dlogz:57.752>0.1]
473it [00:11, 32.55it/s, bound:0 nc: 12 ncall:2.4e+03 eff:19.7% logz=1.52+/-0.12 dlogz:57.564>0.1]
478it [00:12, 32.74it/s, bound:0 nc: 13 ncall:2.4e+03 eff:19.7% logz=1.68+/-0.12 dlogz:57.384>0.1]
482it [00:12, 32.37it/s, bound:0 nc:  1 ncall:2.4e+03 eff:19.7% logz=1.82+/-0.12 dlogz:57.244>0.1]
486it [00:12, 25.53it/s, bound:0 nc:  7 ncall:2.5e+03 eff:19.6% logz=1.94+/-0.12 dlogz:57.105>0.1]
