s_mu s_sigma
0.43592584358254605 0.22582432969646032
0.2513554361944048 0.21535020214093537
0.39615390093754405 0.23263083778447669
0.29081493713758955 0.23315073333566516
0.43072097373338425 0.17617846104746068
0.3362408539856163 0.2348231776876052
0.2351184406249492 0.1620604648105214
0.2953926337816144 0.22157765455235137
0.23999426449354014 0.16145394985001502
0.2514887658400443 0.09077845897869642
0.24401432870091172 0.11534055608380323
0.24103759605551484 0.1528152118770112
0.39229067634452236 0.21086199986911242
0.26212689969393843 0.19411146790016195
0.4150537945297311 0.17770266448782723
0.3054485444561161 0.21832693173223497
0.2532935424413013 0.1804582692815505
0.3616575793740248 0.09582352523881081
0.37666821738281997 0.10684116362452549
0.25753341836898996 0.18252925618818033
0.31458175998150245 0.0701278510106274
0.302720663028567 0.21067276540985394
0.2637608675618082 0.07749238281452508
0.25609089543688845 0.1746254983590055
0.24762946101045213 0.1361093100824631
0.25398980307672775 0.10181882275138172
0.40431208440280275 0.14412517845707587
0.28629391963092726 0.20183394336266133
0.2697040682614784 0.07186355800350017
0.4028054134145253 0.18118618759485489
0.27102697613846916 0.07171786953282441
0.27746770992541375 0.06794717321930849
0.32403618943824725 0.21021647299150328
0.28676512335183735 0.1981389826178166
0.25831367583968406 0.09662590118634647
0.40211335378046803 0.17352633164460418
0.3680633490566939 0.20342546844811268
0.3201175107889294 0.20664473732839733
0.3931377174341685 0.1323634521663459
0.2918307679468355 0.06775485433521278
0.395011550090731 0.18201156718171363
0.38042381180791857 0.1951838269052645
0.33790828666508554 0.2064520590916792
0.25635716604820924 0.11214751898484193
0.2548876995689301 0.14849331947032296
0.28674407581026695 0.1930007359586379
0.38932101033742283 0.1283366990250669
0.3924294478965812 0.13298155366931905
0.3811532961265887 0.19356452004703206
0.313104233109382 0.07461543873050556
0.2648029149278689 0.0897449712800627
0.3315968572871499 0.204176569442988
0.27479001245764145 0.07530903499936391
0.3123910789338868 0.07466781545846063
0.25794276090335644 0.15291662825783292
0.25580815700494397 0.13954101561828228
0.3309476003793916 0.08376544589102705
0.31690902534500526 0.07731928783903223
0.25892702718460786 0.11437305521529512
0.39602852090217994 0.16524358594782465
0.3284209083348572 0.0834463903216705
0.39021826703593276 0.1361111869031249
0.3573774408721631 0.19746259661841198
0.37319658929743266 0.11492028347566935
0.3915759236787839 0.16991646692064963
0.2862151540904449 0.18377489868749086
0.3186045606656041 0.07963351614123323
0.3913932993210869 0.1418833501487618
0.25948916214647627 0.12874923481720765
0.26348995425982463 0.15484964656281133
0.3408660270379305 0.09147528459704347
0.26186707042775687 0.14943479586679864
0.2595818839098 0.1310634888486583
0.2736205688103728 0.08285747023896493
0.3201024097659306 0.19648361421567534
0.3226595091946483 0.08180864678632205
0.2623348023730109 0.1491239927081082
0.38619972973009054 0.17644762652482124
0.3258987490662785 0.19675455220508423
0.3807151630113075 0.12525055075949557
0.34989322503610903 0.19536915226864224
0.27141681150119007 0.08836000858101417
0.3758487595169509 0.12025280901448669
0.3321812746569693 0.19565754866956367
0.3913777348156573 0.1541150497818729
0.34940859024050414 0.1942590411495043
0.3543214687903913 0.1929271037743158
0.3310509501644033 0.08724200320138227
0.35093315308173256 0.19349833431238475
