
0it [00:00, ?it/s]
1it [00:08,  8.87s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-917.85+/-0.18 dlogz:inf>0.1]
11it [00:08,  1.69it/s, bound:0 nc:  5 ncall:4.2e+02 eff:2.6% logz=-193.09+/-0.18 dlogz:256.043>0.1]
31it [00:09,  5.96it/s, bound:0 nc:  1 ncall:4.6e+02 eff:6.7% logz=-82.01+/-0.17 dlogz:143.627>0.1] 
48it [00:09, 10.62it/s, bound:0 nc:  1 ncall:5.0e+02 eff:9.6% logz=-60.38+/-0.15 dlogz:120.958>0.1]
58it [00:09, 13.61it/s, bound:0 nc:  4 ncall:5.2e+02 eff:11.1% logz=-53.92+/-0.15 dlogz:114.537>0.1]
69it [00:09, 17.01it/s, bound:0 nc:  2 ncall:5.4e+02 eff:12.7% logz=-45.78+/-0.15 dlogz:106.238>0.1]
78it [00:10, 20.23it/s, bound:0 nc:  3 ncall:5.6e+02 eff:13.9% logz=-40.84+/-0.15 dlogz:101.500>0.1]
87it [00:10, 23.77it/s, bound:0 nc:  2 ncall:5.8e+02 eff:15.0% logz=-37.49+/-0.15 dlogz:97.980>0.1] 
98it [00:10, 26.96it/s, bound:0 nc:  1 ncall:6.0e+02 eff:16.3% logz=-30.85+/-0.14 dlogz:91.004>0.1]
106it [00:10, 29.74it/s, bound:0 nc:  1 ncall:6.2e+02 eff:17.1% logz=-28.56+/-0.14 dlogz:88.773>0.1]
111it [00:10, 29.80it/s, bound:0 nc:  1 ncall:6.4e+02 eff:17.3% logz=-27.20+/-0.14 dlogz:87.403>0.1]
123it [00:11, 39.46it/s, bound:0 nc:  2 ncall:6.6e+02 eff:18.6% logz=-24.05+/-0.14 dlogz:84.124>0.1]
133it [00:11, 41.16it/s, bound:0 nc:  3 ncall:6.8e+02 eff:19.5% logz=-21.08+/-0.15 dlogz:81.245>0.1]
139it [00:11, 41.40it/s, bound:0 nc:  8 ncall:7.0e+02 eff:19.8% logz=-19.68+/-0.14 dlogz:79.714>0.1]
146it [00:11, 39.32it/s, bound:0 nc:  4 ncall:7.2e+02 eff:20.2% logz=-18.46+/-0.14 dlogz:78.476>0.1]
151it [00:11, 37.65it/s, bound:0 nc:  7 ncall:7.5e+02 eff:20.2% logz=-17.52+/-0.14 dlogz:77.486>0.1]
157it [00:11, 35.48it/s, bound:0 nc:  4 ncall:7.6e+02 eff:20.6% logz=-16.69+/-0.13 dlogz:76.621>0.1]
170it [00:12, 45.31it/s, bound:0 nc:  3 ncall:7.8e+02 eff:21.7% logz=-14.86+/-0.13 dlogz:74.780>0.1]
180it [00:12, 54.29it/s, bound:0 nc:  1 ncall:8.0e+02 eff:22.5% logz=-13.74+/-0.13 dlogz:73.572>0.1]
192it [00:12, 63.65it/s, bound:0 nc:  3 ncall:8.2e+02 eff:23.4% logz=-12.64+/-0.12 dlogz:72.423>0.1]
199it [00:12, 60.43it/s, bound:0 nc:  1 ncall:8.4e+02 eff:23.6% logz=-12.10+/-0.12 dlogz:71.882>0.1]
206it [00:12, 56.24it/s, bound:0 nc:  1 ncall:8.7e+02 eff:23.8% logz=-11.52+/-0.12 dlogz:71.264>0.1]
215it [00:12, 47.96it/s, bound:0 nc:  5 ncall:9.0e+02 eff:23.8% logz=-10.86+/-0.12 dlogz:70.587>0.1]
221it [00:13, 47.22it/s, bound:0 nc:  8 ncall:9.3e+02 eff:23.8% logz=-10.32+/-0.12 dlogz:70.044>0.1]
226it [00:13, 43.99it/s, bound:0 nc:  3 ncall:9.4e+02 eff:24.0% logz=-9.92+/-0.12 dlogz:69.620>0.1] 
232it [00:13, 43.09it/s, bound:0 nc:  4 ncall:9.6e+02 eff:24.1% logz=-9.47+/-0.12 dlogz:69.152>0.1]
240it [00:13, 48.78it/s, bound:0 nc:  6 ncall:9.8e+02 eff:24.4% logz=-8.96+/-0.12 dlogz:68.610>0.1]
246it [00:13, 51.05it/s, bound:0 nc:  8 ncall:1.0e+03 eff:24.5% logz=-8.58+/-0.12 dlogz:68.215>0.1]
252it [00:13, 48.66it/s, bound:0 nc:  1 ncall:1.0e+03 eff:24.6% logz=-8.22+/-0.12 dlogz:67.837>0.1]
258it [00:13, 44.30it/s, bound:0 nc:  2 ncall:1.0e+03 eff:24.6% logz=-7.87+/-0.12 dlogz:67.473>0.1]
