s_mu s_sigma
0.3459161461844907 0.1839075814118944
0.39549438031274686 0.12583294330180533
0.3515446793588861 0.20083532553194977
0.5237943925736347 0.19219886078148232
0.43332091993638455 0.24377603414426277
0.4606587635733627 0.23992423143610428
0.3550393969611707 0.18900547867093456
0.4816001661151689 0.23226672051388736
0.37977388722813027 0.22474391702579452
0.4462174492173113 0.239595308623168
0.3992551978842415 0.2330506564023968
0.39226075903819646 0.23011107820953264
0.44963400371425905 0.12153890956892067
0.5078802715158893 0.20504707971639438
0.43522809821972724 0.12204153717801958
0.5082138361737683 0.1972345455796245
0.3811050918341992 0.21525412902856159
0.5054821018976882 0.1593174886558391
0.5094038178491205 0.1712410506393222
0.4674136452722136 0.22621729963618392
0.47480088564051476 0.13211561986894915
0.48569230685276427 0.21776147839020332
0.44238737284833507 0.12433442896488818
0.37551643615718516 0.15414568814653798
0.49985722057401716 0.15368092841095307
0.3829617867140994 0.21073014042210741
0.43250214497399064 0.22729565176310923
0.40710972125072925 0.13185903765978588
0.36958224817321683 0.17606102115829134
0.46790150588260354 0.22107001514162225
0.4176796727303539 0.22397607534879152
0.44665373277634857 0.12669342333893385
0.3731495179322662 0.19017344263931274
0.43644158538339856 0.22454867399953235
0.3748054709390991 0.19296899021005048
0.42060170273487735 0.22261844432747394
0.4708866303253181 0.21720828144452847
0.46042875754798784 0.2204647073899616
0.3852752108542369 0.20556703277122162
0.433930980512505 0.12761600104822704
0.5025102187242199 0.17747684793409566
0.5023174316078328 0.17702665578566204
0.4883526901775943 0.14683171743793175
0.4029972262085167 0.1365923960183198
0.49636165105564445 0.19472929613203183
0.38340137495184357 0.15266887350401134
0.44921765317585066 0.22088627288974214
0.4737708106216181 0.21349784083638393
0.37576639816859525 0.1682334129393361
0.40573990603859694 0.21554477209337006
0.47534895414496364 0.13786866560032804
0.4999326987337114 0.1834785573989276
0.4946288039063809 0.1951104601207521
0.3922812582197343 0.2074764611734347
0.49719698184029354 0.16137253259838003
0.48554425603628676 0.20425396566272283
0.43519193299736403 0.21976094773381114
0.40290948639345087 0.21245860907927724
0.4304221829423904 0.2192783727794404
0.39336702974745563 0.14460975629492961
0.4159750394203254 0.21660508504310813
0.41258013712600633 0.2156581182987965
0.45925127605327837 0.13219350645597625
0.47166179586832574 0.1373356677763475
0.37957642481427833 0.1642540043090244
0.49778477507816754 0.1810492818101421
0.4627686315181595 0.21436379700762212
0.38276783399106157 0.19402795778989415
0.3802605958674905 0.1634420392331585
0.49769844983166994 0.17042052725616855
0.39719230003688755 0.20742924870106258
0.4477671583485278 0.21722597124946552
0.4888712928507275 0.15168295629604567
0.40553379454041766 0.21154857692425408
0.38221765051488715 0.19148684715297118
0.4407052651583437 0.21717237025255157
0.4644687674141538 0.21257786798697131
0.436250298807188 0.21710050179214702
0.40937869452983444 0.21212279038266074
0.43995844218010133 0.2168049488850103
0.49672951043395325 0.17267665364427853
0.49518620932260227 0.1842358640438841
