mu1 sigma1 mu2 sigma2 alpha mup
1.3317900034185954 0.16291320955613323 1.748211627277903 0.8666158520367512 0.7837802791986117 2.569222918265723
1.2707960927600466 0.1273249987848443 1.6813497632332783 0.10971229260687969 0.9406847657861381 1.894087369361514
0.9132928478020067 1.4519487768847399 1.3508888013526763 0.07190994518937645 0.014589279412490554 2.474495044096217
1.3216543009720767 0.045162747230192174 2.0757635560725114 1.6478343429713576 0.958699865156582 2.2748439445058883
1.275780932396143 0.10057466808161952 2.5455084360851084 0.887223166578815 0.8564995417285477 2.886359003203784
1.3101511690235026 0.03977927678561268 1.5106968651348835 1.6161082722773636 0.6459393714826058 2.7772887456371667
1.2912871885521946 0.11944864005204894 1.6587798883979727 1.7537516625035974 0.7739562737370003 2.690750445872082
1.227782017019956 1.0533981537197235 1.3334709529642341 0.14455947940318106 0.17695734853036735 2.705347205613676
0.9981230917453394 0.7562432608390873 1.278271432948919 0.07341079470783339 0.053524118401297394 2.6028732082089663
1.24584033279902 1.8810087938521047 1.323214692649739 0.08247450810348168 0.012434887349374686 2.8557005746960975
1.2247357804295391 0.2900267992723581 1.370668978901833 0.112999280002976 0.17489905965185323 2.6236541034540055
1.2849417076374257 0.053703341362568574 1.6220850888287301 1.5276597967641221 0.6681760215196828 2.7602391695942092
1.319017625232813 0.1506119949187547 1.354322346154482 1.1679145621780482 0.7726874711465382 2.0461973025736433
1.0715923080508285 1.9342925051564044 1.2744170969994466 0.06804531473218332 0.4464799190257813 2.237210519665398
1.2470038610391274 0.5334363571055531 1.3468947233589028 0.04259452671236942 0.3065280119973418 2.4668131737771755
1.1773599116568776 0.7863780139147656 1.3557542204537665 0.07215116291685693 0.06521536870640157 2.690994116122261
0.982732143759252 1.7447667219271106 1.3578695068599889 0.13422341515783348 0.1508735414834359 2.5705765407956642
1.3246512982896002 0.04899137567817829 2.497793299644046 1.1376821180960144 0.860763011247705 2.700839755898226
1.3022943869936916 0.13558743356128422 2.2988660598053796 1.416027760963993 0.9412760291769553 2.545915634459207
1.3047445647062952 0.11377121683102638 2.195183930052726 1.7697443584731034 0.8255568478414946 2.808778536694514
1.3025576183421135 0.14793841111448597 1.5489475646592616 1.9179653440574795 0.851020759849826 2.0344694538411603
1.3225642159636988 0.08955684641949252 1.5642787477136764 1.7735248003243211 0.633506396801833 1.8876444119699611
1.2854860653542968 0.049052902503497885 1.6663493715682174 1.120239998091866 0.7445487731325552 2.745158966850986
1.097459744360978 1.3792548125946338 1.3568936470041946 0.07584127087238902 0.1858262726814618 2.5438000516623704
1.2917154001331865 0.10198266196771713 2.2167306927542234 1.7530019712455993 0.6986541303503694 2.31255288967649
1.3518963819632437 0.09230602657058354 1.5489670549439332 0.9718569369815299 0.7540750628707301 2.6450172388174567
1.31390485170026 0.053826358840715155 1.7696399508040357 1.733505957532178 0.5393715046581783 2.276806737006357
1.3244237863043238 0.06504800979294491 2.7759695152335127 1.8717812636764268 0.9369032919195517 2.86162505903133
1.160137359944911 1.6440463842320443 1.3025853802682568 0.07661701133130733 0.03252891903603582 2.425217306493024
1.3453031747503306 0.06842673620070082 2.3967317163085027 0.9754427260186969 0.9194924417696392 2.497131952527809
1.3130763429830368 0.1539824313157029 1.8916670579833403 0.10851908432103878 0.932420356522814 2.82341526491286
1.2799278170000932 0.10401040518903915 1.6680731603218142 0.8052492922928814 0.8951097478162868 2.5546401407429915
1.31843120218727 0.13894639460562047 1.9909533609878607 0.7887366762174324 0.8920547170307829 2.375300969399558
1.3430883149496327 0.07585106070767597 1.4789131349928861 1.718009663073749 0.9683720195881669 2.287597263391391
1.3681855704862045 0.12006353317780642 1.3762927873445079 0.42396166378563127 0.759947622161931 2.03052260013221
1.264801968504297 0.0852899053392418 1.3359328179482515 0.46512005605101825 0.6313152569672439 2.3589696356680547
1.3344580351592374 0.07807088779281955 1.7930554066285294 1.6412432790508507 0.9771213252644889 2.295532318015592
1.3556533452460529 0.1068643830747552 2.3311425583880654 1.3982120093612012 0.8843793005638955 2.8329499241297373
