mu1 sigma1 mu2 sigma2 alpha mlo
1.4370087839567929 0.43970038260048566 1.4882915958972407 0.060535717809283456 0.9416801200002781 1.0855248053678004
1.2684095983647594 0.3483077358463804 1.5238009635880951 1.1388144163541782 0.8936141190230602 0.9964826080553735
1.1360631379822566 0.6239659509471895 1.7481402843537799 1.7189309308869158 0.9924022172905062 1.0935592803409029
1.0561731936931193 0.8342461634161293 1.3672614484573233 0.17608067999282084 0.6040088745141291 0.9925391872502205
1.356968025281403 0.2843051223793725 1.4011388759133334 0.16758379908389842 0.3438964624317077 1.2188060130294516
1.372020317990625 0.08291258967935122 2.8735558775177745 1.1255570598093294 0.811066022376966 0.9324961037683512
1.2863274857493558 0.3707978007877244 2.2137251923868577 1.1416317089813275 0.7817591013997811 1.1925525357177553
1.2212055972159497 0.4559350003118619 1.3698741291546246 1.7607294709177288 0.7963654310742443 1.1592479383791143
1.275382022961565 0.35593166806983817 1.3586532299476113 1.8852669818521262 0.9273082353903738 1.0278684803734204
1.1171161157493852 0.4047709793604296 1.960064775597362 1.422341374071055 0.7735733874263578 1.1003957661272337
1.154362856943326 0.5186226729535506 2.2728177679816515 1.3277669790475228 0.9217272179608559 1.1136898602918308
1.3172574466927083 0.2410002140727012 1.69981556703853 1.788479601462086 0.6512513537981285 1.1571157757953963
1.379031510044315 0.32712202994732054 1.7640792613024612 1.3074963576435397 0.9900521472486475 1.027919002074579
1.2503073076964486 0.1314589279568449 2.128322766151665 1.8125555471450132 0.6073858640597684 1.1599735437434082
1.4069047398723722 0.25673614120568516 1.504396012693464 0.8270860304869974 0.8150483588983801 1.0577806259258564
1.36928000354129 0.08666147242246339 1.6046327486321985 1.6716877368273424 0.5680281512032725 1.1417283215445255
1.3518080300563324 0.08398911305567236 2.559733088996512 1.3908011905204192 0.6729978121794007 1.0174475080905556
1.3053193797832068 0.6591336955126459 1.375178069498178 0.10855481203318995 0.0943041787734788 1.1224824062526773
1.1330905297884768 0.31144457893388655 1.1342485342851507 0.9093414336626949 0.9782959043054418 1.1315581212725123
1.1822097266721638 0.4103458737713721 2.495881285649202 1.1456271668763067 0.9712215549525102 1.0575409470220254
1.3082128851986439 0.032887564193767746 2.168106861881259 0.5820340611232083 0.5721682035982301 1.1294813857377626
1.3080574948511456 0.17094062410228258 1.4261461988706885 0.3893913282715632 0.7138499096438032 0.9872262350008068
1.3172607471199296 0.06097251222291984 1.8827272700478606 1.7337731072059377 0.6981722635118922 0.9202856541421599
1.3539860568607396 0.16424413474105895 1.8207476807041592 1.1066368376698115 0.6262833562147025 1.1252619027257058
1.2902247893266732 0.2515777870174025 1.6846937109140498 0.4080585538828562 0.46020757399424383 1.1755022169241824
1.2335170912468627 0.33861842381781265 1.5275370013838976 0.2731271080362726 0.736874047840975 1.0672616095490355
1.3475874721059713 0.3498120964142727 2.088208985453408 1.2324997964921003 0.9335360817315884 1.0879233424069301
1.148235398736561 0.5041641321579042 1.7540198985179671 1.2257337250822906 0.9593172208657793 1.096451498184213
1.2913052779492786 0.44073209846133865 1.398057897864005 0.18018294757334832 0.7822386398082684 1.0366696534752906
1.2756720447770113 0.37141670642823105 1.8234157034997636 1.7433952422676982 0.8411258370787492 1.1971207545131834
1.3677435180043838 0.4220389148437607 1.3898537759705998 0.24652625356089783 0.848913281566188 1.0939707530211444
1.3299483565911885 0.2396146770469929 1.8559495762127551 0.4461269419957286 0.8502051760191678 1.2547232042348266
1.2997377043550602 0.31763169441214983 2.127660651476071 0.13051267302185876 0.7677666985932916 1.1883237396280244
1.273231459238855 0.2946834968347844 2.5371619225621704 0.36568062114921385 0.8759887230695446 1.1649089032624913
1.3328591471821463 0.07407708089309406 1.9700044206346514 1.919362128784794 0.5916660854304227 1.2227078935852778
1.2647773755718117 0.39823114979803786 1.4198486693016719 0.37714546595933374 0.4354680638508191 1.2108988850844322
1.3460367699230404 0.07353300225907372 2.1233425615871395 1.184572900017975 0.6398726875323193 1.1681604800456018
1.1643235267838064 0.454769238816683 1.5308763828154568 0.38156208104462414 0.6568832446266737 1.1024983024663135
1.3400907739970886 0.1028550676101351 2.371790480107572 1.5593255547980536 0.7267229572715713 1.0291838003488023
1.3997464026780966 0.2120910335877467 1.5128302804963858 0.34009484416797686 0.533085964342593 1.0602647772400835
