mr,ms
1.3413982578723,1.39140813005252
1.34048334286328,1.39238731825362
1.34050112578143,1.39241743441034
1.34126055095478,1.39171155045106
1.34065382238023,1.39230504738333
1.34047871760866,1.3923956489539
1.34036663342424,1.39246365870324
1.33977370321666,1.3930015915284
1.34031726156707,1.39248226970143
1.33999862506234,1.39272201233614
1.34065540639776,1.39196518209968
1.33987878002883,1.39272109179472
1.34052367128766,1.39213826369403
1.34046158621195,1.3923077462438
1.34092356580201,1.39183660195856
1.34105470421972,1.39166481222324
1.34018305212241,1.39270893648843
1.34057796139633,1.39231066258687
1.34084629891494,1.39192744860758
1.33958736226934,1.39339606794556
1.34159422694679,1.39133479011077
1.34061401049367,1.39236691328991
1.34035369597069,1.39241861207573
1.33959387701464,1.39322253906641
1.34073673326682,1.39218480245154
1.34038354974783,1.39239614043296
1.34002116614401,1.39285468238958
1.34043970255161,1.39221434403891
1.33978201992202,1.39309590018686
1.34071417614296,1.39213319284846
1.33948282000318,1.39333650959556
1.34043470461338,1.39244664663935
1.34003067441197,1.39276677833217
1.3414191755738,1.39152950626874
1.3399296411838,1.39273438699687
1.33975109461628,1.39305937150691
1.34079105386741,1.39205243987917
1.34075993284957,1.39195780501434
1.339684886604,1.39301543278941
1.34003687475135,1.39273580630564
1.34082928873826,1.39173618799054
1.33982898460153,1.39296856821491
1.34010913660925,1.39271092159326
1.3401588479744,1.39276764363923
1.34090629459661,1.39179003980554
1.34087529007623,1.39177576664686
1.33964759384151,1.39310818472532
1.3402725652017,1.39245492616581
1.34164304708743,1.39109771879438
1.34068456530952,1.39203377065296
1.34078666091229,1.39194751178159
1.34067243515648,1.39208595152784
1.34068160574237,1.39224233421326
1.33998501081995,1.39269653336368
1.34062657526738,1.39237623518486
1.34120958519512,1.39174305066079
1.34061326503486,1.39211884604576
1.34016650492032,1.39260839253343
1.3410017491241,1.39181956166743
1.34105415662369,1.39168080613846
1.33994743019356,1.39284583397231
1.34123190481383,1.39185593861704
1.34125182692675,1.39158909372921
1.34077284148474,1.39195418838445
1.34186982871164,1.39093469969397
1.33975017152267,1.39312104474051
1.34053315230484,1.3923726187786
1.34024713491223,1.39249557574799
1.34073422103135,1.39205587915651
1.34111262886334,1.39157849854175
1.3403757894858,1.39256983721072
1.34046345595138,1.39235004289143
1.34100300402942,1.39175119104402
1.34090594401659,1.39187495583338
1.3406205100817,1.39214331710247
1.3401843191284,1.39247218062007
1.34102125610679,1.39165754318169
1.34108367514776,1.39163912198143
1.33992554544381,1.39291324550162
1.34125821829183,1.39139015763293
1.34105366388461,1.39179376319271
1.34029661243939,1.3925334190764
1.34024881320238,1.39262822298569
1.33997657640778,1.3927183688906
1.34086392708063,1.39214347305899
1.34057093634912,1.39219412512902
1.34112052510026,1.39185955923719
1.3403921691066,1.39231221501887
1.34156332722426,1.39118664955318
1.34109133893145,1.39180271963236
1.34159308776987,1.39117711073896
1.34077080058393,1.39208746417875
1.33936283938809,1.39358746477215
1.34039222535941,1.39226885124354
1.34091139138182,1.39189042883738
1.34007545352466,1.39254444581632
1.33919624445326,1.39374066219284
1.34087374681999,1.39196921104953
1.34032782038995,1.39250244712714
1.34072613298561,1.39222294553541
1.34123479997105,1.39152190543792
1.34067709107245,1.39221213268053
1.34073716990531,1.39193077537695
1.34064967415159,1.39206237351414
1.34047327848303,1.39233830459918
1.34059547109814,1.39215525664686
1.33950547767053,1.39329279805345
1.34053288123633,1.39213737079937
1.34084535936485,1.39188459633089
1.34030837301534,1.39245917646278
1.34125620506002,1.39147711807932
1.34103091141063,1.39166846343461
1.34003002731816,1.39260419471062
