mlo mup
0.973031029532992 1.9407570068905478
1.0207409902831805 2.0586812167398527
1.0082624194098175 2.0259675622417186
1.0019697367237206 1.9052548700065406
1.1049663799673068 1.8354140415271214
1.0947068725827802 1.838312334629931
1.0351209076316996 1.8736298001053155
1.1273854594632728 2.0806111366068096
1.0733885244567938 1.8566987201673621
1.005276700561538 1.9270032661075858
1.1642176953359438 2.035775308803034
1.0254227181769202 1.898230602447577
1.0986684272389389 2.0690457648770604
1.086898123782073 2.0631807464666356
1.0673028353992384 2.0525485837137856
1.022053298932765 1.909273812050243
1.0249194075520824 2.0092465780520015
1.1299716419398231 2.0623574753922114
1.1104763461683183 1.8477930076973277
1.052645875717086 2.0365798366434644
1.057101180103482 2.040508329323798
1.0673010624791464 2.047545533431496
1.021279522908086 1.9159606317224984
1.082029474970517 2.0548802997003057
1.1661633544914924 2.019625255206243
1.1253041981129646 2.0591028305950116
1.0292427943800992 2.005907645931292
1.0190667471360133 1.925489397134695
1.0521549886001613 1.884164620822153
1.022128953602702 1.920403265259483
1.1607150438504121 1.8566889735584686
1.0241331494109127 1.9889642981898878
1.0172324107027835 1.968642971557499
1.1267553830254031 1.8493856729327938
1.0819871215458694 2.0477446203669802
1.0334896462651142 2.003532945582575
1.1747398907446187 1.8961486457797985
1.036870229480924 2.002242870129353
1.0291235074266265 1.9870777022010984
1.1118995157332703 2.0492858494358477
1.035417109492141 1.9964959127799442
1.1732604575648518 1.8921036940831057
1.1220462378238225 1.8542249728197642
1.0689377785617904 2.0329067153397697
1.130563137050079 2.044994369697709
1.1291130246218457 2.043100419343821
1.0258660328887839 1.9481900317222367
1.1751067392394003 1.938996553043713
1.041420854468272 1.9099657282015035
1.1705295579602795 1.9859649300580968
1.1207333854461055 2.0434023981251928
1.0506619372473371 1.8996055922946218
1.0616962829562304 2.0203622680838786
1.1486659689704186 1.8594410882099215
1.0301322439565963 1.937312309041887
1.1265250784539795 2.041339368051096
1.1324519956672334 2.0384487916068545
1.0395387919001138 1.991145162697776
1.0318212431539773 1.9343170910411112
1.0434471038793094 1.9104261586217148
1.055585225511314 2.0121854047235055
1.0385919152048437 1.9855827722109605
1.0396766890561915 1.9185630408774996
1.0603573714768808 1.8925845823948322
1.153842805622111 2.017565891284649
1.1722653219884416 1.9015584872233555
1.0962582755063555 1.8681667493474947
1.0919376876312228 1.870761485553112
1.136405529654363 2.0324764666521906
1.1719228922364526 1.9699831879873564
1.1508206680649664 1.8651512073606846
1.0362345811574762 1.9717702086455344
1.0390018407024884 1.9772133059281853
1.0704880390622988 1.8876982749532294
1.1173997609335096 1.8625027053498193
1.0366830611715414 1.9393614244296629
1.0726743989974235 2.0192965665666223
1.1733660802687669 1.9310514909521568
1.113707297865245 2.034045454242381
1.105425017203732 2.0330529676991063
1.125964648877348 1.8621605178285516
1.1380734112000448 1.8635530926640975
1.1494368374190145 2.015309226513083
1.0500399920545476 1.913109483421993
1.0490734200204361 1.9152174217128317
1.0674085255721897 2.0121733566866356
1.082443728662038 2.0219956718735634
1.172366693462679 1.9175563520765688
1.1122827784983578 1.8671886572705432
1.1037322230311775 2.0294324190024278
1.041118112357359 1.9620702806373191
1.1577242288170482 1.877235640586657
1.166421821807678 1.9826762943503786
1.1446167170632506 2.0159339702126444
1.0753856188690822 1.8899889797342004
1.064839609470807 2.0058881127051396
1.146617139197468 1.8697163853298946
1.063201328812899 2.004117292846397
1.1176342030896467 2.028794772079042
1.157843262214814 1.8789361198131442
1.092897304098409 1.8781810025868975
1.1164752718305713 2.028495488643897
1.1529787654049495 1.8743158856632784
1.0474408928348362 1.9765424031781333
1.1501682286080732 2.009376450720414
1.0427376977793597 1.9440501214374057
1.1140249519173746 2.0264262436053455
1.0692569433845203 1.8970969397763382
1.0582645329433398 1.9094532123093342
1.062659908777846 1.9986291068036794
1.0500615516445864 1.9242052996089754
1.1001852091383004 2.0233059848630166
1.045242646301692 1.9404951409783595
1.1688674150161842 1.9650909231689302
1.0816699006380397 1.8883807562693704
1.0454009647265834 1.9533554310310854
1.138041686161439 1.8696636891687994
1.0455526351349 1.9561836231317014
1.0448432555811311 1.9487930045665318
1.0698016175745029 1.8993118905942135
1.0651438679628966 1.9988973049312198
1.1616110566451812 1.8877496964018565
1.0672281836784505 2.0011681303403375
1.0831657277737814 2.0138960568561037
1.074252572145158 1.8962405946379883
1.1246638406972618 2.0223871870998593
1.0988152670519178 2.0196867637090943
1.0488522641722666 1.9357848594294773
1.0833734666637485 2.0134578588233865
1.154022999803917 1.8802222663993007
1.1695128128566283 1.954196277172435
1.1151111880799627 1.8728351923132218
1.1250224976760526 2.0209596109648182
1.0485394122215552 1.9402178878311502
1.0590146868606976 1.9859459262493926
1.1253743141876644 2.0201610863767523
1.157821115660603 1.9901297062162022
1.0582866092669097 1.9155825174380061
1.1366530587986325 2.0152920471433946
