
0it [00:00, ?it/s]
1it [14:20, 860.45s/it, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-193.61+/-0.18 dlogz:inf>0.1]
3it [14:20, 223.25s/it, bound:0 nc:  3 ncall:4.1e+02 eff:0.7% logz=-183.74+/-0.18 dlogz:251.890>0.1]
4it [14:21, 146.36s/it, bound:0 nc: 11 ncall:4.2e+02 eff:1.0% logz=-180.71+/-0.18 dlogz:245.054>0.1]
5it [14:22, 98.24s/it, bound:0 nc: 10 ncall:4.3e+02 eff:1.2% logz=-167.67+/-0.18 dlogz:242.024>0.1] 
6it [14:23, 66.90s/it, bound:0 nc:  6 ncall:4.4e+02 eff:1.4% logz=-150.22+/-0.18 dlogz:228.983>0.1]
7it [14:24, 46.18s/it, bound:0 nc:  6 ncall:4.4e+02 eff:1.6% logz=-147.22+/-0.18 dlogz:211.533>0.1]
10it [14:28, 20.37s/it, bound:0 nc: 40 ncall:4.8e+02 eff:2.1% logz=-131.06+/-0.17 dlogz:193.978>0.1]
11it [14:28, 16.20s/it, bound:0 nc:  7 ncall:4.9e+02 eff:2.2% logz=-110.34+/-0.18 dlogz:192.366>0.1]
12it [14:30, 12.82s/it, bound:0 nc: 21 ncall:5.1e+02 eff:2.3% logz=-107.73+/-0.18 dlogz:171.635>0.1]
13it [14:31,  9.82s/it, bound:0 nc: 12 ncall:5.2e+02 eff:2.5% logz=-101.42+/-0.18 dlogz:169.026>0.1]
14it [14:33,  7.62s/it, bound:0 nc: 12 ncall:5.4e+02 eff:2.6% logz=-96.78+/-0.18 dlogz:162.713>0.1] 
15it [14:34,  6.02s/it, bound:0 nc: 21 ncall:5.6e+02 eff:2.7% logz=-92.94+/-0.18 dlogz:158.068>0.1]
16it [14:35,  4.59s/it, bound:0 nc:  9 ncall:5.7e+02 eff:2.8% logz=-80.21+/-0.18 dlogz:154.226>0.1]
17it [14:36,  3.40s/it, bound:0 nc:  5 ncall:5.7e+02 eff:3.0% logz=-74.10+/-0.18 dlogz:141.497>0.1]
18it [14:38,  3.09s/it, bound:0 nc: 27 ncall:6.0e+02 eff:3.0% logz=-72.88+/-0.17 dlogz:135.379>0.1]
19it [14:39,  2.46s/it, bound:0 nc:  8 ncall:6.1e+02 eff:3.1% logz=-71.98+/-0.16 dlogz:134.160>0.1]
21it [14:40,  1.45s/it, bound:0 nc:  6 ncall:6.1e+02 eff:3.4% logz=-69.86+/-0.16 dlogz:132.104>0.1]
