
0it [00:00, ?it/s]
1it [00:02,  2.07s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-12520.34+/-0.18 dlogz:inf>0.1]
58it [00:02, 37.21it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.6% logz=-233.96+/-0.18 dlogz:296.202>0.1]
103it [00:02, 70.94it/s, bound:0 nc:  1 ncall:5.2e+02 eff:19.8% logz=-102.10+/-0.16 dlogz:159.560>0.1]
145it [00:02, 104.45it/s, bound:0 nc:  1 ncall:5.8e+02 eff:25.0% logz=-57.95+/-0.15 dlogz:115.131>0.1]
179it [00:02, 127.56it/s, bound:0 nc:  1 ncall:6.4e+02 eff:27.9% logz=-39.88+/-0.15 dlogz:96.723>0.1] 
210it [00:02, 154.29it/s, bound:0 nc:  5 ncall:6.9e+02 eff:30.4% logz=-27.00+/-0.15 dlogz:83.830>0.1]
241it [00:02, 166.93it/s, bound:0 nc:  1 ncall:7.5e+02 eff:32.3% logz=-15.47+/-0.15 dlogz:72.170>0.1]
269it [00:02, 183.81it/s, bound:0 nc:  1 ncall:8.0e+02 eff:33.8% logz=-8.38+/-0.14 dlogz:64.880>0.1] 
296it [00:03, 169.90it/s, bound:0 nc:  1 ncall:8.6e+02 eff:34.3% logz=-3.44+/-0.14 dlogz:59.868>0.1]
323it [00:03, 180.92it/s, bound:0 nc:  3 ncall:9.2e+02 eff:35.1% logz=-0.15+/-0.13 dlogz:56.462>0.1]
346it [00:03, 190.37it/s, bound:0 nc:  2 ncall:9.7e+02 eff:35.7% logz=1.85+/-0.13 dlogz:54.383>0.1] 
373it [00:03, 194.47it/s, bound:0 nc:  4 ncall:1.0e+03 eff:36.5% logz=3.77+/-0.13 dlogz:52.403>0.1]
397it [00:03, 193.74it/s, bound:0 nc:  5 ncall:1.1e+03 eff:36.7% logz=5.28+/-0.13 dlogz:50.811>0.1]
419it [00:03, 163.06it/s, bound:0 nc:  3 ncall:1.2e+03 eff:35.7% logz=6.73+/-0.13 dlogz:49.302>0.1]
438it [00:03, 150.93it/s, bound:0 nc:  3 ncall:1.2e+03 eff:35.4% logz=7.77+/-0.13 dlogz:48.223>0.1]
455it [00:04, 139.62it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.4% logz=8.74+/-0.13 dlogz:47.208>0.1]
470it [00:04, 124.74it/s, bound:0 nc:  7 ncall:1.4e+03 eff:34.8% logz=9.54+/-0.13 dlogz:46.360>0.1]
484it [00:04, 112.44it/s, bound:0 nc: 10 ncall:1.4e+03 eff:34.5% logz=10.25+/-0.13 dlogz:45.620>0.1]
496it [00:04, 113.44it/s, bound:0 nc:  2 ncall:1.5e+03 eff:34.2% logz=10.82+/-0.13 dlogz:45.013>0.1]
508it [00:04, 105.34it/s, bound:0 nc:  4 ncall:1.5e+03 eff:33.7% logz=11.34+/-0.13 dlogz:44.466>0.1]
519it [00:04, 105.13it/s, bound:0 nc:  3 ncall:1.6e+03 eff:33.4% logz=11.80+/-0.13 dlogz:43.972>0.1]
531it [00:04, 106.22it/s, bound:0 nc:  2 ncall:1.6e+03 eff:33.6% logz=12.26+/-0.12 dlogz:43.485>0.1]
545it [00:05, 104.90it/s, bound:0 nc:  8 ncall:1.6e+03 eff:33.1% logz=12.82+/-0.12 dlogz:42.899>0.1]
561it [00:05, 112.80it/s, bound:0 nc: 11 ncall:1.7e+03 eff:32.9% logz=13.57+/-0.13 dlogz:42.100>0.1]
573it [00:05, 112.89it/s, bound:0 nc:  5 ncall:1.7e+03 eff:32.9% logz=14.07+/-0.13 dlogz:41.570>0.1]
585it [00:05, 100.45it/s, bound:0 nc:  8 ncall:1.8e+03 eff:32.2% logz=14.60+/-0.13 dlogz:41.015>0.1]
598it [00:05, 100.89it/s, bound:0 nc:  3 ncall:1.9e+03 eff:32.1% logz=15.12+/-0.13 dlogz:40.454>0.1]
616it [00:05, 109.20it/s, bound:0 nc: 10 ncall:1.9e+03 eff:32.0% logz=16.03+/-0.13 dlogz:39.526>0.1]
631it [00:05, 106.98it/s, bound:0 nc:  5 ncall:2.0e+03 eff:31.8% logz=16.79+/-0.13 dlogz:38.713>0.1]
642it [00:05, 106.99it/s, bound:0 nc:  2 ncall:2.0e+03 eff:31.7% logz=17.38+/-0.13 dlogz:38.097>0.1]
653it [00:06, 98.79it/s, bound:0 nc:  1 ncall:2.1e+03 eff:31.3% logz=17.91+/-0.13 dlogz:37.533>0.1] 
663it [00:06, 91.07it/s, bound:0 nc:  3 ncall:2.2e+03 eff:30.7% logz=18.40+/-0.13 dlogz:37.015>0.1]
673it [00:06, 68.46it/s, bound:0 nc:  1 ncall:2.2e+03 eff:30.2% logz=18.87+/-0.13 dlogz:36.525>0.1]
682it [00:06, 69.66it/s, bound:0 nc:  6 ncall:2.3e+03 eff:30.1% logz=19.27+/-0.13 dlogz:36.103>0.1]
690it [00:06, 64.25it/s, bound:0 nc:  6 ncall:2.3e+03 eff:29.7% logz=19.63+/-0.13 dlogz:35.716>0.1]
701it [00:06, 71.20it/s, bound:0 nc: 19 ncall:2.4e+03 eff:29.4% logz=20.12+/-0.13 dlogz:35.200>0.1]
709it [00:07, 63.53it/s, bound:0 nc:  2 ncall:2.4e+03 eff:29.0% logz=20.46+/-0.13 dlogz:34.838>0.1]
716it [00:07, 60.38it/s, bound:0 nc:  2 ncall:2.5e+03 eff:28.7% logz=20.79+/-0.13 dlogz:34.496>0.1]
729it [00:07, 71.00it/s, bound:0 nc:  5 ncall:2.5e+03 eff:28.6% logz=21.37+/-0.14 dlogz:33.877>0.1]
739it [00:07, 75.25it/s, bound:0 nc:  5 ncall:2.6e+03 eff:28.6% logz=21.78+/-0.13 dlogz:33.440>0.1]
747it [00:07, 60.94it/s, bound:0 nc:  1 ncall:2.7e+03 eff:28.2% logz=22.13+/-0.14 dlogz:33.078>0.1]
754it [00:07, 50.63it/s, bound:0 nc:  6 ncall:2.7e+03 eff:27.8% logz=22.50+/-0.14 dlogz:32.710>0.1]
760it [00:08, 43.54it/s, bound:0 nc:  5 ncall:2.8e+03 eff:27.5% logz=22.84+/-0.14 dlogz:32.349>0.1]
765it [00:08, 41.74it/s, bound:0 nc:  5 ncall:2.8e+03 eff:27.4% logz=23.09+/-0.14 dlogz:32.075>0.1]
770it [00:08, 38.06it/s, bound:0 nc: 31 ncall:2.8e+03 eff:27.0% logz=23.36+/-0.14 dlogz:31.797>0.1]
776it [00:08, 39.11it/s, bound:0 nc:  7 ncall:2.9e+03 eff:26.9% logz=23.65+/-0.14 dlogz:31.482>0.1]
781it [00:08, 39.27it/s, bound:0 nc: 13 ncall:2.9e+03 eff:26.7% logz=23.92+/-0.14 dlogz:31.214>0.1]
788it [00:08, 37.39it/s, bound:0 nc: 21 ncall:3.0e+03 eff:26.4% logz=24.27+/-0.14 dlogz:30.911>0.1]
