mu1 sigma1 mu2 sigma2 alpha mup mlo
1.0464466818756435 1.725463109056608 1.626862838446764 1.346324272684814 0.25059141751975933 1.9912688766886728 1.029213576961632
1.2975659578941492 0.8462526828286535 1.6611610658811133 1.9285612234129044 0.270564538299377 1.912040194532938 1.115890244608726
1.0249176436127205 1.394085521958979 1.7597067456020952 1.1764510106762576 0.8554226189509101 1.9498636766610105 1.017583441345854
1.5048801410724937 0.43894703504140614 1.6134422939821667 1.5855694805822886 0.30285083013908587 1.9789867829554002 1.0980389903350265
1.2911092197040301 0.19689737586079506 1.406433604593433 1.9421751244534735 0.762634549523868 2.6593611935369896 1.0240820511241238
1.1425873694434268 1.1782859475874161 1.3028935510026416 0.2798811089589795 0.9666885865161368 2.0195722557352638 1.059206157165859
1.2526111786596992 0.42353709262446176 1.3781170868820256 0.48965504705238283 0.8862444943978613 2.365553997119186 1.015007870447241
1.2709686874527155 0.0458827230975847 2.100964831033568 0.7071211492513397 0.5463712125126866 2.5332845519551945 0.9458588768762408
1.2709705981177977 0.3212953202354521 1.6995746543203545 1.7980516363196846 0.8491792255327092 2.5420701984614062 1.0321849358395934
1.1187471906547204 0.7316551196635908 1.2702082961791983 1.8769127740036267 0.9234040380541797 1.9407624642572405 1.063273686447955
1.1691709513072386 0.4201127925689747 1.815600150248616 1.538048044884519 0.9011203236060807 2.589812483046402 1.0482680997939025
1.2303003162102932 0.4620184355093694 1.3298792486647886 1.2507373729817897 0.960164874690464 2.679514782559699 1.115879909173563
1.2378387947109684 0.5378780393233545 1.7306326421459062 0.5801363939971317 0.8942885915467593 2.085774429325769 1.0555249273178122
1.3276595512916043 0.467190854068011 1.38964204775629 0.19102720444791682 0.34788909819109504 2.649007216831904 1.1312139715670027
1.2732002719907474 0.23194855859370275 2.101232620936784 1.2538405760472304 0.7666592539400414 2.6666914663360384 1.1581474396427018
1.147085001238557 0.41310813448232964 1.8427684222885508 0.6972373575627545 0.8250477158469104 2.2079550967494765 1.023766822770418
1.2343308907915096 0.4572805544299984 1.246219519663072 0.49389618866870016 0.13438555782685502 2.278945441697624 1.0833421801063077
1.115800995339479 0.3403058337845884 1.3193102649721853 0.8324295343944309 0.46318468347983516 2.2992916863452324 1.0696197130423113
1.2498884534267944 0.2853087483098919 2.6281894377840667 1.4191734967837517 0.8221915918444814 2.6846876362561094 1.1087381229521238
1.243348471381682 0.25151746333080843 1.669139662994401 1.9383363569893803 0.8252863966619265 2.8690409733770608 1.1191687417988954
1.1755865022401508 0.33247163083595416 1.9585001998300102 1.9070029583027364 0.7571117253299073 2.0042689332909553 1.0179609737881066
1.1237762261126523 0.8959623567788664 1.179873295361328 0.4064250560606119 0.8764108328960445 2.033692352991076 1.1146285689114575
1.0985046872029252 0.41058450354648773 1.8489300310161938 1.861244762910627 0.3305000548545637 2.0384112026096575 1.0899587553638028
1.2952342235938898 0.13046790427483262 2.2525224669180997 0.8841993869695941 0.8033288265052466 2.493541823749071 1.0255762766485015
1.2377927883966862 0.4649191122646464 1.2689291839703398 0.10926840153462192 0.6941082645725593 2.3664034667129727 0.9377455856757747
1.0955118571871274 0.2581701786671172 1.216383014525681 0.6420964592903006 0.40731126748707 1.9471057872409117 1.0483124936996189
1.1738940639782807 0.6235930076155627 1.7403457871256078 1.3492396311718886 0.922924533555163 1.9523315800073104 1.1018098126023386
1.3609878041995678 0.2946373474187524 1.3733829959662518 0.8322610841419694 0.894167188269694 2.4827228821813305 1.0953172946086371
1.3671249949044442 0.2966539102874974 1.624757739478334 0.5345256855982488 0.777835718534127 2.16415641568603 1.104288113171644
1.3180043880292653 0.2626146325608455 2.090897588708779 1.6267088607489004 0.9153880859279061 2.2649075626718664 1.040768508405552
1.1490343172565172 0.4761867582262913 1.7756918039920508 0.38717842820064885 0.8761637556357285 2.3103752850570745 1.1169178328576388
1.2821438853851137 0.09100822791327029 1.5730483149657233 0.933845061640395 0.8084054430009581 2.649352442329099 1.1702408779595426
1.1826798780381858 0.3706672702193382 1.6987725749293414 1.4477770444698497 0.7937366875221754 2.332713230452682 1.1704471320276983
1.3251395846542904 0.1203889642033008 1.4729335454076145 0.26995771716642314 0.6094185421239643 2.263308191241811 1.1792315869422023
1.2528110727668431 0.12063813164138515 1.3949426041868214 1.6370304782802665 0.41849436522792555 2.2898573347961557 1.2023725417074584
1.2411647656561473 0.18989076722707662 1.5155346180658755 1.692286447023575 0.5302899023791925 1.8938658371405972 1.1126185175049457
1.0552014899106668 0.469009802632686 1.2749542703695227 1.615436229362015 0.5695552354136256 2.0689463841013214 1.0543278050390616
1.2063554366619293 0.093612003483552 1.8583419876896232 1.2282449430417923 0.3067073656500754 2.2169929487446853 1.1978612503862727
1.2563414397748618 0.19325899384037626 1.7765121304125056 0.9555438183350596 0.8022843299997077 1.9633928560372704 1.0589764604017047
1.1846206954404606 0.1937891544266318 1.619430384376927 1.2873825163735213 0.4441222016700409 2.157608145881664 1.025790380841689
1.2103411628852077 0.472390700218136 1.3078669830836618 0.8541136468131735 0.593637245894652 2.060488864890612 1.110110348859746
1.199320988430901 0.15575193213597158 2.0426094496171667 1.8098615906526618 0.8187998502507086 2.611629300634978 1.1906764734120712
1.153972653249571 0.4734552149163394 1.1830436031575888 1.0767957439399063 0.48574473065035556 1.99051743167252 1.1353087516700442
1.1836096971839243 0.22930564218602711 1.4237273908646957 1.3517380778884611 0.7691409383877478 2.848674167987376 1.1558808500488365
1.0710622772791047 0.3982530844683783 1.238656706458929 1.6631792652403026 0.3911568728780256 1.9837542267659196 1.068320162178468
1.0753852719227004 0.42900251685837765 1.4567780494469615 0.35289423561444566 0.8211688816307278 2.772518242814008 1.0613350704585838
1.29789733346515 0.14674906366875268 1.803575907583399 1.7909863451997894 0.8064832137678885 2.212264546126015 0.9934549730051394
1.3044430278823171 0.4042381146718226 1.3293432564939174 0.26242478111807316 0.604625179531992 2.6534548649955436 1.112584216827716
1.1735214848607043 0.16811321392042547 1.913926036351318 0.7045907710354644 0.5862788088448208 2.281591767598579 1.0645075892346918
1.1472195534591298 0.16890648166574923 1.6070566387550973 1.0683094284702865 0.6528474756483476 2.5532959043267667 1.1181215484883504
1.184669414324084 0.12256360550727693 1.4076948070141377 1.7308512300109316 0.29486441939283603 2.2368676743824354 1.1632030336793913
1.1579297953426948 0.5349379624524346 1.1905072886386345 0.12503602868270444 0.8351374412252343 2.2307033362663264 1.0442197315912862
1.1657609254098058 0.1265169807223187 1.426529171330742 0.9041826363108344 0.6517492317186467 2.2142689031918286 1.0756261931871969
1.2949704337983743 0.051519166235602556 1.2965599143269126 1.1286653560272912 0.29545361947943777 1.9504917397706916 0.9294465632475157
1.1747428563894142 0.27105496596977924 1.8035309300880442 1.4003938579466795 0.375727260420638 1.958560077408523 1.0759241895128135
1.118321077642353 0.34016597262020043 1.6761330235262966 0.9890037507387441 0.7474870569605708 2.4542642638681045 1.0959299184819369
1.1372796170037225 0.12383586311995647 1.2989159084561792 1.7144932794253689 0.14970439956976556 1.9476860253817807 1.1064156871380133
1.2265704919762586 0.36829646256018633 1.3669059345888241 0.598087585776829 0.6016827176435959 1.9793479419772715 1.089701193250768
1.2561862983045289 1.3904762891705011 1.2614747044998602 0.37047162525134913 0.19452042783788895 2.1015522670456663 1.0690098311730922
1.276116904567378 0.1263984546046853 2.0073447649298948 1.376899934652728 0.6212171794548444 2.334486136558637 0.9760816925977451
1.2866556506443088 0.17443492057091553 1.685843053192532 0.25586890358141723 0.8885356575200415 2.421526994439514 1.112499664937791
1.2637407623998809 0.20577673803112004 1.565176602954054 1.7588909300760542 0.5851075729546178 2.383562189019486 1.1365910064152538
1.1100402224203518 1.7205100903140667 1.293303377859134 0.11480716254330652 0.6029626820872882 2.156004782371178 0.9382228245367028
1.0957382638906585 0.42212959460351523 1.105778052415613 1.8292744178968843 0.7137316217582583 2.1332833210180158 1.0625341986709365
1.3473798735369202 0.09397047647952815 1.7263129699172142 1.9174398663034726 0.5263934142039706 2.1292670937512597 0.9310465013830378
1.2346252041064962 0.4174637533232117 1.3110694409145331 0.43235068579383 0.8687389877087839 2.2908312930686545 1.1191413155753789
1.105835080122546 0.26435689155349196 1.912442046092636 0.8449396279436855 0.6467963887705449 2.359408868714926 1.0903235697229665
1.2958024836793312 0.21360159791480043 2.143095344835701 0.7128564784736716 0.8467709349939093 2.3708178519584955 1.099264312891615
1.2249331487022281 0.13825158357225922 1.8998598614750024 1.4455122191276402 0.7575432392450684 2.61957856573179 1.1647226246451317
