mu sigma nu tau
1.522203232151179 0.3236910235755423 1.2086472195344555 14.610800330591474
1.6635981576045076 0.42100418770063736 2.3565811854884284 11.449314521740048
1.785290323279685 0.4318269554331875 5.129430573136016 13.562542919206443
1.6209245555836411 0.2591915244699831 2.4517612301763796 4.978433611410473
1.7429322166229215 0.4254442028497441 5.670218631834212 11.987165808893401
1.6426943108505347 0.3781146531216188 2.060452451754225 9.950535681926013
1.6174367269745284 0.36482955611438017 2.656462061043597 15.182536293178279
1.7494868189565698 0.393405467877081 6.620754506695931 17.368328155488328
1.7880258451174227 0.6308792646156239 5.482548761524162 3.11426157037001
1.4963625316618057 0.43756230712976873 2.43785407515584 2.487579665307838
1.482905874467491 0.35267069977684246 5.9912592117496635 2.756125100923602
1.6863017092056445 0.31286228132462707 5.668169234014058 10.315252127127987
1.5306889878180394 0.18173461176015213 2.8677823843393577 15.651746799855587
1.5147793662446558 0.2816418402531629 6.428660545458185 14.498471867431844
1.6124251413072221 0.23030652980935812 2.168786309945549 15.428519765670215
1.7237849979922526 0.3609963965095577 3.7659522959584675 19.22386514462709
1.4801652404169245 0.2889473068822577 7.67358816448197 3.351609957849929
1.717192093600333 0.34887368356687404 4.820677102536345 12.785409786103195
1.7009761109036918 0.47783561758500853 3.6178853318672033 3.9943697664113222
1.7245248716621613 0.41958713422026167 7.293640663246189 6.907048681072352
1.5137005830437165 0.2752371055307426 4.521598590708907 12.262286544206242
1.5686073125363587 0.32899488145464145 2.780274128902082 8.516399467377102
1.7128349937148466 0.34288493694275973 5.306015109140328 16.079054145100386
1.7332985684826356 1.4521878010177383 7.683832127112176 2.133750445963458
1.6468503461355615 0.3176905257729887 1.8734406162195523 16.726644452787287
1.5678364158377718 0.369028471942155 3.08551247765572 4.375720228615572
1.7177864677015897 0.3661698226671648 6.455131859966032 19.25944562799717
1.718110627075859 0.3613496956601102 6.117428645313401 14.154696808361743
1.6581226325986558 1.1061574329041075 2.2387933006344216 2.089296713078847
1.7169060096074067 0.38795826247190296 7.501627173833193 10.51265763264914
1.524649445959433 0.2827260007002329 7.588226931341001 15.343869935926763
1.6419719922047533 0.3421244374062634 7.669748939745377 3.831270343687368
1.666702458058639 0.5252415059607158 3.874696137016148 3.1739041868450677
1.5460771127682253 0.3052622364780497 4.4826738787866764 11.101294250288163
1.7158009962106537 0.3713210024789249 7.630045128930967 13.683325890709218
1.513632813368436 0.2068724704555446 1.8705881488427796 10.968817497540922
1.6674858888734687 0.6407063884081076 5.10668890121444 2.34624994649515
1.5669532363633722 0.31963989620101835 2.7155324968227124 9.20928061328754
1.6859477506741598 0.3153064487631551 2.5002475692314903 19.002136741915734
1.5398177758803115 0.1935720344663029 2.8491437369348462 8.296588853292782
1.5383191623772239 0.30040459654529816 2.97065997918544 7.836268266686352
1.7019913094053023 0.3370508715704607 3.2571577777444114 11.157167129004748
1.577717442648173 0.21593779567605142 5.435821613656388 16.29882550276366
1.4959114889946072 0.19682608899502488 7.659026717818193 13.299622675865931
1.4987449478902777 0.21204432550256785 2.998442072363095 16.020676521547227
1.5066743697112717 0.28539557416899397 1.7369992390879971 3.0804056424947373
1.57045828466496 0.45870470391736934 6.435791712163396 2.950320530637847
1.520427506202216 0.30155010176579883 2.041482106716102 4.017727565485769
1.6513033270268562 0.40386936676071267 3.629999291792058 5.122103342740505
1.6138945166156853 0.2860050425353384 2.8105234300898965 4.1123097185039414
