
0it [00:00, ?it/s]
1it [04:50, 290.88s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-2574.18+/-0.18 dlogz:inf>0.1]
4it [04:51, 55.17s/it, bound:0 nc:  3 ncall:4.1e+02 eff:1.0% logz=-424.26+/-0.18 dlogz:582.733>0.1]
6it [04:51, 31.25s/it, bound:0 nc:  4 ncall:4.1e+02 eff:1.5% logz=-246.70+/-0.18 dlogz:364.365>0.1]
9it [04:52, 16.25s/it, bound:0 nc:  1 ncall:4.2e+02 eff:2.2% logz=-192.53+/-0.18 dlogz:256.928>0.1]
11it [04:52, 11.20s/it, bound:0 nc:  2 ncall:4.2e+02 eff:2.6% logz=-179.31+/-0.18 dlogz:237.786>0.1]
14it [04:53,  6.75s/it, bound:0 nc:  4 ncall:4.3e+02 eff:3.3% logz=-156.71+/-0.18 dlogz:213.529>0.1]
16it [04:53,  4.95s/it, bound:0 nc:  1 ncall:4.3e+02 eff:3.7% logz=-131.26+/-0.18 dlogz:206.965>0.1]
17it [04:54,  4.22s/it, bound:0 nc:  5 ncall:4.4e+02 eff:3.9% logz=-122.05+/-0.18 dlogz:184.700>0.1]
20it [04:54,  2.53s/it, bound:0 nc:  3 ncall:4.4e+02 eff:4.5% logz=-116.27+/-0.18 dlogz:173.755>0.1]
22it [04:55,  1.88s/it, bound:0 nc:  5 ncall:4.5e+02 eff:4.9% logz=-113.69+/-0.16 dlogz:168.321>0.1]
24it [04:55,  1.41s/it, bound:0 nc:  3 ncall:4.5e+02 eff:5.3% logz=-104.42+/-0.17 dlogz:158.951>0.1]
27it [04:56,  1.08it/s, bound:0 nc:  4 ncall:4.6e+02 eff:5.9% logz=-100.61+/-0.16 dlogz:155.141>0.1]
29it [04:56,  1.33it/s, bound:0 nc:  2 ncall:4.6e+02 eff:6.3% logz=-98.38+/-0.16 dlogz:152.629>0.1] 
32it [04:57,  1.87it/s, bound:0 nc:  2 ncall:4.7e+02 eff:6.9% logz=-94.85+/-0.16 dlogz:149.276>0.1]
35it [04:57,  2.46it/s, bound:0 nc:  1 ncall:4.7e+02 eff:7.4% logz=-87.13+/-0.18 dlogz:143.426>0.1]
36it [04:58,  2.38it/s, bound:0 nc:  5 ncall:4.8e+02 eff:7.6% logz=-85.62+/-0.17 dlogz:140.519>0.1]
40it [04:58,  3.52it/s, bound:0 nc:  3 ncall:4.8e+02 eff:8.3% logz=-80.95+/-0.17 dlogz:135.742>0.1]
41it [04:59,  3.17it/s, bound:0 nc:  5 ncall:4.9e+02 eff:8.4% logz=-79.83+/-0.16 dlogz:134.332>0.1]
43it [05:00,  2.78it/s, bound:0 nc:  7 ncall:5.0e+02 eff:8.7% logz=-77.78+/-0.16 dlogz:131.982>0.1]
44it [05:00,  2.64it/s, bound:0 nc:  4 ncall:5.0e+02 eff:8.8% logz=-77.07+/-0.16 dlogz:131.154>0.1]
46it [05:01,  2.96it/s, bound:0 nc:  6 ncall:5.1e+02 eff:9.0% logz=-74.84+/-0.16 dlogz:129.155>0.1]
47it [05:01,  2.85it/s, bound:0 nc:  2 ncall:5.1e+02 eff:9.2% logz=-72.76+/-0.17 dlogz:128.206>0.1]
51it [05:02,  4.29it/s, bound:0 nc:  2 ncall:5.2e+02 eff:9.9% logz=-66.23+/-0.17 dlogz:120.932>0.1]
54it [05:02,  4.98it/s, bound:0 nc:  2 ncall:5.2e+02 eff:10.3% logz=-61.06+/-0.17 dlogz:115.902>0.1]
56it [05:03,  4.70it/s, bound:0 nc:  3 ncall:5.3e+02 eff:10.6% logz=-58.43+/-0.17 dlogz:113.477>0.1]
58it [05:03,  4.56it/s, bound:0 nc:  2 ncall:5.3e+02 eff:10.9% logz=-56.57+/-0.16 dlogz:110.632>0.1]
62it [05:03,  5.63it/s, bound:0 nc:  1 ncall:5.4e+02 eff:11.6% logz=-54.02+/-0.15 dlogz:107.869>0.1]
64it [05:04,  5.20it/s, bound:0 nc:  3 ncall:5.4e+02 eff:11.8% logz=-53.23+/-0.15 dlogz:106.902>0.1]
68it [05:05,  4.79it/s, bound:0 nc:  9 ncall:5.5e+02 eff:12.3% logz=-52.09+/-0.14 dlogz:105.653>0.1]
70it [05:05,  4.65it/s, bound:0 nc:  6 ncall:5.6e+02 eff:12.5% logz=-51.57+/-0.14 dlogz:105.166>0.1]
71it [05:06,  4.04it/s, bound:0 nc:  1 ncall:5.6e+02 eff:12.7% logz=-50.69+/-0.15 dlogz:104.876>0.1]
74it [05:06,  4.73it/s, bound:0 nc:  2 ncall:5.7e+02 eff:13.1% logz=-48.48+/-0.15 dlogz:102.212>0.1]
75it [05:07,  4.05it/s, bound:0 nc:  6 ncall:5.7e+02 eff:13.1% logz=-48.07+/-0.15 dlogz:101.778>0.1]
78it [05:07,  4.58it/s, bound:0 nc:  3 ncall:5.8e+02 eff:13.5% logz=-46.35+/-0.16 dlogz:100.733>0.1]
81it [05:08,  4.01it/s, bound:0 nc:  6 ncall:5.9e+02 eff:13.8% logz=-43.55+/-0.16 dlogz:97.360>0.1] 
86it [05:09,  5.57it/s, bound:0 nc:  4 ncall:5.9e+02 eff:14.5% logz=-41.20+/-0.15 dlogz:94.891>0.1]
88it [05:10,  4.28it/s, bound:0 nc:  9 ncall:6.0e+02 eff:14.6% logz=-40.33+/-0.15 dlogz:94.067>0.1]
89it [05:10,  3.92it/s, bound:0 nc:  2 ncall:6.1e+02 eff:14.7% logz=-39.89+/-0.15 dlogz:93.591>0.1]
91it [05:10,  4.14it/s, bound:0 nc:  6 ncall:6.1e+02 eff:14.8% logz=-38.77+/-0.15 dlogz:92.552>0.1]
94it [05:11,  4.62it/s, bound:0 nc:  4 ncall:6.2e+02 eff:15.2% logz=-36.47+/-0.16 dlogz:90.649>0.1]
96it [05:11,  4.56it/s, bound:0 nc:  3 ncall:6.2e+02 eff:15.4% logz=-35.33+/-0.15 dlogz:89.033>0.1]
98it [05:12,  4.40it/s, bound:0 nc:  4 ncall:6.3e+02 eff:15.6% logz=-34.45+/-0.15 dlogz:88.129>0.1]
100it [05:12,  4.37it/s, bound:0 nc:  2 ncall:6.3e+02 eff:15.8% logz=-33.53+/-0.15 dlogz:87.210>0.1]
103it [05:13,  4.88it/s, bound:0 nc:  1 ncall:6.4e+02 eff:16.2% logz=-32.42+/-0.15 dlogz:85.935>0.1]
105it [05:13,  4.78it/s, bound:0 nc:  3 ncall:6.4e+02 eff:16.4% logz=-31.90+/-0.14 dlogz:85.364>0.1]
106it [05:14,  3.93it/s, bound:0 nc:  4 ncall:6.5e+02 eff:16.4% logz=-31.67+/-0.14 dlogz:85.112>0.1]
108it [05:14,  3.93it/s, bound:0 nc:  2 ncall:6.5e+02 eff:16.6% logz=-31.23+/-0.14 dlogz:84.667>0.1]
111it [05:15,  4.43it/s, bound:0 nc:  2 ncall:6.6e+02 eff:16.9% logz=-30.61+/-0.14 dlogz:83.993>0.1]
113it [05:15,  4.32it/s, bound:0 nc:  3 ncall:6.6e+02 eff:17.1% logz=-30.26+/-0.14 dlogz:83.637>0.1]
117it [05:16,  5.30it/s, bound:0 nc:  2 ncall:6.7e+02 eff:17.6% logz=-28.41+/-0.15 dlogz:82.091>0.1]
118it [05:16,  4.38it/s, bound:0 nc:  5 ncall:6.7e+02 eff:17.6% logz=-28.01+/-0.15 dlogz:81.601>0.1]
120it [05:17,  4.12it/s, bound:0 nc:  2 ncall:6.8e+02 eff:17.7% logz=-26.74+/-0.15 dlogz:80.509>0.1]
122it [05:17,  3.95it/s, bound:0 nc:  3 ncall:6.8e+02 eff:17.9% logz=-26.04+/-0.15 dlogz:79.517>0.1]
123it [05:18,  3.21it/s, bound:0 nc:  6 ncall:6.9e+02 eff:17.9% logz=-25.71+/-0.15 dlogz:79.209>0.1]
126it [05:19,  2.97it/s, bound:0 nc:  6 ncall:7.0e+02 eff:18.1% logz=-24.90+/-0.14 dlogz:78.284>0.1]
129it [05:20,  2.94it/s, bound:0 nc:  7 ncall:7.1e+02 eff:18.2% logz=-24.34+/-0.14 dlogz:77.692>0.1]
