turn_on_pow,62.326233256733865
turn_on_pow_fix,61.69432341119946
turn_on_pow_G,60.645042369011655
pow,61.62181246807635
2G,60.53534599145695
turn_on_pow_G_fixed_max,58.54536291743364
G,56.12832956175556
2G_fixed_max,58.697089976330524
sst,57.635973331398546
G_fixed_max,55.903769394465115
2G_fixed_min,57.679802323289096
2G_fixed_max_min,56.51384609266979
logu,52.26023680790116
3G_fixed_max_min,55.794388086721376
lognorm,49.90506982641057
gamma,48.333817016351844
U,46.25599894905062
G_fixed_max_min,44.145954067909976
