
0it [00:00, ?it/s]
1it [03:23, 203.25s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-405.18+/-0.18 dlogz:inf>0.1]
5it [03:24, 30.44s/it, bound:0 nc:  2 ncall:4.1e+02 eff:1.2% logz=-205.86+/-0.18 dlogz:296.599>0.1]
7it [03:24, 19.07s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.7% logz=-190.74+/-0.18 dlogz:269.642>0.1]
12it [03:25,  8.22s/it, bound:0 nc:  2 ncall:4.2e+02 eff:2.9% logz=-172.93+/-0.17 dlogz:240.009>0.1]
15it [03:26,  5.60s/it, bound:0 nc:  1 ncall:4.2e+02 eff:3.6% logz=-152.53+/-0.18 dlogz:231.251>0.1]
19it [03:27,  3.52s/it, bound:0 nc:  1 ncall:4.3e+02 eff:4.5% logz=-149.26+/-0.16 dlogz:215.515>0.1]
22it [03:28,  2.58s/it, bound:0 nc:  1 ncall:4.3e+02 eff:5.1% logz=-137.86+/-0.18 dlogz:207.451>0.1]
26it [03:29,  1.75s/it, bound:0 nc:  2 ncall:4.4e+02 eff:6.0% logz=-112.71+/-0.18 dlogz:184.709>0.1]
31it [03:30,  1.14s/it, bound:0 nc:  2 ncall:4.4e+02 eff:7.0% logz=-95.73+/-0.17 dlogz:162.155>0.1] 
34it [03:30,  1.10it/s, bound:0 nc:  2 ncall:4.5e+02 eff:7.6% logz=-91.10+/-0.17 dlogz:158.573>0.1]
37it [03:31,  1.40it/s, bound:0 nc:  1 ncall:4.5e+02 eff:8.2% logz=-86.81+/-0.17 dlogz:153.810>0.1]
40it [03:32,  1.71it/s, bound:0 nc:  4 ncall:4.6e+02 eff:8.8% logz=-77.39+/-0.17 dlogz:144.632>0.1]
43it [03:32,  2.00it/s, bound:0 nc:  3 ncall:4.6e+02 eff:9.3% logz=-65.87+/-0.18 dlogz:134.520>0.1]
44it [03:33,  1.83it/s, bound:0 nc:  3 ncall:4.7e+02 eff:9.4% logz=-64.61+/-0.17 dlogz:131.239>0.1]
47it [03:34,  2.14it/s, bound:0 nc:  3 ncall:4.7e+02 eff:10.0% logz=-59.41+/-0.18 dlogz:126.977>0.1]
51it [03:35,  2.73it/s, bound:0 nc:  1 ncall:4.8e+02 eff:10.7% logz=-53.40+/-0.16 dlogz:119.746>0.1]
55it [03:36,  3.33it/s, bound:0 nc:  1 ncall:4.8e+02 eff:11.4% logz=-47.14+/-0.17 dlogz:113.698>0.1]
58it [03:37,  3.41it/s, bound:0 nc:  1 ncall:4.9e+02 eff:11.9% logz=-42.49+/-0.17 dlogz:109.132>0.1]
62it [03:37,  3.84it/s, bound:0 nc:  2 ncall:4.9e+02 eff:12.6% logz=-36.99+/-0.16 dlogz:103.251>0.1]
65it [03:38,  3.78it/s, bound:0 nc:  1 ncall:5.0e+02 eff:13.1% logz=-30.72+/-0.17 dlogz:97.189>0.1] 
70it [03:39,  4.45it/s, bound:0 nc:  1 ncall:5.0e+02 eff:14.0% logz=-27.61+/-0.16 dlogz:93.658>0.1]
71it [03:40,  3.59it/s, bound:0 nc:  8 ncall:5.1e+02 eff:13.9% logz=-26.84+/-0.16 dlogz:92.906>0.1]
73it [03:41,  3.15it/s, bound:0 nc:  1 ncall:5.1e+02 eff:14.3% logz=-25.52+/-0.16 dlogz:91.530>0.1]
76it [03:42,  3.11it/s, bound:0 nc:  2 ncall:5.2e+02 eff:14.7% logz=-23.12+/-0.16 dlogz:89.063>0.1]
79it [03:43,  3.10it/s, bound:0 nc:  1 ncall:5.2e+02 eff:15.2% logz=-21.14+/-0.16 dlogz:87.101>0.1]
83it [03:44,  3.56it/s, bound:0 nc:  1 ncall:5.3e+02 eff:15.8% logz=-18.73+/-0.15 dlogz:84.601>0.1]
88it [03:45,  4.16it/s, bound:0 nc:  1 ncall:5.3e+02 eff:16.6% logz=-13.88+/-0.16 dlogz:79.928>0.1]
90it [03:45,  3.65it/s, bound:0 nc:  3 ncall:5.4e+02 eff:16.8% logz=-12.98+/-0.15 dlogz:78.605>0.1]
94it [03:46,  3.95it/s, bound:0 nc:  2 ncall:5.4e+02 eff:17.3% logz=-10.85+/-0.16 dlogz:76.851>0.1]
97it [03:47,  3.77it/s, bound:0 nc:  2 ncall:5.5e+02 eff:17.7% logz=-9.42+/-0.15 dlogz:75.133>0.1] 
100it [03:48,  3.76it/s, bound:0 nc:  1 ncall:5.5e+02 eff:18.1% logz=-8.09+/-0.15 dlogz:73.660>0.1]
105it [03:49,  4.30it/s, bound:0 nc:  2 ncall:5.6e+02 eff:18.9% logz=-6.79+/-0.14 dlogz:72.233>0.1]
107it [03:50,  3.89it/s, bound:0 nc:  1 ncall:5.6e+02 eff:19.1% logz=-6.30+/-0.14 dlogz:71.772>0.1]
111it [03:50,  4.35it/s, bound:0 nc:  1 ncall:5.7e+02 eff:19.6% logz=-4.74+/-0.15 dlogz:70.181>0.1]
114it [03:51,  4.39it/s, bound:0 nc:  4 ncall:5.7e+02 eff:19.9% logz=-4.24+/-0.14 dlogz:69.570>0.1]
116it [03:52,  4.09it/s, bound:0 nc:  1 ncall:5.8e+02 eff:20.1% logz=-4.01+/-0.14 dlogz:69.303>0.1]
120it [03:52,  4.64it/s, bound:0 nc:  2 ncall:5.8e+02 eff:20.6% logz=-3.67+/-0.13 dlogz:68.916>0.1]
122it [03:53,  4.40it/s, bound:0 nc:  4 ncall:5.9e+02 eff:20.7% logz=-3.53+/-0.13 dlogz:68.766>0.1]
124it [03:54,  3.61it/s, bound:0 nc:  2 ncall:5.9e+02 eff:21.0% logz=-3.41+/-0.13 dlogz:68.635>0.1]
127it [03:55,  3.56it/s, bound:0 nc:  2 ncall:6.0e+02 eff:21.3% logz=-3.26+/-0.13 dlogz:68.465>0.1]
