mu1 sigma1 mu2 sigma2 alpha mu3 sigma3 beta
1.298572870070684 0.125465360322654 1.5855893027383066 0.08814297687577857 0.5680358826709616 1.9272626690319532 1.6555465394984308 0.34897026097171174
1.32250080783123 0.08081869344026642 1.4535496980159344 0.9123589824725972 0.4781338771291921 2.2784910395384945 1.2056862011924192 0.24419638022208529
0.9691206915361068 0.23662833970055488 1.188491200394259 1.173819242910401 0.076310220270301 1.230612243481535 0.38082741914902546 0.02453192587713221
1.0403145538456078 0.5847717206990045 1.2760737401968216 0.2845101942905391 0.02740574933802043 1.2845799441716697 0.2396506911117082 0.9448438074391987
1.0060129963526883 0.475950623243565 1.2412327573261068 0.14482358770871256 0.3335784709093463 1.9312449500008961 1.1960533801277533 0.5472368554211086
1.3690273870370535 0.16336647113644387 1.3925084590157437 0.5235395239859673 0.2598365585474716 2.3408121173154863 0.4777980537738075 0.7346162838116352
1.3281871934642548 0.2685171496324915 1.552533462663594 0.36513045587877746 0.5515988125982864 2.7307391400251144 1.2530686554663755 0.37396360833862846
1.2637627127501043 0.09952716053952138 1.3087582353334186 1.4145882432951289 0.3916912633166652 1.4675518392674167 0.36391615924793075 0.5063071509180362
1.3239344250640446 0.17645569611595055 1.6882261293181768 0.9566252808473433 0.6551132335602604 1.9393889447164985 1.1121662520205162 0.2982490417984081
1.2524989956977095 0.32632410891851804 1.4451353603776627 0.259048078175867 0.5717729458938414 1.7238888759962112 0.3477074384111547 0.17612982433528962
1.2518176988360945 0.5407977626903906 1.3098090919417673 0.10062651900862937 0.1918510000544262 2.264076301039573 1.9690024227292162 0.45535231334422593
1.3491730444038825 0.22137708993881605 1.350035445714716 0.3396071389852169 0.040144254121478075 2.0449376374124038 0.541365869616257 0.894231959910428
1.3631993383793244 0.1460493962064229 1.4699008465025871 1.088475034860917 0.6546161345968048 1.62847128723728 1.8296769289265344 0.3385705684349448
1.3619966982807732 1.5690738531014348 1.4341698278317068 0.22412909778748275 0.02843334998732193 1.660218683986579 0.3768329718274887 0.9086118529772846
1.1694559921183578 0.0693276496602086 1.4612874918848076 0.35740067612387527 0.5069642787077392 2.103442999196414 1.0760288431058185 0.42262484157606756
1.1094310511677397 0.3867035426025913 1.3001808187627 0.1250049058001019 0.2440901099002698 2.844906085565197 1.8846686631692382 0.5588023127293633
1.260339899481987 0.08157422437822903 1.2980894815589923 0.25135065223847936 0.6981662717573857 1.8386509825588835 1.7003187645717395 0.2015622850188355
1.2998542028472855 0.18831940440652625 2.0945595783788153 0.44739012351771756 0.872899266770116 2.1282398727279785 0.6561098061572541 0.09513246530728325
1.3658643645234694 0.32901083684162546 1.4290155722867568 0.18836843464890696 0.9011025578375124 1.8101210766190197 0.08080882861136117 0.01953974027352351
1.252597937848248 0.578776219093157 1.2531048385720538 0.05052796169240354 0.03778979164309645 1.6860183310260526 1.7489473228074894 0.7049023157915747
1.184437587281141 0.42457863176577226 1.3407495848219089 0.3045949059758208 0.1691415835093062 2.4130966509285185 1.1306628071174287 0.8268023375528478
0.9365403768087402 1.1204670504647916 1.3327474972261109 0.12013636135708745 0.02320560221446614 2.06916980759714 1.222791159868799 0.8197458605636095
1.2787429780455164 0.1041586279689938 1.8914249535754057 0.1344579675251061 0.5450327955320227 2.3828888336495995 1.641836415596709 0.07938408301496568
1.2974948016559709 0.11726213277433259 1.5228530445012272 0.4137771727967491 0.3000304214487419 1.8450185331226905 0.6508346870995009 0.49299146494364404
1.2400137732799912 0.07162657708655265 1.3146975519066615 0.449771205865027 0.48750879018945187 2.108876302680626 0.35735421807011225 0.1962533854063773
1.3397545124218901 0.2464917803518865 1.779637741612695 0.5150388510607321 0.8599925286724611 1.991258335512971 0.43126309011617514 0.13738711504765763
1.0426566695192931 0.541064021378289 1.3015500623175953 0.06010387264676345 0.025239694988437637 1.9015218531643523 0.5287675076928394 0.8237939120766059
1.0882348404574858 1.8865789621574853 1.310515437374161 0.08121361166776059 0.24182294344313757 1.7769119034355048 1.108864703469916 0.7528771022035546
1.0797924198721223 0.8078842167324316 1.3227323389991525 0.0775961041887395 0.13523847684114776 1.605064232558338 1.2164439683311592 0.5677008042220609
1.195969013818472 0.5297295040495505 1.2696392385069255 0.12849454703901012 0.6506317115744598 2.300872106362094 1.8823792357319937 0.2884976726296638
1.158744184842104 0.5482844212452116 1.1972378590803379 0.22417916382074624 0.01928954650460001 1.6284150767498942 0.30449844583643115 0.54966734323003
1.1572515287339395 0.5239662372372176 1.190532674045899 0.06529231398909867 0.27760597467339715 1.7523594582845754 0.3903445679817844 0.5580924463542466
0.9530094842440517 0.25552733361554836 1.23923660282196 0.03428143982459162 0.013998692699015658 1.3324258089825474 0.9522983098093167 0.36744708838448703
1.2517294893990196 0.06079526194234108 1.9158702546654567 0.6165100305229344 0.7506408747382388 2.525416560209909 1.5095966108631123 0.20781251380080548
0.9344254747699474 1.2576022545949967 1.301581434795867 0.10838503052903789 0.16083485411936493 2.303532257190266 1.1086733642534625 0.8152232439624939
1.1358671883574742 0.48053971397764356 1.2369808298179472 0.09290051146710705 0.4279914829301238 2.0263078068396645 0.9990066187572416 0.3994372571144451
1.2776092793891258 0.03694859004394959 1.519892827847484 1.0390328387779737 0.6717790132137783 1.8029892379958012 0.8072128668323915 0.32708226953142
1.2087901558301355 0.02861894014874984 1.2490800505927524 0.46522597389112663 0.3230123794395705 2.1516792063718158 0.04231791066309353 0.6171132799696403
1.256099584050399 0.021128032055050136 1.2722982217462628 0.23137821714044357 0.4245552972799388 1.9524060075603047 0.6033579159847396 0.5375505811511991
1.3164270775069964 0.06899221456395359 1.5942547692316498 0.4958097776650286 0.7493237987761766 2.1911605311667244 1.6178421849885432 0.11544732241549872
1.2731333552020605 0.08592611972160971 2.1027651787028097 0.261620524348884 0.7075367573804099 2.1762993267155966 0.7254627052907844 0.23526940016370193
1.0548198592426568 1.7501299554241476 1.32610701468311 0.053676804409119254 0.24722505865856265 1.4545902893666875 0.2955095853006245 0.48473351214160815
1.0668917667080269 0.8960280678054359 1.283201410150095 0.09184677044040697 0.043352919872137 2.0664513888486558 0.9671510102494154 0.6435223858008342
1.1830619350588218 0.153160810239549 1.1976466971360638 0.6977124925142018 0.25815728324844806 1.521799621886148 0.2519026852516951 0.05944504767889984
1.2102353228534386 1.4241244088737333 1.3670848801359416 0.1484442110240211 0.15643581958737393 1.9405851489233696 0.17272243928746905 0.8111760516325692
1.0627664825369647 1.663151996648384 1.3076850660398824 0.11394033025791779 0.1555741041451433 1.5429570385513 0.3548628550005353 0.814338077129297
1.2319907895608178 1.158180877423054 1.2967231865391096 0.08569119119383709 0.1731361714097544 1.3362598430188615 0.12189601495209147 0.5231272965774605
1.0717216708794828 1.573205249175694 1.2201360021514944 0.14431479858103258 0.06991345808901184 1.6232002088668716 0.37077995930329316 0.4239497908251884
1.151319893086931 0.5759957258758202 1.3204578108914649 0.09997788167675843 0.47326732433042246 1.4056245996792893 1.0402115231756208 0.35226365529724063
1.267971968043918 0.12724279403597638 1.6976965287020445 0.8106670656471648 0.724781189948474 2.324404828122236 0.8660870298810719 0.27034313740017785
1.3432372060965467 0.24151538380271403 1.643814239768849 0.28054392261493355 0.7302844556192447 1.8017253897833254 0.5082404789696753 0.2576334642228093
1.150188712850472 0.7625165949942042 1.3360808286596237 0.10197635450829114 0.20515465910858227 2.5814007002664945 1.4922210734291308 0.7723696226236253
1.2954604885143017 0.06912789860087099 1.3079311723984322 0.8664712235961174 0.33904017865738156 1.649333409463758 0.4243072795697577 0.36977667426141475
1.0154664780620197 0.2924491668290991 1.2957865692968928 0.014491706326179528 0.04182958427777331 1.3721291651622076 0.25413483738288917 0.06240367130193079
1.2740332648531536 0.02641801598978899 1.3254434320665542 1.7823950361213037 0.431014125029031 1.4598334878241643 0.7394609367001047 0.2564804212900461
1.3345365908737208 0.2004449563095692 1.4625942112340402 0.38344099274351806 0.43613069824002426 2.519693165127904 1.2491064599636248 0.5577468691157684
0.9566147674361873 1.506010462249067 1.2418138995725245 0.17206859086843596 0.11566600455312082 1.8307829861563736 0.22131882912894574 0.6180974556632385
1.3306064794212482 0.15048596664387354 1.496950523916389 0.4390340252950782 0.6163173982314396 2.6202257876016293 0.9161533928255694 0.2720384522514621
0.9545076622476556 0.9151674589014215 1.1383422980798945 1.2212381196051334 0.028897007919967112 1.2608930587126495 0.09401789029776514 0.3437209756063023
1.193149718667728 0.053754815869183646 1.437234714771178 0.14325337536933427 0.16930383930916035 1.4649409350398255 0.3405788488871155 0.6012445942651115
1.1859714322423671 1.051002011017078 1.2897272927809418 0.07160153133750106 0.4052571513329395 2.3962449180263308 1.0257973668019535 0.5363384663425094
1.1965574209803698 0.027931218318795047 1.4864693940484122 0.22276859778105235 0.18297259225276574 1.6620216196153135 0.7072123043023825 0.698198771147376
1.1876351139072265 0.8183282727426202 1.372422718346825 0.16949025030000114 0.029621254508964495 1.6310311181844972 0.4453545541482959 0.7540788379199217
1.2124689456347157 0.07610477516499538 1.4300629117569432 1.5553191642545876 0.549650020487182 1.433083345953682 0.17709231251433458 0.18366388877445294
1.0418243263576212 0.9093731646953077 1.1482481193225502 0.7449083722729626 0.3937751429901408 1.2524974436967211 0.07410757331687141 0.22486962808801975
