mlo mup beta
1.208484826679061 2.308976113730473 6.229379248273135
1.1930909510840113 2.3586302732467477 5.3477054847781655
1.212201563475867 2.802682457518153 6.169939713367727
1.310441715248093 2.336506202166135 3.4307714657512385
1.1912926415512484 2.5679193353376855 2.666998012825961
1.1773212218376083 2.4845676860478147 2.6150354146362975
1.3011348330524468 2.7067539201162987 3.546935969840364
1.1959668083279187 2.260688603682526 5.069494237249266
1.2155399340469801 2.6741161381893273 2.866607157039521
1.285592598664871 2.7384061276377647 8.985441499407806
1.3027860183524225 2.6154097487616332 8.988886513461715
1.270967672994705 2.191368896885216 7.580125669302944
1.2730978830345763 2.707811724877416 8.356208517784115
1.2721586169751051 2.089061060213581 3.5720758852221444
1.222701587006566 2.8102967340745377 5.925170759561317
1.3079887527943537 2.840703876938057 7.700022823288483
1.2352538018899715 2.5345329287767626 6.762557407092917
1.210450868074961 2.7149529971059057 3.7991687054780208
1.2678379002954105 2.135928518053 6.508459225776491
1.2548824119462014 2.823857804113428 3.5232476056604263
1.282462098290195 2.1053651215182376 5.154381067784296
1.2900381449014802 2.1137695882673357 5.570455643513521
1.2311721611858537 2.5069882123347096 2.602444825655489
1.2838035753326218 2.769338035935169 8.337798092894339
1.3064207297739796 2.528530118805708 4.5724292656627945
1.2724924815677703 2.6211746712563517 8.057341798282648
1.2969489930155267 2.185543149888091 2.5460955610505325
1.2579466714859875 2.4381147416967335 2.36764730186081
1.257444781718419 2.189439900183751 6.697840043951333
1.2586641638666036 2.7669271323695837 7.4363716531061375
1.262434950817135 2.650395924196794 3.2369367189477742
1.2407529212513324 2.2112382480731663 1.3763299277868715
1.3009908569656647 2.2989467509719 2.9822941475689957
1.2132899628415694 2.2308985924433102 1.6087635713566257
1.2075473669695223 2.558692375884323 4.223198728110628
1.2816809772042004 2.377240558440783 8.139505307230591
1.3068611766382583 2.793831795271431 6.54385775345262
1.2645720019985494 2.2929859053328334 1.8888647583139377
1.2026069373990447 2.444509776844499 3.2782577837813243
1.2365109196426725 2.2558879031080066 6.106574955695116
1.2256455303873377 2.4657376628496017 5.835744634369361
1.281205482007994 2.685291749429127 8.058736180262585
1.3027142603511324 2.5700497899104873 8.183303801066268
1.2108462235571018 2.5562914067541485 3.8758962260256205
1.2658674263393523 2.5975925701170777 7.611634563205881
1.2437518818707172 2.80010923353786 6.52455195243558
1.2460232402082039 2.6363019624733006 3.2784636773679363
1.2809403640823074 2.2158363638719667 7.432418997509117
1.2106451750766876 2.4513169388966363 4.7669698279132575
