mu1 sigma1 mu2 sigma2 alpha mup
1.266778282999942 0.38794671318987184 1.5269618226162924 1.1265200381948026 0.7889251736938937 2.6004727315603686
1.5120602084188728 0.30934509750449163 2.22675565390123 1.1822140842341498 0.9056298690580308 2.6745767821909787
1.2554634816961694 0.2514778600582816 1.5705170281324246 0.8831962145799657 0.4516161554927529 2.144454460585418
1.2407624734283822 0.1706069113448642 2.0006430948868843 1.948038031898915 0.6918554865905185 2.368671546189164
1.2535862728678133 0.11319016809548683 1.2837524693426263 1.2964646759412197 0.7394638943167655 2.1072675124216174
1.2644299761482187 0.06593014755950712 2.0249596565644676 0.8356617118329343 0.657989012812866 2.6342127403036457
1.4155905437423952 0.20911498594416636 1.422924416951091 1.4294054627077624 0.6175554729296412 2.3182853371332133
1.2603596337206229 0.48728607083871023 1.3260267892715358 0.16128730261047602 0.3927243416024208 2.289693922027059
1.3712507858786567 0.18778238975241474 1.9439192038987176 1.7404959002012845 0.9007016236565073 2.3797967021128166
1.2735884511223712 0.028448433680835543 1.4328181821052617 0.8532259246873687 0.3131163707871906 2.33641450317009
1.4251009660693963 0.14217519759645764 2.165578065023407 0.6635270788403979 0.6351648986796826 2.436749009954049
1.4264802455259193 0.19627886702042538 1.9752293362042037 1.4841909710415426 0.8205258117792361 2.4042188559208943
1.0460037405481935 1.3558439517028085 1.2834225693332613 0.025257608058499366 0.7541668065330214 2.204050552089673
1.2707882473188288 0.04861707344952526 1.9900100546647002 1.876319536957053 0.5982437778844062 2.0043701750501515
1.0064942629454154 1.7722984643841615 1.3421263518961875 0.045928440457807675 0.5266418976124437 1.9882458403803285
1.3836998429109362 0.10897510719705601 1.9451280592416698 0.48476030341700044 0.3765230194734357 2.1358622014467086
1.41645421230885 0.10082589892529813 1.7549323835025825 0.3441558592656656 0.8321133846359527 2.1064977053633838
1.305860536133187 0.18775776289576399 1.578763092196771 0.354836658751645 0.4667739218435394 2.2749146384568055
1.4258328997099743 0.09890211481098587 1.9038492420235702 1.3299109200750783 0.7104733805539158 2.1531665804711544
1.3232779830267547 0.08955989815720049 1.674738914742496 1.6203318159211317 0.5938802469767448 2.7776716780866826
1.3668915274266453 1.1886319879172766 1.4095371881777403 0.10351561448606336 0.5243585923168022 2.32260208246144
1.3972268893276023 0.0733596388765851 1.936154739569464 1.7722337801354944 0.7261531389685264 2.32309853397069
1.0751772083840256 0.8814929774109601 1.4105958704891677 0.15228522387650698 0.40627585562396595 2.2677978182284457
1.32763762920574 0.1284523266337806 1.621648516286938 1.1580622292609104 0.3916408436544296 2.2677277155905693
1.382166631419036 0.13668182143804894 2.217896094650331 0.9895814126637201 0.7713724349851426 2.7764890131543716
1.3284712270880674 0.0577537629233669 2.031843404707743 1.0561126882323228 0.612112701235417 2.8290846562597105
1.3353991665052498 0.07509848632189262 1.558176222971976 1.5681075032499228 0.7032351372332603 2.8519343817703255
1.3333209467704612 0.18770915074900515 1.5812370430764193 0.6932216836215326 0.6897694620065878 2.2279208200715352
1.3053250122094844 0.0821331400485861 1.5898922380746372 1.7095591804727737 0.5918135703817249 2.658650314962199
1.3487399592082647 0.07173647689243375 2.15996911925282 1.460668247528164 0.8661549766568712 2.3718010395118485
0.97243062868753 1.7000284045348162 1.4140200603436521 0.1380454670137485 0.4421406620417798 2.246645582475368
1.3659949790449943 0.03538087625279599 1.727001562494742 0.6193882855833341 0.558785122900351 2.3089116961509926
1.2901307595477123 0.07832370860263456 1.441241468492715 1.220539106691359 0.2911280742791016 2.1535698150871445
1.3344651382441 0.03142934731988583 2.475875893741309 1.2183254507984722 0.564715466927587 2.5925807055213914
1.3678709262914461 0.043186190628576135 1.858571065001706 1.9215785651092427 0.6630182098066792 2.203425374077695
1.3787736693844161 0.06237282492909268 1.642313400701887 0.501279910676119 0.6692199400894262 2.8072325310372443
1.3875892211846206 0.17525871056107123 2.1144331737761295 0.9528241151972021 0.7018934951475388 2.4052316606965825
1.4166220058107175 0.11195882147188808 1.9845867854042187 0.6768943916505035 0.5519609185944112 2.094491093300253
1.4093375006024802 0.16002734170429758 2.0757775228615096 0.8219972668589056 0.56802442493007 2.1703521788394964
1.2502545584358584 0.10772349056683446 1.5445790061995945 0.325145986853127 0.5803350168754534 2.6767017933019615
1.3613485429406964 0.054617262598882464 1.598454690365683 1.0015648446528933 0.47805993136495956 2.4745269356481927
